name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,472,0,1,32,357,5,0,26,11,4,90,2,1,13,0,0,0,49,0,3,5,11,11,5,0,3,0,3,null
Aaron_Lennon,437,0,0,49,354,8,1,22,7,7,7,0,1,5,0,0,0,67,0,3,5,13,9,5,0,2,0,2,3
Aaron_Mooy,378,1,2,31,264,8,0,24,10,14,90,0,6,14,0,0,0,75,0,3,2,15,11,4,0,0,1,0,0
Aaron_Ramsey,538,0,0,40,438,9,2,28,9,6,45,5,1,10,0,0,0,61,0,3,6,0,9,6,0,4,0,4,6
Abdoulaye_Doucouré,334,0,0,53,243,8,0,27,7,7,90,0,3,3,0,0,0,40,1,3,2,11,4,5,0,0,1,0,0
Adam_Federici,259,0,0,51,155,11,1,21,13,3,0,0,1,11,0,0,0,59,0,3,6,11,7,3,2,1,1,5,0
Adam_Lallana,508,4,3,34,411,17,0,28,6,13,0,3,7,1,0,0,0,55,0,3,0,1,15,5,0,4,1,2,2
Ahmed El-Sayed_Hegazi,309,1,0,33,235,4,0,30,10,7,90,2,9,15,0,0,0,39,0,3,1,17,11,7,1,1,1,2,6
Ahmed_Musa,298,1,1,61,208,10,0,25,7,10,0,3,2,12,1,0,1,58,0,3,5,9,11,5,0,2,0,2,1
Aleksandar_Kolarov,601,2,1,51,521,13,0,21,14,13,0,3,3,2,0,0,0,64,1,3,2,20,6,7,2,1,0,4,4
Aleksandar_Mitrovic,263,4,1,32,170,7,0,26,17,14,18,0,5,20,0,0,0,47,0,3,3,12,9,5,0,3,1,1,6
Alex_McCarthy,500,2,2,46,382,8,2,24,10,6,0,3,1,8,0,0,0,65,0,3,6,17,5,3,0,0,0,1,5
Alfie_Mawson,470,0,0,26,370,6,0,23,6,5,90,3,3,6,0,0,0,57,0,3,3,14,9,2,2,0,0,1,2
Ander_Herrera,661,2,2,26,575,17,0,25,8,18,0,2,6,9,0,1,0,64,0,3,4,21,7,7,0,2,1,1,1
Andreas_Christensen,584,1,0,31,502,14,0,22,12,14,1,0,1,7,0,0,0,62,0,3,0,18,4,4,0,2,1,2,5
Andros_Townsend,503,0,0,24,417,6,1,23,9,13,90,0,5,16,0,0,0,65,0,3,1,17,7,12,2,0,1,4,5
Anthony_Knockaert,436,0,0,31,359,5,0,27,18,13,80,5,4,18,0,0,0,54,0,3,0,10,7,8,0,0,0,1,3
Ashley_Barnes,272,1,1,72,193,5,0,29,9,11,33,6,2,17,0,0,0,57,0,3,4,0,4,8,1,1,0,0,2
Bamidele_Alli,586,0,1,26,500,8,0,29,9,18,90,1,5,4,0,0,0,57,0,3,2,0,6,6,1,1,1,0,2
Bojan_Krkic Perez,433,0,0,47,373,11,0,30,9,14,0,0,4,19,0,0,0,33,0,3,1,14,8,9,1,1,0,,4
