name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,221,0,0,61,157,12,0,147,7,6,90,4,2,11,0,0,0,61,0,15,6,21,10,3,1,2,0,2,3
Aaron_Lennon,368,1,0,54,252,5,0,145,12,4,70,1,1,8,0,0,0,55,0,15,3,23,9,1,0,2,1,2,2
Aaron_Mooy,394,0,0,50,280,8,0,145,9,3,90,0,1,7,0,0,0,57,0,15,2,13,8,2,0,2,0,1,3
Aaron_Ramsdale,415,1,2,43,331,11,0,142,6,11,0,0,3,14,0,0,0,55,0,15,2,23,4,7,1,1,1,2,4
Aaron_Ramsey,655,3,4,22,562,9,0,141,11,23,90,4,1,12,0,0,0,58,0,15,2,15,12,6,3,1,1,3,14
Abdoulaye_Doucouré,398,0,0,36,315,4,0,149,16,5,90,1,4,17,0,0,0,62,0,15,1,21,5,2,1,1,1,4,1
Adam_Lallana,658,2,0,40,579,9,0,143,7,9,0,2,0,3,1,0,0,64,0,15,1,18,10,3,5,1,0,0,2
Adam_Legzdins,384,1,1,41,281,3,0,146,11,12,0,6,5,9,0,0,0,54,0,15,2,7,11,7,0,1,0,2,5
Ahmed El-Sayed_Hegazi,398,1,2,41,289,12,0,150,11,14,90,3,8,6,0,0,0,70,0,15,2,16,6,8,0,0,1,3,7
Ahmed_Musa,413,0,0,32,299,9,0,146,3,13,0,1,1,4,0,0,0,52,0,15,5,23,7,6,0,1,1,0,2
Aleksandar_Kolarov,755,2,0,19,665,14,0,147,5,21,0,2,2,20,0,0,0,64,0,15,3,21,13,5,1,2,1,2,6
Aleksandar_Mitrovic,389,0,0,55,298,4,0,144,13,7,0,1,1,5,1,0,0,65,0,15,6,19,5,4,1,3,0,1,1
Alex_McCarthy,457,0,0,50,370,14,0,142,12,10,0,6,5,2,0,0,0,76,0,15,4,10,11,9,1,1,0,1,2
Alfie_Mawson,460,0,0,28,372,7,0,148,10,7,90,0,2,15,0,0,0,57,0,15,1,14,5,2,1,2,0,0,3
Alfie_Whiteman,404,1,0,42,330,7,0,149,8,3,0,10,0,18,0,0,0,68,1,15,1,18,8,4,1,1,0,1,1
Ander_Herrera,222,3,1,92,147,8,0,141,10,6,23,0,1,1,0,0,0,58,1,15,14,16,3,1,3,1,0,2,2
Andreas_Christensen,744,3,2,29,647,15,0,144,8,17,79,2,4,13,0,0,0,65,0,15,1,17,11,8,1,3,1,0,6
Andros_Townsend,379,1,1,45,272,11,1,150,10,9,86,1,2,19,0,0,0,57,0,15,7,16,9,3,0,0,0,1,2
Anthony_Knockaert,485,1,1,32,396,5,0,143,8,3,69,0,2,10,0,0,0,64,0,15,2,14,10,3,5,1,1,1,1
Bojan_Krkic Perez,374,2,1,51,290,7,0,148,12,9,0,3,1,16,0,0,0,44,0,15,3,22,10,6,1,2,1,2,1
