name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,508,0,1,21,404,17,0,138,6,5,90,1,1,7,1,1,1,68,0,14,1,18,6,3,0,4,0,1,3
Aaron_Lennon,411,1,1,65,326,11,0,138,16,5,88,2,2,20,1,1,1,70,0,14,3,12,9,2,0,4,1,2,1
Aaron_Mooy,332,0,0,54,255,7,1,135,12,6,73,3,1,1,0,0,0,50,0,14,1,19,5,3,0,5,0,1,2
Aaron_Ramsdale,572,0,0,26,462,5,0,136,9,7,0,0,5,4,0,0,0,52,0,14,2,19,12,4,2,1,1,0,1
Aaron_Ramsey,809,6,2,29,713,8,0,135,10,16,72,2,0,8,0,0,0,63,0,14,2,14,10,8,0,5,1,0,1
Abdoulaye_Doucouré,495,0,0,46,410,14,0,133,12,10,90,0,3,12,0,0,0,68,0,14,2,16,9,5,4,2,1,2,1
Adam_Lallana,549,4,2,51,445,12,1,140,10,10,0,2,0,15,0,0,0,61,0,14,1,15,12,3,3,0,0,5,4
Adam_Legzdins,350,0,0,51,248,3,0,136,11,7,0,1,1,2,0,0,0,65,0,14,1,13,11,2,2,1,0,1,2
Ahmed El-Sayed_Hegazi,401,1,0,47,306,10,0,134,13,5,90,0,3,13,0,0,0,80,0,14,3,17,11,2,2,2,1,0,2
Ahmed_Musa,337,2,2,62,239,9,0,132,7,6,0,2,1,17,0,0,0,73,0,14,4,19,9,3,1,2,1,1,1
Aleksandar_Kolarov,779,2,2,22,668,7,0,139,12,21,0,1,3,14,0,0,0,78,0,14,1,15,2,8,1,2,1,1,10
Aleksandar_Mitrovic,436,1,0,38,343,6,0,134,12,10,17,2,5,19,0,0,0,75,0,14,2,21,15,5,2,2,0,0,3
Alex_McCarthy,270,3,2,63,156,9,1,139,11,6,0,1,2,11,0,0,0,68,0,14,10,15,10,3,1,2,0,1,1
Alfie_Mawson,404,0,0,55,314,4,2,137,7,2,90,0,0,5,0,0,0,59,0,14,9,22,10,1,0,1,0,0,0
Alfie_Whiteman,563,4,5,28,465,12,0,132,10,16,0,1,3,9,0,0,0,75,0,14,1,23,10,9,1,2,0,2,4
Ander_Herrera,348,0,1,50,257,14,0,133,10,11,36,0,1,18,1,0,0,63,0,14,1,15,10,3,4,2,0,1,2
Andreas_Christensen,607,4,4,31,518,10,0,137,10,16,90,0,6,16,0,0,0,69,0,14,0,16,12,7,0,1,1,1,9
Andros_Townsend,403,0,1,44,294,14,0,131,8,4,90,0,0,3,0,0,0,70,0,14,3,15,4,6,0,0,0,0,4
Anthony_Knockaert,452,0,0,29,335,8,0,131,13,8,90,5,2,6,0,0,0,73,0,14,4,10,5,4,0,0,1,2,3
Bojan_Krkic Perez,341,1,1,45,242,12,0,140,8,2,0,4,3,10,0,0,0,51,0,14,4,14,8,4,3,0,1,1,1
