name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Lennon,472,1,0,47,349,3,153,0,201,13,352908,4,90,5,2,0,0,0,64,0,21,5,8,11,3,1,2,525150,0
Aaron_Mooy,381,0,0,50,278,10,172,0,204,14,342004,2,90,0,4,0,0,0,61,0,21,4,16,7,2,0,0,187855,2
Aaron_Ramsdale,407,2,1,42,285,14,549,0,201,8,316262,18,0,0,7,0,0,0,67,0,21,0,14,5,8,1,2,72037,0
Aaron_Ramsey,648,0,0,39,544,8,18,1,210,9,361254,10,0,2,19,1,0,0,67,0,21,2,14,10,5,1,1,263188,3
Aaron_Wan-Bissaka,208,1,3,49,124,17,579,1,203,14,365363,6,0,4,11,0,1,0,60,0,21,5,14,4,4,0,0,85590,5
Abdoulaye_Doucouré,503,1,1,27,413,8,414,0,209,14,405051,7,90,3,16,0,0,0,65,0,21,2,17,16,4,2,1,233570,4
Adam_Lallana,568,5,3,37,457,10,228,0,205,7,342885,14,0,5,9,0,0,0,68,0,21,0,16,9,6,1,2,797446,3
Adam_Legzdins,294,2,2,33,179,7,545,0,204,14,295359,9,0,3,8,0,0,0,63,0,21,1,14,9,5,0,0,322181,1
Ahmed El-Sayed_Hegazi,324,0,0,48,245,7,468,1,210,14,336268,8,90,1,1,0,0,0,65,0,21,4,12,5,4,1,1,113822,3
Ahmed_Musa,376,1,0,44,263,9,207,1,205,3,320292,6,0,3,10,0,0,0,72,0,21,4,14,5,1,1,2,204234,2
Aleksandar_Kolarov,628,0,1,37,549,14,243,0,203,11,310401,8,0,2,6,1,0,1,54,0,21,1,19,9,4,0,0,745228,4
Aleksandar_Mitrovic,411,1,1,31,291,13,303,0,207,11,346082,7,0,1,3,0,0,0,70,0,21,3,13,6,5,0,0,176576,2
Alex_McCarthy,421,1,1,44,328,10,305,0,206,13,299517,5,90,2,12,0,0,0,68,0,21,3,12,9,4,0,0,43462,4
Alfie_Mawson,485,1,0,22,400,9,357,0,209,13,335619,6,90,2,18,0,0,0,58,0,21,3,21,9,4,2,1,116324,2
Ander_Herrera,500,3,3,36,427,12,278,1,206,12,321064,13,0,1,14,0,0,0,64,0,21,3,19,12,5,0,0,676792,2
Andreas_Christensen,655,3,2,14,592,10,470,0,202,5,319786,16,0,3,15,0,0,0,64,0,21,1,27,4,7,0,5,750610,1
Anthony_Knockaert,505,1,1,52,395,10,62,0,207,10,317793,4,90,2,13,0,0,0,80,0,21,2,11,11,5,0,0,177021,2
Bojan_Krkic Perez,473,1,1,35,394,10,344,0,202,10,335055,1,0,2,5,1,0,0,49,0,21,7,9,16,0,0,5,73175,
