name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,306,1,0,52,209,12,443,0,224,9,449499,6,90,5,8,0,0,0,60,0,23,1,13,8,1,4,1,293708,1
Aaron_Lennon,360,0,0,47,258,6,153,1,228,15,390076,4,33,7,17,0,0,0,75,0,23,6,18,11,4,0,4,309011,2
Aaron_Mooy,549,0,1,31,442,12,172,0,224,7,390908,4,90,0,20,0,0,0,61,0,23,1,17,7,4,4,1,247669,1
Aaron_Ramsdale,367,1,0,44,234,13,549,0,221,8,362433,8,0,0,1,0,0,0,77,0,23,2,20,4,5,1,2,105008,2
Aaron_Ramsey,550,1,1,45,409,5,18,0,221,10,412217,9,16,4,2,0,0,0,78,0,23,3,23,13,5,1,2,377411,2
Aaron_Wan-Bissaka,323,2,2,33,214,6,579,0,223,16,403519,13,0,0,4,0,0,0,67,0,23,2,18,8,8,0,1,301379,0
Abdoulaye_Doucouré,465,0,0,36,352,4,414,0,229,11,447205,13,90,0,14,0,0,0,56,0,23,2,15,10,10,2,2,225842,0
Adam_Lallana,366,0,0,42,278,18,228,0,225,10,391045,12,2,3,11,0,0,0,80,0,23,1,24,17,4,3,4,745227,2
Adam_Legzdins,414,2,2,34,309,7,545,0,223,10,339005,7,0,4,6,0,0,0,63,0,23,1,19,6,5,0,1,379152,3
Adrien Sebastian_Perruchet Silva,415,1,1,40,329,21,589,0,222,13,366491,11,0,3,5,0,0,0,72,1,23,7,13,13,6,0,0,496591,2
Ahmed El-Sayed_Hegazi,353,2,1,40,242,7,468,0,230,8,371281,11,90,3,3,0,0,0,65,0,23,1,17,3,6,0,2,156190,0
Aleksandar_Kolarov,668,0,0,35,572,20,243,3,225,7,342557,10,0,3,10,0,0,0,77,0,23,3,32,5,3,3,4,856004,3
Aleksandar_Mitrovic,371,3,3,30,278,6,303,0,227,11,381926,8,0,2,16,0,0,0,58,0,23,2,8,12,7,1,1,309736,0
Alex_McCarthy,375,1,0,47,256,12,305,0,229,13,317613,8,90,3,18,0,0,0,59,0,23,2,14,11,4,2,2,59466,5
Alfie_Mawson,493,0,1,24,399,7,357,1,227,10,383086,6,90,0,13,0,0,0,56,0,23,3,22,3,2,1,1,241727,3
Alfie_Whiteman,578,6,3,33,483,16,566,0,228,11,345414,17,0,2,7,0,0,0,69,0,23,0,17,4,6,0,4,729883,0
Ander_Herrera,601,0,1,25,542,10,278,1,226,14,354142,15,0,4,15,0,0,0,56,0,23,4,15,7,6,0,3,1278682,2
Andreas_Christensen,508,0,0,31,426,15,470,1,222,14,378318,15,57,5,9,0,0,0,67,0,23,1,15,9,4,0,0,599602,2
Anthony_Knockaert,447,0,1,51,348,3,62,2,230,15,351123,7,90,2,19,0,0,0,63,0,23,2,7,7,7,0,2,351271,0
Bojan_Krkic Perez,396,3,3,30,326,8,344,1,226,10,395513,9,0,0,12,0,0,0,52,0,23,6,16,7,5,0,3,87061,
