name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,381,1,1,19,299,17,0,129,9,7,90,0,4,9,0,0,0,67,0,13,1,24,6,3,1,1,1,1,3
Aaron_Lennon,327,0,0,48,230,4,0,126,13,3,90,0,0,14,0,0,0,58,0,13,1,18,3,3,1,4,0,0,1
Aaron_Mooy,185,1,1,48,94,7,0,122,10,2,90,3,2,11,1,0,0,54,1,13,3,20,8,3,2,1,1,2,0
Aaron_Ramsdale,470,0,0,43,388,13,1,127,6,6,0,1,2,16,0,0,0,56,0,13,1,18,6,2,0,0,0,2,5
Aaron_Ramsey,637,1,1,33,532,14,0,130,14,13,90,3,2,4,0,0,0,67,0,13,2,14,9,8,1,0,0,0,1
Abdoulaye_Doucouré,440,3,2,51,317,4,0,125,13,12,90,1,5,13,0,0,0,70,0,13,2,12,14,7,3,0,0,2,2
Adam_Lallana,585,1,0,40,504,12,0,123,10,13,1,0,3,5,0,0,0,60,0,13,2,23,8,3,1,1,1,0,3
Adam_Legzdins,350,0,0,51,268,9,0,130,8,6,0,4,2,1,1,0,0,57,0,13,1,12,12,3,1,0,1,2,2
Ahmed El-Sayed_Hegazi,265,1,1,65,190,10,0,128,13,4,90,6,2,17,0,0,0,64,0,13,4,16,9,3,1,1,0,4,1
Ahmed_Musa,404,0,0,45,312,8,0,129,12,3,0,1,1,20,0,0,0,63,0,13,3,16,12,5,1,1,0,1,1
Aleksandar_Kolarov,731,2,3,25,642,15,0,122,10,6,0,3,1,8,0,0,0,62,0,13,0,16,12,7,2,1,0,3,3
Aleksandar_Mitrovic,480,1,1,43,378,12,0,125,8,11,21,4,3,18,0,0,0,69,0,13,2,26,7,5,3,0,1,1,2
Alex_McCarthy,661,3,1,29,563,9,0,126,6,14,0,0,6,7,0,0,0,63,0,13,1,11,8,7,1,4,1,0,1
Alfie_Mawson,449,0,1,42,351,9,0,127,18,5,90,3,1,2,0,0,0,71,0,13,5,15,12,6,0,0,1,4,1
Alfie_Whiteman,689,2,1,15,600,17,0,128,10,18,0,2,4,19,0,0,0,52,0,13,1,20,11,10,1,1,1,1,4
Ander_Herrera,565,1,2,30,479,19,0,124,9,12,0,2,4,3,0,0,0,77,0,13,2,22,6,7,0,1,1,0,4
Andreas_Christensen,500,3,3,43,413,18,0,123,7,11,90,5,2,10,0,0,0,70,0,13,3,17,12,5,1,1,0,0,2
Andros_Townsend,492,1,0,28,376,10,0,121,9,7,90,2,3,15,0,0,0,63,0,13,2,19,19,2,1,2,1,1,3
Anthony_Knockaert,401,1,1,43,310,6,0,124,9,7,90,1,4,12,0,0,0,82,0,13,4,10,16,3,0,1,0,2,2
Bojan_Krkic Perez,424,1,1,52,325,13,0,121,5,6,0,1,3,6,0,0,0,72,0,13,3,27,13,5,1,2,0,1,2
