name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,282,0,0,42,202,6,443,1,360,5,847081,2,90,4,11,0,0,0,57,0,36,4,16,10,2,4,1,64651,0
Aaron_Lennon,341,1,1,27,217,6,153,0,351,5,590479,6,71,4,3,0,0,0,38,0,36,1,10,9,2,0,0,143653,0
Aaron_Mooy,496,1,1,38,378,5,172,0,353,9,632460,8,90,1,7,0,0,0,76,0,36,3,24,10,2,2,0,45777,1
Aaron_Ramsdale,502,2,1,32,399,10,549,0,357,11,609160,10,0,2,14,0,0,0,67,0,36,4,20,5,5,1,2,18418,1
Aaron_Ramsey,438,1,1,54,362,13,18,0,355,7,691631,7,0,1,12,0,0,0,65,0,36,0,16,13,4,1,2,108339,1
Aaron_Wan-Bissaka,403,2,1,45,338,10,579,0,352,11,777537,10,0,1,9,0,0,0,58,0,36,0,18,4,4,0,5,143241,1
Abdoulaye_Doucouré,356,1,2,42,261,11,414,0,359,10,823790,7,90,3,17,0,0,0,68,0,36,1,20,11,5,0,2,9819,0
Adam_Lallana,632,2,2,15,525,3,228,0,354,7,674595,15,0,2,15,0,0,0,57,0,36,1,17,3,8,0,0,174816,1
Ademola_Lookman,427,2,2,63,291,7,157,0,353,8,672935,6,0,3,8,0,0,0,84,0,36,2,15,17,1,2,0,55083,0
Adrien Sebastian_Perruchet Silva,389,2,2,34,312,12,589,0,352,9,572922,4,45,0,6,1,0,0,49,1,36,3,13,15,2,0,5,115541,1
Ahmed El-Sayed_Hegazi,339,1,0,58,222,9,468,0,356,13,659190,7,90,2,13,0,0,0,62,0,36,2,20,9,6,1,0,45574,3
Aleksandar_Kolarov,874,2,1,26,806,12,243,0,360,11,573835,15,0,1,20,0,0,0,71,0,36,0,23,12,7,4,1,504894,1
Aleksandar_Mitrovic,585,2,2,27,470,8,303,1,356,8,677100,14,0,0,19,0,0,0,61,0,36,1,13,6,10,1,0,226702,1
Alexis_Sánchez,609,1,1,20,542,11,14,0,355,12,572051,11,90,2,1,0,0,0,67,0,36,2,28,5,7,1,2,239242,0
Alex_McCarthy,354,3,3,45,256,5,305,0,357,12,553937,8,90,1,2,0,0,0,67,0,36,6,11,14,4,1,2,96580,5
Alfie_Mawson,581,0,0,25,503,7,357,0,358,13,657810,8,90,1,5,0,0,0,60,0,36,2,11,10,5,1,0,127616,1
Alfie_Whiteman,556,3,2,41,479,9,566,1,359,11,597372,11,0,3,18,0,0,0,58,0,36,5,19,10,6,0,2,572918,1
Andreas_Christensen,572,1,1,44,501,11,470,0,358,9,674310,8,0,3,16,0,0,0,65,0,36,3,19,7,5,1,0,186867,1
Anthony_Knockaert,432,0,0,39,325,4,62,0,351,17,610427,9,90,3,4,0,0,0,67,0,36,4,9,9,4,0,0,65412,2
Bojan_Krkic Perez,253,1,1,65,142,4,344,0,354,14,720176,5,0,2,10,0,0,0,65,0,36,2,4,11,3,0,0,18563,
