name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,419,0,1,38,352,10,0,92,12,10,90,1,3,6,0,0,0,55,0,10,4,15,7,4,0,0,3,3
Aaron_Lennon,407,3,1,39,332,13,1,92,15,15,4,2,3,20,0,0,0,54,0,10,3,8,12,4,2,1,2,6
Aaron_Ramsey,591,3,2,39,505,12,0,97,13,15,14,1,3,15,1,0,0,57,0,10,0,17,14,12,4,0,3,7
Abdoulaye_Doucouré,474,1,1,42,373,7,0,99,13,18,0,0,8,7,0,0,0,58,0,10,2,10,7,15,1,1,1,1
Abdul Rahman_Baba,409,0,0,53,324,13,0,95,16,13,0,0,2,13,0,0,0,49,0,10,1,23,16,4,2,0,0,7
Abel_Hernández,397,0,0,54,290,3,0,99,8,7,90,2,0,18,0,0,0,47,0,10,0,13,5,4,0,0,2,2
Adama_Traoré,358,1,0,60,273,13,0,94,7,10,90,0,1,2,0,0,0,58,0,10,2,16,13,6,2,1,2,3
Adam_Federici,521,3,3,30,433,24,0,94,7,14,0,0,4,12,0,0,0,66,0,10,1,22,11,8,0,0,1,2
Adam_Lallana,521,2,1,34,398,9,0,91,5,12,75,1,3,5,0,0,0,70,0,10,4,27,19,5,4,0,2,10
Adam_Matthews,299,0,0,32,216,8,0,97,9,1,0,6,4,1,0,0,0,51,0,10,3,18,17,1,1,1,4,1
Ahmed_Musa,279,1,0,54,184,5,0,98,20,5,67,1,2,17,1,0,0,57,0,10,5,10,15,4,1,0,4,1
Aiden_O'Neill,238,0,0,81,160,2,1,93,9,6,0,2,9,11,0,0,0,58,0,10,11,10,8,5,0,0,3,1
Aleix_García Serrano,676,2,2,28,604,13,0,100,10,15,8,3,2,19,0,0,0,46,0,10,1,11,7,4,4,0,3,7
Alex_McCarthy,485,0,0,31,406,9,0,95,13,7,0,2,6,4,0,0,0,45,0,10,5,27,14,5,0,1,0,1
Alex_Pritchard,496,0,0,48,407,13,0,98,11,16,0,2,5,8,0,0,0,55,0,10,0,20,6,11,1,1,3,6
Alfie_Mawson,435,1,0,50,347,4,0,96,14,12,90,1,3,14,0,0,0,67,0,10,2,21,10,4,1,0,0,6
Allan-Roméo_Nyom,277,0,0,34,218,9,0,100,17,7,90,3,4,10,0,0,0,48,0,10,3,10,7,7,0,1,4,1
Ander_Herrera,638,2,2,41,570,14,0,93,12,30,67,0,8,3,0,0,0,48,1,10,1,17,5,8,0,1,1,11
Andros_Townsend,415,0,0,49,300,9,0,91,15,6,25,4,2,9,0,0,0,64,0,10,6,26,17,1,2,1,1,6
Bojan_Krkic,362,3,1,26,267,9,0,96,7,11,0,2,0,16,0,0,0,68,0,10,5,15,17,8,3,1,2,5
