name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,342,0,0,42,256,13,454,0,340,9,754844,10,12,1,6,0,0,0,66,0,34,0,20,15,5,0,0,21187,2
Aaron_Lennon,517,0,0,38,422,8,142,0,340,15,584885,3,0,2,20,0,0,0,54,0,34,3,17,14,3,0,0,174266,3
Aaron_Ramsey,691,0,0,29,598,10,16,2,271,9,680488,10,16,8,8,0,0,0,67,0,34,3,14,6,6,0,1,54327,2
Aaron_Wan-Bissaka,235,2,0,52,141,14,612,0,337,10,806291,6,0,3,9,0,0,0,57,0,34,0,22,11,3,2,1,440006,2
Aaron_Wan-Bissaka,271,0,0,46,158,8,612,0,274,13,806251,5,0,1,17,0,0,0,75,0,34,3,22,9,2,1,0,440006,3
Abdoulaye_Doucouré,573,1,1,19,488,9,482,0,335,11,836227,11,72,2,7,0,0,0,67,0,34,1,19,7,5,0,2,57233,1
Abdul Rahman_Baba,478,1,0,35,389,9,80,0,334,13,641266,16,0,0,13,0,0,0,58,0,34,2,9,13,5,2,4,121351,2
Abel_Hernández,303,1,1,42,212,7,163,0,335,10,749175,2,45,2,18,0,0,0,62,1,34,2,14,12,3,0,2,34618,3
Adama_Traoré,282,0,0,45,217,6,563,1,332,14,668937,5,0,2,2,0,0,0,48,1,34,6,22,11,3,0,4,432347,2
Adama_Traoré,397,1,1,47,282,8,563,0,278,15,668904,3,0,1,15,0,0,0,67,0,34,4,15,6,3,0,1,432347,3
Adam_Federici,604,4,3,16,542,13,30,0,332,4,578972,16,0,2,12,0,0,0,60,0,34,2,21,15,7,0,4,113341,0
Adam_Lallana,630,1,2,29,522,15,205,0,337,8,666142,10,0,0,5,0,0,0,57,0,34,1,26,16,7,2,1,138619,1
Adam_Matthews,416,0,0,46,305,10,345,0,278,11,773444,8,0,6,12,0,0,0,65,0,34,1,13,10,4,0,1,29870,3
Ahmed_Musa,316,0,0,58,225,4,187,0,271,13,584584,5,0,6,1,0,0,0,63,0,34,5,10,10,2,0,1,45701,4
Aiden_O'Neill,382,1,1,20,273,8,531,0,333,17,644159,8,0,3,11,0,0,0,59,0,34,4,20,20,4,2,0,35293,2
Aleix_García Serrano,644,1,1,21,556,15,578,1,256,10,625737,16,0,2,11,0,0,0,71,0,34,1,23,14,8,0,0,67327,1
Alex_McCarthy,508,0,0,39,429,7,101,1,334,9,691195,6,0,2,4,0,0,0,63,0,34,3,15,6,4,2,4,56149,2
Alex_Pritchard,595,1,1,30,494,13,401,0,274,15,590058,14,0,0,5,0,0,0,62,0,34,1,24,14,8,1,0,333180,3
Alfie_Mawson,364,0,0,28,300,4,558,0,339,5,651336,8,90,1,14,1,0,0,50,0,34,3,16,5,2,0,2,31794,2
Ander_Herrera,468,3,1,54,369,15,262,0,333,16,646347,11,90,1,3,0,0,0,75,0,34,0,30,7,3,2,0,1030353,1
Ander_Herrera,288,1,1,46,199,14,262,0,256,8,646315,2,90,1,10,0,0,0,58,1,34,6,19,6,1,0,0,1030353,0
Bojan_Krkic,451,2,3,37,387,16,335,1,339,14,669833,7,0,1,16,0,1,0,54,0,34,4,24,4,5,0,2,48554,
