name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,318,0,0,72,244,10,0,70,13,14,0,5,5,12,0,0,0,63,0,7,1,24,11,11,1,1,1,2,1
Aaron_Lennon,401,1,1,48,301,15,0,62,16,12,0,3,2,5,0,0,0,48,0,7,1,13,5,6,1,1,1,5,1
Aaron_Ramsey,741,1,0,37,638,15,0,61,3,15,0,0,3,3,0,0,0,62,0,7,1,24,14,8,1,0,0,0,2
Abdoulaye_Doucouré,350,1,0,43,271,8,0,69,17,14,0,0,5,2,0,0,0,48,0,7,0,15,11,5,2,2,1,3,5
Abdul Rahman_Baba,556,1,2,35,461,17,0,63,15,17,0,0,4,7,0,0,0,65,0,7,3,23,13,9,2,0,0,2,6
Abel_Hernández,377,0,0,52,299,2,1,63,13,5,19,1,1,4,0,0,0,51,0,7,6,18,7,2,2,0,1,2,3
Adama_Traoré,481,1,1,42,382,3,0,70,12,5,0,2,2,20,0,0,0,45,0,7,1,12,14,4,1,1,0,3,1
Adam_Federici,381,2,1,31,299,11,0,69,12,7,0,2,3,18,0,0,0,52,0,7,5,18,14,6,2,2,0,4,0
Adam_Lallana,597,1,1,27,495,18,1,67,9,15,22,2,2,16,0,0,0,69,0,7,2,22,18,3,2,1,0,2,5
Adam_Matthews,426,2,1,59,329,8,0,66,7,6,0,2,0,19,0,0,0,67,0,7,6,17,11,4,1,1,1,1,2
Ahmed_Musa,395,0,0,36,289,5,1,64,9,7,0,1,2,13,0,0,0,77,0,7,5,19,12,5,0,0,1,1,1
Aiden_O'Neill,349,1,1,56,246,7,0,61,2,10,0,4,5,1,0,0,0,57,0,7,2,18,9,6,1,0,1,0,1
Aleix_García Serrano,482,1,1,44,379,24,0,68,10,10,0,5,1,17,1,0,1,68,0,7,6,26,4,3,0,2,0,2,6
Alex_McCarthy,628,1,1,30,526,4,1,64,9,8,0,2,6,8,0,0,0,69,0,7,1,16,10,3,0,0,0,0,5
Alex_Pritchard,342,0,1,52,247,12,0,68,20,7,0,8,0,10,0,1,0,64,0,7,6,27,19,4,0,2,1,2,6
Alfie_Mawson,408,3,4,57,309,8,1,67,11,4,0,1,3,9,1,0,0,67,0,7,5,18,12,4,2,1,1,2,2
Allan-Roméo_Nyom,321,0,0,41,228,2,0,66,13,10,90,1,4,15,0,0,0,58,0,7,2,19,11,7,1,1,0,3,6
Ander_Herrera,534,5,5,55,468,10,0,65,14,18,83,1,4,14,0,0,0,50,0,7,5,14,17,7,1,1,1,3,8
Andros_Townsend,294,1,1,44,197,12,0,62,11,5,90,1,5,6,0,0,0,45,0,7,1,20,9,2,1,1,0,4,1
Bojan_Krkic,268,0,0,62,186,5,0,65,9,5,0,1,0,11,0,0,0,41,0,7,8,23,6,1,1,1,0,0,5
