name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,457,2,1,44,360,11,454,1,294,9,619163,8,67,1,7,0,0,0,62,0,30,1,20,9,7,1,2,95429,2
Aaron_Lennon,426,2,1,37,311,16,142,0,296,10,489277,6,0,1,9,0,0,0,63,0,30,2,23,17,3,1,3,240187,3
Aaron_Ramsey,408,1,0,44,309,15,16,1,291,8,572227,7,0,5,10,0,0,0,73,0,30,3,25,14,5,2,2,57641,3
Aaron_Wan-Bissaka,232,2,1,70,165,13,612,0,293,14,699286,7,0,2,4,0,0,0,53,0,30,10,20,5,5,2,1,68253,2
Abdoulaye_Doucouré,381,1,0,59,314,9,482,0,300,12,707231,16,90,1,15,0,0,0,53,0,30,3,9,12,5,0,1,90684,1
Abdul Rahman_Baba,610,2,1,20,529,10,80,1,293,12,538409,18,0,4,5,0,0,0,57,0,30,1,16,12,5,2,1,309311,3
Abel_Hernández,383,0,2,26,258,5,163,0,294,16,649806,3,79,2,20,0,0,0,59,0,30,3,15,11,3,1,2,17089,2
Adama_Traoré,360,1,1,54,259,20,563,0,299,16,561819,7,90,0,16,0,0,0,60,0,30,3,7,8,4,0,0,39453,3
Adam_Federici,345,1,3,47,261,3,30,0,298,8,502078,5,0,1,13,0,1,0,43,0,30,4,9,10,7,0,0,177351,0
Adam_Lallana,468,0,0,44,365,18,205,0,296,17,559912,9,0,1,6,0,0,0,60,0,30,3,25,15,1,1,3,149020,1
Adam_Matthews,301,0,0,47,210,1,345,0,300,8,670593,8,0,0,18,0,0,0,44,0,30,9,19,7,2,0,1,79915,3
Ahmed_Musa,392,1,1,48,278,8,187,0,295,7,506987,13,0,1,14,0,0,0,67,0,30,2,11,3,7,0,2,309090,1
Aiden_O'Neill,347,0,0,40,246,4,531,3,292,9,558797,11,0,5,17,0,0,0,62,0,30,5,10,15,6,2,0,72323,2
Aleix_García Serrano,510,2,1,41,397,14,578,0,291,15,542772,11,0,6,1,0,0,0,65,0,30,1,24,15,6,2,2,91806,2
Alex_McCarthy,552,0,0,36,459,10,101,0,298,14,598995,11,0,4,2,1,0,0,63,0,30,2,15,7,8,0,0,197592,1
Alex_Palmer,261,0,0,68,160,8,601,0,297,13,547045,3,0,0,11,0,0,0,57,0,30,3,16,10,1,0,0,71665,3
Alex_Pritchard,572,1,1,54,468,10,401,0,292,6,511354,11,0,1,3,0,0,0,65,0,30,2,25,7,6,2,0,377448,0
Alfie_Mawson,416,0,0,27,332,10,558,0,299,9,564474,13,90,1,12,0,0,0,48,0,30,1,20,5,6,0,0,171102,2
Ander_Herrera,762,0,1,24,670,11,262,0,297,15,542517,10,0,0,19,0,0,0,65,0,30,1,17,12,8,0,0,316685,3
Bojan_Krkic,417,2,2,60,309,11,335,0,295,11,580381,9,0,4,8,0,0,0,61,0,30,8,20,10,5,0,2,64828,
