name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,342,2,0,39,254,13,0,210,10,10,90,1,6,5,0,0,0,55,0,21,1,18,10,7,0,3,1,4,0
Aaron_Lennon,274,0,0,37,185,19,1,202,17,6,0,4,0,10,0,0,0,61,0,21,4,10,12,1,0,4,1,2,0
Aaron_Ramsey,606,1,1,44,508,8,1,207,8,10,90,0,1,16,0,0,0,57,0,21,3,11,13,2,4,0,0,0,4
Aaron_Wan-Bissaka,432,1,1,34,349,4,0,210,14,6,0,1,1,20,0,0,0,45,0,21,0,19,10,6,0,3,0,2,1
Abdoulaye_Doucouré,348,1,1,32,242,4,0,209,15,10,90,2,6,12,0,0,0,53,0,21,1,17,7,6,0,0,1,3,5
Abdul Rahman_Baba,630,0,0,52,533,13,0,204,9,5,0,1,1,8,0,0,0,60,0,21,2,13,5,2,3,0,0,0,0
Abel_Hernández,351,1,0,59,268,6,1,203,13,11,82,3,7,2,1,0,0,59,0,21,5,8,12,9,1,3,1,0,1
Adama_Traoré,414,0,0,51,310,3,0,209,15,3,0,3,6,18,0,0,0,57,0,21,5,10,14,4,0,0,0,1,1
Adam_Federici,570,1,2,40,467,14,0,203,11,6,0,3,2,7,0,0,0,52,0,21,1,14,3,1,1,3,0,1,5
Adam_Lallana,404,0,0,55,284,4,0,205,13,9,90,2,3,11,0,0,0,68,0,21,2,23,15,2,1,1,0,3,3
Adam_Matthews,429,1,1,41,333,6,0,206,16,9,0,5,2,14,0,0,0,60,0,21,3,13,9,5,3,1,1,3,2
Ahmed_Musa,338,0,0,40,230,6,0,204,8,6,70,2,2,4,0,0,0,63,0,21,0,7,9,5,3,0,1,1,2
Aiden_O'Neill,294,0,0,60,182,8,0,201,14,6,0,0,1,13,0,0,0,66,0,21,5,13,8,4,0,1,1,1,2
Aleix_García Serrano,674,0,0,35,595,12,0,202,7,7,0,4,3,6,0,0,0,61,0,21,0,23,6,4,0,4,0,2,4
Alex_McCarthy,414,1,1,53,318,10,0,201,14,14,0,2,6,3,0,0,0,74,0,21,2,13,6,8,0,1,0,2,5
Alex_Palmer,248,0,0,43,162,3,0,208,12,1,0,1,1,17,0,0,0,51,0,21,8,21,8,2,0,4,0,2,0
Alex_Pritchard,670,4,2,25,587,14,1,208,11,18,0,1,4,19,0,0,0,51,0,21,0,13,9,7,0,4,1,0,8
Alfie_Mawson,444,0,0,41,371,12,0,207,12,8,90,2,2,1,0,0,0,64,0,21,4,17,11,6,4,0,1,2,3
Ander_Herrera,491,1,1,50,374,10,1,205,17,6,90,4,4,9,1,0,0,67,0,21,3,28,13,5,1,1,1,1,2
Bojan_Krkic,427,1,0,52,323,13,0,206,11,10,0,1,8,15,0,0,0,65,0,21,2,14,9,3,3,1,0,1,3
