name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell,558,0,0,22,465,10,0,270,8,6,90,1,5,4,0,0,0,67,0,27,2,16,9,6,2,1,1,0,null
Aaron_Lennon,442,2,0,38,331,6,1,267,14,7,0,4,2,17,0,0,0,75,0,27,4,16,11,1,2,3,0,2,0
Aaron_Ramsey,418,1,0,42,321,8,0,262,15,5,0,3,3,9,0,0,0,53,0,27,4,16,6,2,1,3,0,2,2
Aaron_Wan-Bissaka,339,3,2,55,239,13,0,269,12,7,0,0,3,19,0,0,0,61,0,27,1,13,9,2,2,0,0,1,2
Abdoulaye_Doucouré,252,1,0,61,152,6,0,268,16,11,2,2,4,13,0,0,0,64,0,27,7,12,14,6,4,3,1,3,1
Abdul Rahman_Baba,529,2,1,47,446,8,0,270,8,7,0,1,1,20,0,0,0,67,0,27,0,19,11,3,2,1,0,1,1
Abel_Hernández,410,0,0,68,315,6,0,261,13,6,23,0,1,8,0,0,0,57,0,27,3,21,9,5,1,3,0,1,2
Adama_Traoré,367,0,0,41,277,10,0,264,20,8,90,4,3,14,0,0,0,67,0,27,5,16,11,3,0,2,0,2,3
Adam_Federici,299,1,1,69,222,12,0,263,11,2,0,0,1,11,1,0,1,54,1,27,6,14,5,1,1,1,0,2,2
Adam_Lallana,455,2,1,33,346,9,0,262,8,14,90,5,4,1,0,0,0,66,0,27,2,16,10,5,1,3,1,1,0
Adam_Matthews,288,0,1,35,201,10,1,265,11,8,0,4,1,10,0,0,0,62,0,27,5,15,11,5,2,0,1,1,4
Ahmed_Musa,396,2,2,33,286,8,0,261,12,11,0,1,4,7,0,0,0,67,0,27,3,15,13,9,1,3,1,1,3
Aiden_O'Neill,248,0,0,86,162,1,0,266,13,4,0,1,1,16,0,0,0,44,0,27,5,8,11,2,2,3,0,2,3
Aleix_García Serrano,716,2,1,44,641,12,0,265,4,12,0,3,1,15,0,0,0,64,0,27,3,23,11,5,2,0,0,0,2
Aleix_García Serrano,626,2,2,36,514,15,0,277,8,9,0,1,3,14,0,0,0,77,0,27,2,19,14,7,0,0,1,1,5
Alex_McCarthy,447,0,0,62,339,11,1,268,9,15,0,2,3,18,0,0,0,67,0,27,1,23,8,4,4,3,0,2,1
Alex_Palmer,369,0,0,47,264,2,0,269,8,8,0,0,0,5,0,0,0,46,0,27,1,20,8,5,2,0,1,0,7
Alex_Pritchard,453,1,1,34,363,10,0,267,9,15,0,2,5,6,0,0,0,61,0,27,2,23,8,5,2,3,1,1,1
Alfie_Mawson,578,0,0,24,495,21,0,266,7,13,90,1,7,3,1,0,0,57,0,27,2,27,7,11,2,3,1,2,4
Ander_Herrera,617,5,5,25,540,9,1,263,9,18,0,3,7,2,1,1,0,59,0,27,0,14,2,5,1,1,1,3,5
Bojan_Krkic,435,4,2,30,340,24,0,264,16,9,0,1,5,12,0,0,0,75,0,27,2,22,8,5,0,2,1,1,6
Bojan_Krkic,334,0,0,46,231,11,1,277,11,5,0,1,2,10,0,0,0,73,0,27,1,21,8,2,0,0,0,,5
