name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards
Aaron_Cresswell,34,0,0,1,31,0,0,200,0,0,90,0,0,11,0,0,0,5,0,20,0,3,0,0,0,1,0
Aaron_Lennon,15,0,0,4,12,0,0,193,0,1,60,0,0,13,0,0,0,2,0,20,0,1,1,0,3,1,0
Aaron_Ramsey,79,0,0,3,74,3,0,191,1,0,90,1,0,2,0,0,0,10,0,20,0,2,1,2,3,0,1
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,192,0,0,0,0,0,16,0,0,0,0,0,20,0,0,0,0,1,1,0
Abdoulaye_Doucouré,37,0,0,3,32,0,0,196,2,1,90,0,0,14,0,0,0,4,0,20,0,0,0,0,0,0,1
Abdul Rahman_Baba,0,0,0,0,0,0,0,198,0,0,0,0,0,17,0,0,0,0,0,20,0,0,0,0,0,0,0
Abel_Hernández,0,0,0,0,0,0,0,199,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,1,0,0
Adama_Diomande,27,0,0,0,16,1,0,199,1,1,90,0,0,19,0,0,0,1,0,20,0,4,0,3,1,0,0
Adama_Traoré,32,0,0,1,28,4,0,195,0,1,79,0,2,8,0,0,0,3,0,20,0,6,0,0,0,1,0
Adam_Clayton,59,0,0,5,51,0,0,195,3,1,90,0,0,8,0,0,0,8,0,20,0,3,3,0,0,1,1
Adam_Federici,0,0,0,0,0,0,0,191,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,3,1,0
Adam_Forshaw,60,0,0,1,55,1,0,195,0,2,88,0,0,8,0,0,0,7,0,20,0,2,0,0,0,1,0
Adam_Lallana,87,1,0,3,77,0,0,197,1,3,90,0,0,15,0,0,0,8,0,20,0,3,0,0,2,0,1
Adam_Matthews,0,0,0,0,0,0,0,197,0,0,0,0,0,9,0,0,0,0,0,20,0,0,0,0,2,1,0
Adam_Reach,0,0,0,0,0,0,0,195,0,0,0,0,0,8,0,0,0,0,0,20,0,0,0,0,0,1,0
Adam_Smith,10,0,0,1,7,0,0,191,0,1,23,0,0,1,0,0,0,0,0,20,0,2,0,0,3,1,0
Adlène_Guédioura,25,0,0,1,16,0,0,196,1,0,68,0,1,14,0,0,0,3,0,20,0,3,0,0,0,0,0
Adnan_Januzaj,21,0,0,0,14,2,0,197,0,1,78,0,0,9,0,0,0,2,0,20,0,2,0,0,2,1,0
Adrian_Mariappa,0,0,0,0,0,0,0,196,0,0,0,0,0,14,0,0,0,0,0,20,0,0,0,0,0,0,0
