name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Cresswell,21,1,0,1,15,0,0,259,1,1,90,0,1,18,0,0,0,0,0,26,0,1,1,1,1,1,False,0
Aaron_Lennon,0,0,0,0,0,0,0,253,0,0,0,0,0,15,0,0,0,0,0,26,0,0,0,0,0,2,True,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,252,0,0,0,0,0,12,0,0,0,0,0,26,0,0,0,0,0,1,True,0
Abdoulaye_Doucouré,9,0,0,1,8,0,0,259,1,0,37,0,0,20,0,0,0,3,0,26,0,0,0,0,1,1,True,1
Abdul Rahman_Baba,0,0,0,0,0,0,0,251,0,0,0,0,0,16,0,0,0,0,0,26,0,0,0,0,1,3,True,0
Abel_Hernández,0,0,0,0,0,0,0,254,0,0,9,0,0,3,0,0,0,0,0,26,0,0,0,2,1,1,True,0
Adama_Diomande,0,0,0,0,0,0,0,254,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,1,1,True,0
Adama_Traoré,3,0,0,0,2,0,0,252,1,0,12,0,0,5,0,0,0,1,0,26,0,0,0,0,0,1,False,0
Adam_Clayton,0,0,0,0,0,0,0,252,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,0,1,False,0
Adam_Federici,0,0,0,0,0,0,0,260,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,2,False,0
Adam_Forshaw,24,1,0,1,19,0,0,252,1,2,60,0,0,5,0,0,0,3,0,26,0,4,2,1,0,1,False,0
Adam_Lallana,40,0,0,2,35,1,0,255,0,1,65,0,1,8,0,0,0,5,0,26,0,6,4,0,1,3,False,0
