name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,15,0,0,0,12,0,454,0,250,0,14863,0,45,0,19,0,0,0,1,0,25,0,0,0,0,2,2,817,0
Aaron_Lennon,6,0,0,2,4,0,142,0,246,0,14551,0,18,0,12,0,0,0,2,0,25,0,1,1,0,0,0,73,0
Aaron_Ramsey,0,0,0,0,0,0,16,0,241,0,14425,0,0,0,7,0,0,0,0,0,25,0,0,0,0,0,2,49,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,612,0,247,0,15021,0,0,0,14,0,0,0,0,0,25,0,0,0,0,0,1,8,0
Abdoulaye_Doucouré,0,0,0,0,0,0,482,0,245,0,14891,0,0,0,11,0,0,0,0,0,25,0,0,0,0,0,2,16,0
Abdul Rahman_Baba,0,0,0,0,0,0,80,0,243,0,14489,0,0,0,3,0,0,0,0,0,25,0,0,0,0,1,1,22,0
Abel_Hernández,0,0,0,0,0,0,163,0,241,0,14572,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,2,1125,0
Adama_Diomande,3,0,0,0,3,0,164,0,241,0,14573,0,13,0,1,0,0,0,1,0,25,0,1,0,1,0,2,2294,0
Adama_Traoré,34,0,0,0,26,8,563,0,246,1,14972,1,90,0,6,0,0,0,8,0,25,0,8,2,1,0,0,642,0
Adam_Clayton,38,0,0,2,33,0,283,0,246,2,14692,1,90,0,6,0,0,0,8,0,25,0,1,1,0,0,0,6395,1
Adam_Federici,0,0,0,0,0,0,30,0,242,0,14439,0,0,0,10,0,0,0,0,0,25,0,0,0,0,2,0,24,0
Adam_Forshaw,32,0,0,0,25,0,286,0,246,2,14695,1,57,0,6,0,0,0,3,0,25,0,0,1,0,0,0,1281,0
Adam_Lallana,56,0,0,0,41,0,205,0,244,3,14614,1,90,0,17,0,0,0,6,0,25,0,4,0,1,0,2,7384,0
Adam_Matthews,0,0,0,0,0,0,345,0,248,0,14754,0,0,0,13,0,0,0,0,0,25,0,0,0,0,4,0,7,0
Adam_Reach,0,0,0,0,0,0,285,0,246,0,14694,0,0,0,6,0,0,0,0,0,25,0,0,0,0,0,0,1,0
Adam_Smith,39,0,0,4,35,1,34,1,242,2,14443,0,90,0,10,0,0,0,8,0,25,0,2,3,0,2,0,599,0
Ademola_Lookman,14,0,1,3,9,2,627,0,246,0,15036,0,72,0,12,0,0,0,3,0,25,0,4,1,1,0,0,1306,0
Adlène_Guédioura,12,0,0,0,7,1,415,0,246,2,14824,1,33,0,6,0,0,0,2,0,25,0,2,3,2,0,0,163,0
Adnan_Januzaj,14,0,0,1,11,1,261,0,248,1,14670,0,90,0,13,0,0,0,2,0,25,0,9,1,0,4,0,1657,0
Adrian_Mariappa,0,0,0,0,0,0,556,0,245,0,14965,0,0,0,11,0,0,0,0,0,25,0,0,0,0,0,2,102,0
Adrián_San Miguel del Castillo,0,0,0,0,0,0,450,0,250,0,14859,0,0,0,19,0,0,0,0,0,25,0,0,0,0,2,2,100,0
Ahmed_Elmohamady,14,0,0,1,8,0,158,0,241,2,14567,0,25,0,1,0,0,0,1,0,25,0,1,0,1,0,2,53,0
