name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards
Aaron_Cresswell,29,0,0,3,21,0,0,290,1,1,72,0,1,8,0,0,0,1,0,29,0,0,0,0,2,1,0
Aaron_Lennon,0,0,0,0,0,0,0,283,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0,0,4,1,0
Aaron_Ramsey,90,0,0,4,79,1,0,289,1,1,90,0,1,19,0,0,0,2,0,29,0,2,0,2,1,0,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,282,0,0,0,0,0,18,0,0,0,0,0,29,0,0,0,0,1,1,0
Abdoulaye_Doucouré,39,0,0,0,34,1,0,282,1,1,45,0,0,5,0,0,0,1,0,29,0,0,0,0,0,0,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,286,0,0,0,0,0,14,0,0,0,0,0,29,0,0,0,0,2,0,0
Abel_Hernández,10,0,0,1,6,0,0,283,0,0,81,0,0,6,0,0,0,1,0,29,0,1,0,0,0,0,0
Adama_Diomande,1,0,0,0,1,0,0,283,0,0,9,0,0,6,0,0,0,0,0,29,0,1,0,1,0,0,0
Adama_Traoré,7,0,0,0,6,4,0,285,1,0,23,0,1,11,0,0,0,1,0,29,0,3,0,0,1,1,0
Adam_Clayton,69,0,0,2,64,2,0,285,0,0,90,0,0,11,0,0,0,10,0,29,0,1,2,0,1,1,1
Adam_Federici,0,0,0,0,0,0,0,281,0,0,0,0,0,16,0,0,0,0,0,29,0,0,0,0,2,1,0
Adam_Forshaw,0,0,0,0,0,0,0,285,0,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,1,1,0
Adam_Lallana,35,0,1,4,29,0,0,284,0,2,90,0,0,10,0,0,0,4,0,29,0,5,0,0,1,0,0
Adam_Matthews,0,0,0,0,0,0,0,287,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,1,0
Adam_Reach,0,0,0,0,0,0,0,285,0,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,1,1,0
Adam_Smith,44,0,0,3,39,1,0,281,1,1,90,0,0,16,0,0,0,4,0,29,0,0,2,0,2,1,0
Ademola_Lookman,0,0,0,0,0,0,0,283,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0,0,4,1,0
Adlène_Guédioura,0,0,0,0,0,0,0,285,0,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,1,1,0
Adnan_Januzaj,21,0,0,0,17,1,0,287,1,2,90,0,0,3,0,0,0,2,0,29,0,2,1,1,0,1,0
Adrian_Mariappa,0,0,0,0,0,0,0,282,0,0,0,0,0,5,0,0,0,0,0,29,0,0,0,0,0,0,0
Adrián_San Miguel del Castillo,0,0,0,0,0,0,0,290,0,0,0,0,0,8,0,0,0,0,0,29,0,0,0,0,2,1,0
Ahmed_Elmohamady,1,0,0,0,1,0,0,283,0,0,5,0,0,6,0,0,0,1,0,29,0,0,0,0,0,0,0
Ahmed_Musa,4,0,0,0,2,0,0,290,0,0,15,0,0,20,0,0,0,2,0,29,0,0,0,0,3,0,0
Aiden_O'Neill,0,0,0,0,0,0,0,287,0,0,0,0,0,15,0,0,0,0,0,29,0,0,0,0,0,0,0
Ainsley_Maitland-Niles,0,0,0,0,0,0,0,289,0,0,0,0,0,19,0,0,0,0,0,29,0,0,0,0,1,0,0
Alberto_Moreno,0,0,0,0,0,0,0,284,0,0,0,0,0,10,0,0,0,0,0,29,0,0,0,0,1,0,0
Albert_Adomah,0,0,0,0,0,0,0,285,0,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,1,1,0
Aleix_García Serrano,0,0,0,0,0,0,0,284,0,0,0,0,0,9,0,0,0,0,0,29,0,0,0,0,1,1,0
Aleksandar_Kolarov,0,0,0,0,0,0,0,284,0,0,0,0,0,9,0,0,0,0,0,29,0,0,0,0,1,1,0
Alexander_Manninger,0,0,0,0,0,0,0,284,0,0,0,0,0,10,0,0,0,0,0,29,0,0,0,0,1,0,0
Alexis_Sánchez,58,0,0,0,46,1,0,289,1,1,77,0,1,19,0,0,0,5,0,29,0,3,3,0,1,0,0
Alex_Baptiste,0,0,0,0,0,0,0,285,0,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,1,1,0
Alex_Bruce,0,0,0,0,0,0,0,283,0,0,0,0,0,6,0,0,0,0,0,29,0,0,0,0,0,0,0
Alex_Iwobi,13,0,0,0,12,0,0,289,0,0,13,0,0,19,0,0,0,1,0,29,0,0,0,0,1,0,0
Alex_McCarthy,0,0,0,0,0,0,0,288,0,0,0,0,0,17,0,0,0,0,0,29,0,0,0,0,1,0,0
Alex_Oxlade-Chamberlain,72,0,0,1,62,4,0,289,2,1,90,0,0,19,0,0,0,7,0,29,0,3,2,0,1,0,0
Alex_Palmer,0,0,0,0,0,0,0,289,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,0,3,1,0
