name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards
Aaron_Cresswell,0,0,0,0,0,0,0,29,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,1,0,0
Aaron_Lennon,0,0,0,0,0,0,0,23,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,1,1,0
Aaron_Ramsey,0,0,0,0,0,0,0,28,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,3,0,0
Abdoulaye_Doucouré,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0
Abel_Hernández,13,0,0,0,10,0,0,24,2,0,82,0,0,11,0,0,0,3,0,3,0,4,0,0,0,1,0
Adama_Diomande,34,0,0,0,25,0,0,24,1,2,90,0,0,11,0,0,0,4,0,3,0,5,2,0,0,1,0
Adam_Clayton,77,0,0,3,69,0,0,30,0,0,90,0,0,19,0,0,0,7,0,3,0,1,1,0,0,0,0
Adam_Federici,0,0,0,0,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,1,0,0
Adam_Forshaw,78,0,0,5,70,0,0,30,1,1,90,0,1,19,0,0,0,6,0,3,0,0,0,0,0,0,0
Adam_Lallana,43,0,0,2,36,0,0,27,0,2,90,2,0,17,0,0,0,6,0,3,0,2,0,0,1,0,0
Adam_Matthews,0,0,0,0,0,0,0,26,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,1,0,0
Adam_Reach,0,0,0,0,0,0,0,30,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0
Adam_Smith,34,0,0,2,27,2,0,22,1,1,90,0,1,5,0,0,0,6,0,3,0,3,1,0,1,0,0
