name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,368,0,0,50,287,9,0,59,9,9,0,0,5,13,0,0,0,52,0,6,6,18,3,7,0,5,0,Southampton,469,2,1,55,385,5,0,14,15,0,3,0,0,0,52,0,0,7,10,5,3,2,9
Arsenal,534,1,0,49,440,11,0,51,9,11,0,5,1,4,0,0,0,67,0,6,2,24,14,5,3,0,5,Chelsea,535,1,1,36,445,9,0,11,7,2,6,0,0,0,67,0,2,19,20,5,0,2,2
Middlesbrough,389,0,0,65,283,8,2,55,14,4,32,0,4,17,0,0,0,55,0,6,3,16,15,2,1,2,2,Norwich City,552,1,1,22,454,17,0,9,15,3,0,0,0,0,59,0,1,32,12,7,2,1,5
AFC Bournemouth,421,0,0,47,336,9,0,52,10,9,0,1,2,6,0,0,0,68,0,6,2,23,10,7,1,2,1,Everton,359,1,1,30,271,6,1,14,11,2,6,0,0,0,56,0,0,20,15,6,0,2,2
Liverpool,763,2,4,14,698,19,0,53,8,24,68,0,3,7,0,0,0,65,0,6,0,20,13,9,5,1,11,Hull City,264,0,0,51,190,12,0,8,1,1,0,2,0,0,51,1,6,18,11,1,1,2,1
Sunderland,361,0,1,64,258,8,0,57,15,5,0,3,2,5,0,0,0,64,0,6,1,17,5,4,2,0,4,Crystal Palace,425,0,0,48,316,6,0,12,18,2,6,0,0,0,36,0,2,14,7,12,3,2,4
Burnley,359,0,0,46,242,3,0,60,11,9,0,5,2,18,0,0,0,63,0,6,3,15,12,3,2,1,4,Watford,475,1,1,46,348,10,0,15,6,0,1,0,0,0,61,0,2,18,13,4,0,3,3
Swansea City,388,1,1,46,300,13,0,58,15,11,0,1,12,10,1,0,0,65,0,6,1,13,7,8,1,2,5,Manchester City,563,3,2,42,481,17,0,9,15,2,2,0,0,0,72,0,4,14,7,8,3,4,4
Manchester United,710,3,2,59,617,4,0,54,9,12,90,4,1,8,0,0,0,66,0,6,2,13,5,8,4,0,7,Leicester City,335,0,0,35,230,4,0,12,5,1,1,0,0,0,55,0,3,13,9,1,1,2,3
Stoke City,409,1,1,27,304,6,1,56,9,10,0,1,4,19,0,0,0,60,0,6,2,15,8,4,1,3,1,West Bromwich Albion,319,0,0,37,218,9,0,13,7,1,1,0,0,0,53,0,0,22,7,3,1,4,3
