name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,417,1,1,67,343,9,1,170,13,12,90,1,1,7,0,0,0,50,0,17,4,22,6,3,1,2,5,Hull City,317,1,2,50,214,4,0,9,12,9,1,1,0,0,59,0,4,7,14,8,0,4,4
Everton,286,1,1,55,182,8,0,163,13,4,90,1,2,9,0,0,0,70,0,17,2,20,12,3,0,3,1,Liverpool,604,1,2,48,496,6,0,9,9,1,3,0,0,0,65,0,1,17,10,5,1,1,3
Crystal Palace,478,0,0,30,371,5,0,162,12,3,0,1,2,4,0,0,0,60,0,17,5,22,5,4,0,2,2,Chelsea,419,0,0,51,322,15,0,15,9,2,1,0,0,0,65,0,2,11,9,3,1,3,6
Middlesbrough,411,1,0,73,304,7,0,165,10,8,4,0,5,16,0,0,0,63,0,17,2,17,9,5,3,1,4,Swansea City,520,0,0,23,418,11,0,11,11,3,6,1,0,0,54,0,1,17,8,6,0,0,2
AFC Bournemouth,449,0,0,58,366,13,1,161,6,8,0,0,7,13,0,0,0,74,0,17,4,26,10,2,1,0,5,Southampton,519,1,0,35,426,10,0,12,10,2,4,0,0,0,77,0,4,20,11,4,3,3,7
Sunderland,272,0,0,62,186,8,0,167,10,10,0,2,6,18,0,0,0,68,0,17,4,14,16,3,1,1,4,Watford,366,0,0,36,265,9,0,9,7,2,4,0,0,0,48,0,3,18,10,4,0,2,4
Manchester City,594,3,2,33,501,11,0,164,9,12,0,4,3,1,0,0,0,60,0,17,0,16,9,7,2,4,5,Arsenal,389,1,0,43,288,11,0,13,4,1,2,0,0,0,47,0,3,18,7,5,1,2,1
West Bromwich Albion,412,1,1,29,308,10,0,169,9,7,0,3,2,11,0,0,0,60,0,17,3,14,9,6,0,3,1,Manchester United,574,1,1,72,473,4,0,13,8,2,3,0,0,0,54,0,1,14,2,4,2,3,5
Norwich City,481,0,0,72,402,16,1,168,10,25,0,0,2,3,0,0,0,70,0,17,1,23,6,12,2,1,9,Burnley,328,1,1,58,206,4,1,11,1,2,4,0,0,0,68,0,7,16,15,1,1,2,2
Stoke City,575,1,1,32,490,9,0,166,9,11,82,3,5,8,0,0,0,65,0,17,6,15,5,4,2,2,7,Leicester City,310,2,0,48,227,6,0,12,12,0,6,1,0,0,58,1,5,9,6,3,2,6,8
