name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Everton,541,1,0,36,455,20,0,42,5,9,0,4,3,12,0,0,0,53,0,5,0,22,17,4,3,2,6,Middlesbrough,503,0,0,53,407,8,0,15,5,3,2,0,0,0,63,0,3,19,16,3,1,1,1
Watford,286,1,1,36,184,6,1,50,14,6,0,0,5,11,0,0,0,58,0,5,1,13,12,3,3,3,5,Manchester United,415,0,1,58,345,8,1,19,7,2,4,1,0,0,62,0,2,18,10,9,1,4,2
Chelsea,542,1,0,48,474,21,0,41,6,10,0,6,2,9,0,0,0,53,0,5,3,19,8,3,1,1,4,Liverpool,499,1,1,41,417,13,0,13,9,2,3,0,0,0,53,0,3,19,12,2,2,1,5
Hull City,506,0,0,36,435,15,0,43,9,4,76,3,2,1,1,0,1,50,1,5,6,16,14,2,1,0,2,Arsenal,799,2,4,35,738,5,0,12,15,2,1,1,1,0,61,0,1,18,7,6,4,2,10
Leicester City,517,4,2,24,393,9,0,44,10,11,0,2,3,3,0,0,0,63,0,5,2,14,8,3,3,0,7,Burnley,361,1,1,61,248,7,0,9,5,4,4,0,0,0,58,0,4,12,11,4,0,1,2
Manchester City,588,4,1,34,525,13,0,45,8,16,16,1,2,2,0,0,0,65,1,5,2,15,13,3,4,1,12,AFC Bournemouth,321,0,0,31,250,22,1,11,6,2,1,0,0,0,63,0,8,25,8,3,0,1,2
Southampton,443,3,3,33,367,8,0,48,14,16,0,5,8,16,0,0,0,64,0,5,3,11,8,9,1,1,6,Swansea City,400,0,0,41,313,5,0,9,8,1,6,0,0,0,59,0,5,11,3,5,0,1,3
Norwich City,615,0,1,25,548,13,1,49,7,22,0,0,4,15,0,0,0,57,0,5,1,25,16,15,1,1,9,Sunderland,223,2,2,54,140,10,0,16,5,0,3,0,0,0,55,1,8,17,19,3,0,5,1
West Bromwich Albion,254,2,0,43,185,4,0,46,14,7,23,1,3,20,1,0,0,66,0,5,3,24,11,2,4,2,6,West Ham United,613,1,1,43,552,15,0,6,17,1,7,1,0,0,64,0,2,17,16,9,2,1,5
Crystal Palace,466,0,0,50,384,17,1,47,15,9,84,2,3,14,0,0,0,72,0,5,3,28,17,2,4,2,7,Stoke City,353,3,3,37,260,5,0,9,8,3,2,0,0,0,71,0,3,27,15,6,1,1,4
