name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Cresswell_402,21,0,0,3,16,0,0,129,0,1,45,0,0,13,0,0,0,2,0,13,0,0,0,1,4,0,True,0
Aaron_Lennon_83,30,0,0,0,25,0,0,123,0,1,90,0,1,15,0,0,0,3,0,13,0,2,3,0,2,1,True,0
Aaron_Mooy_199,63,0,0,0,54,0,0,130,0,2,90,0,0,20,0,0,0,7,0,13,0,4,1,0,2,0,False,0
Aaron_Ramsey_14,8,0,0,0,8,0,0,121,0,1,8,0,0,2,0,0,0,2,0,13,0,1,1,0,2,1,False,0
Aaron_Wan-Bissaka_145,27,0,0,7,18,1,0,126,1,0,90,0,0,14,0,0,0,6,0,13,0,2,4,0,0,0,False,0
Abdelhamid_Sabiri_205,0,0,0,0,0,0,0,130,0,0,0,0,0,20,0,0,0,0,0,13,0,0,0,0,2,0,False,0
Abdoulaye_Doucouré_390,47,0,0,3,38,3,0,128,4,0,90,0,0,12,0,0,0,11,0,13,0,3,0,0,3,0,True,0
Aboubakar_Kamara_189,8,0,0,0,4,0,0,125,1,0,16,0,0,16,0,0,0,1,0,13,0,0,0,0,2,3,True,0
Adama_Diakhaby_471,0,0,0,0,0,0,0,130,0,0,0,0,0,20,0,0,0,0,0,13,0,0,0,0,2,0,False,0
Adama_Traoré_500,11,0,0,0,9,2,0,130,1,1,45,0,1,10,0,0,0,2,0,13,0,4,1,0,2,0,True,0
Adam_Lallana_250,0,0,0,0,0,0,0,128,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,3,0,False,0
Adam_Masina_386,41,0,0,3,28,1,0,128,1,1,90,0,1,12,0,0,0,4,0,13,0,0,1,0,3,0,True,0
Adam_Smith_29,0,0,0,0,0,0,0,121,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,2,1,True,0
Ademola_Lookman_170,19,1,1,0,14,2,0,124,0,1,17,0,0,5,0,0,0,1,0,13,0,0,0,0,0,1,True,0
Adrian_Mariappa_382,42,0,0,5,29,1,0,128,2,0,90,0,0,12,0,0,0,4,0,13,0,1,0,0,3,0,True,0
Adrien Sebastian_Perruchet Silva_231,0,0,0,0,0,0,0,122,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,1,1,False,0
Adrián_San Miguel del Castillo_399,0,0,0,0,0,0,0,129,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,4,0,True,0
Ainsley_Maitland-Niles_20,0,0,0,0,0,0,0,121,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,2,1,False,0
Alberto_Moreno_240,0,0,0,0,0,0,0,128,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,3,0,False,0
Aleksandar_Mitrovic_480,30,0,0,3,20,1,0,125,1,2,85,2,0,16,0,0,0,3,0,13,0,6,0,0,2,3,True,0
Alexander_Sørloth_153,0,0,0,0,0,0,0,126,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,0,False,0
Alexandre_Lacazette_22,0,0,0,0,0,0,0,121,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,2,1,False,0
Alexis_Sánchez_295,21,0,0,0,14,1,0,126,2,1,22,0,0,7,0,0,0,1,0,13,0,0,0,0,0,0,True,0
Alex_Iwobi_15,42,0,0,0,32,0,0,121,1,1,81,0,0,2,0,0,0,3,0,13,0,2,0,1,2,1,False,0
Alex_McCarthy_328,30,0,0,0,15,0,0,125,0,0,90,0,0,9,0,0,0,12,0,13,2,0,0,0,2,3,False,0
Alex_Oxlade-Chamberlain_248,0,0,0,0,0,0,0,128,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,3,0,False,0
Alex_Pritchard_206,46,0,0,0,38,0,0,130,1,0,90,0,1,20,0,0,0,3,0,13,0,7,0,0,2,0,False,0
Alex_Smithies_89,0,0,0,0,0,0,0,124,0,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,1,False,0
Alfie_Mawson_487,45,0,0,9,37,0,0,125,1,0,90,0,0,16,0,0,0,7,0,13,0,0,0,0,2,3,True,1
Alfie_Whiteman_538,0,0,0,0,0,0,0,127,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,1,3,True,0
Alireza_Jahanbakhsh_476,0,0,0,0,0,0,0,122,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,1,1,True,0
Alisson_Ramses Becker_468,22,0,0,1,15,0,0,128,0,0,90,0,0,18,0,0,0,6,0,13,1,0,0,0,3,0,False,0
Anders_Lindegaard_485,0,0,0,0,0,0,0,123,0,0,0,0,0,15,0,0,0,0,0,13,0,0,0,0,2,1,True,0
Ander_Herrera_299,0,0,0,0,0,0,0,126,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,True,0
Andreas_Christensen_119,0,0,0,0,0,0,0,127,0,0,0,0,0,17,0,0,0,0,0,13,0,0,0,0,1,3,False,0
Andreas_Pereira_481,0,0,0,0,0,0,0,126,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,True,0
Andrew_Robertson_247,74,1,0,2,67,2,0,128,0,1,90,0,1,18,0,0,0,8,0,13,0,2,0,0,3,0,False,0
Andrew_Surman_35,0,0,0,0,0,0,0,121,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,2,1,True,0
Andre_Gray_395,2,0,0,0,0,0,0,128,0,0,15,0,0,12,0,0,0,0,0,13,0,0,0,0,3,0,True,0
Andriy_Yarmolenko_453,0,0,0,0,0,0,0,129,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,4,0,True,0
Andros_Townsend_149,41,0,1,0,38,3,0,126,1,2,87,0,0,14,0,0,0,2,0,13,0,2,0,2,0,0,False,0
André Filipe_Tavares Gomes_508,57,0,0,3,49,4,0,124,1,0,90,0,1,5,0,0,0,7,0,13,0,5,0,2,0,1,True,0
André-Frank_Zambo Anguissa_512,0,0,0,0,0,0,0,125,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,2,3,True,0
André_Schürrle_478,15,0,0,3,13,0,0,125,2,2,73,1,0,16,0,0,0,3,0,13,0,2,0,0,2,3,True,0
Andy_Carroll_418,0,0,0,0,0,0,0,129,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,4,0,True,0
Angelo_Ogbonna_403,0,0,0,0,0,0,0,129,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,4,0,True,0
Angus_Gunn_452,0,0,0,0,0,0,0,125,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,2,3,False,0
