name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Cresswell_402,27,0,0,0,24,0,0,289,0,1,33,0,1,15,0,0,0,1,0,29,0,1,0,0,0,2,1,0
Aaron_Lennon_83,0,0,0,0,0,0,0,283,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0,0,3,1,1,0
Aaron_Mooy_199,27,0,0,2,21,1,0,282,0,0,49,0,0,3,0,0,0,4,0,29,0,2,0,0,0,1,0,1
Aaron_Ramsey_14,26,0,0,1,19,1,0,287,3,1,71,1,0,17,0,0,0,7,0,29,0,4,1,0,1,1,0,0
Aaron_Wan-Bissaka_145,35,0,0,7,23,2,0,283,1,1,90,0,0,4,0,0,0,7,0,29,0,3,3,0,3,1,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0,0,0,283,0,0,0,0,0,7,0,0,0,0,0,29,0,0,0,0,3,1,1,0
Abdelhamid_Sabiri_205,0,0,0,0,0,0,0,282,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,1,0,0
Abdoulaye_Doucouré_390,53,0,0,6,44,0,0,288,0,0,90,0,0,11,0,0,0,10,0,29,0,1,0,0,1,2,1,1
Aboubakar_Kamara_189,0,0,0,0,0,0,0,285,0,0,0,0,0,6,0,0,0,0,0,29,0,0,0,0,2,1,1,0
Adalberto_Peñaranda_554,0,0,0,0,0,0,0,288,0,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,1,2,1,0
Adama_Diakhaby_471,0,0,0,0,0,0,0,282,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,1,0,0
Adama_Traoré_500,33,0,0,2,19,5,0,290,0,0,74,0,0,5,0,0,0,7,0,29,0,3,2,2,0,2,1,0
Adam_Lallana_250,6,0,0,0,4,0,0,284,0,0,6,0,0,8,0,0,0,0,0,29,0,0,0,0,0,0,0,0
Adam_Masina_386,0,0,0,0,0,0,0,288,0,0,0,0,0,11,0,0,0,0,0,29,0,0,0,0,1,2,1,0
Adam_Smith_29,9,0,0,2,7,1,0,281,2,0,90,0,0,13,0,0,0,4,0,29,0,0,0,0,1,0,1,0
Ademola_Lookman_170,0,0,0,0,0,0,0,284,0,0,0,0,0,12,0,0,0,0,0,29,0,0,0,0,0,0,1,0
Adrian_Mariappa_382,25,0,1,13,23,0,0,288,2,0,90,0,0,11,0,0,0,0,0,29,0,1,0,0,1,2,1,1
Adrien Sebastian_Perruchet Silva_231,0,0,0,0,0,0,0,288,0,0,0,0,0,18,0,0,0,0,0,29,0,0,0,0,1,2,0,0
