name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell_402,0,0,0,0,0,0,402,0,369,0,20953,0,0,0,16,0,0,0,0,0,37,0,0,0,0,0,3,50,0
Aaron_Lennon_83,0,0,0,0,0,0,83,0,365,0,20634,0,0,0,8,0,0,0,0,0,37,0,0,0,0,0,2,9,0
Aaron_Mooy_199,33,0,0,1,26,1,199,0,366,1,20750,0,90,0,14,0,0,0,9,0,37,0,3,0,0,1,1,87,0
Aaron_Ramsey_14,0,0,0,0,0,0,14,0,361,0,20565,0,0,0,3,0,0,0,0,0,37,0,0,0,0,1,1,97,0
Aaron_Rowe_607,0,0,0,0,0,0,607,0,366,0,21158,0,0,0,14,0,0,0,0,0,37,0,0,0,0,1,1,5,0
Aaron_Wan-Bissaka_145,40,0,0,7,31,0,145,0,363,1,20696,0,90,0,5,0,0,0,4,0,37,0,1,2,0,3,2,79075,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,0,0,0,0,0,0,564,0,365,0,21115,0,0,0,8,0,0,0,0,0,37,0,0,0,0,0,2,7,0
Abdelhamid_Sabiri_205,0,0,0,0,0,0,205,0,366,0,20756,0,0,0,14,0,0,0,0,0,37,0,0,0,0,1,1,45,0
Abdoulaye_Doucouré_390,59,0,0,5,48,0,390,0,364,2,20941,2,90,0,6,0,0,0,11,0,37,0,8,1,2,0,3,1523,1
Aboubakar_Kamara_189,0,0,0,0,0,0,189,0,370,0,20740,0,0,0,20,0,0,0,0,0,37,0,0,0,0,0,1,42,0
Adalberto_Peñaranda_554,0,0,0,0,0,0,554,0,364,0,21105,0,0,0,6,0,0,0,0,0,37,0,0,0,0,0,3,76,0
Adama_Diakhaby_471,1,0,0,0,0,0,471,0,366,1,21022,0,1,0,14,0,0,0,0,0,37,0,1,0,0,1,1,5,0
Adama_Traoré_500,0,0,0,0,0,0,500,0,370,0,21051,0,0,0,9,0,0,0,0,0,37,0,0,0,0,0,1,70,0
Adam_Lallana_250,0,0,0,0,0,0,250,0,368,0,20801,0,0,0,15,0,0,0,0,0,37,0,0,0,0,3,2,10,0
Adam_Masina_386,0,0,0,0,0,0,386,0,364,0,20937,0,0,0,6,0,0,0,0,0,37,0,0,0,0,0,3,33,0
Adam_Smith_29,60,0,0,2,50,1,29,0,362,1,20580,3,90,0,17,0,0,0,8,0,37,0,4,3,1,0,1,28,0
Ademola_Lookman_170,12,0,0,0,10,0,170,0,365,1,20721,0,17,0,4,0,0,0,1,0,37,0,1,0,1,0,2,30,0
Adrian_Mariappa_382,28,0,0,5,23,0,382,0,364,0,20933,1,90,0,6,0,0,0,1,0,37,0,0,0,0,0,3,166,0
Adrien Sebastian_Perruchet Silva_231,0,0,0,0,0,0,231,0,367,0,20782,0,0,0,13,0,0,0,0,0,37,0,0,0,0,0,1,3,0
Adrián_San Miguel del Castillo_399,0,0,0,0,0,0,399,0,369,0,20950,0,0,0,16,0,0,0,0,0,37,0,0,0,0,0,3,82,0
Ainsley_Maitland-Niles_20,0,0,0,0,0,0,20,0,361,0,20571,0,0,0,3,0,0,0,0,0,37,0,0,0,0,1,1,170,0
Alberto_Moreno_240,0,0,0,0,0,0,240,0,368,0,20791,0,0,0,15,0,0,0,0,0,37,0,0,0,0,3,2,35,0
Aleksandar_Mitrovic_480,27,0,1,1,18,0,480,0,370,1,21031,1,90,0,20,0,0,0,2,0,37,0,5,0,1,0,1,8211,0
Alexander_Sørloth_153,0,0,0,0,0,0,153,0,363,0,20704,0,0,0,5,0,0,0,0,0,37,0,0,0,0,3,2,1,0
Alexandre Nascimento_Costa Silva_560,0,0,0,0,0,0,560,0,369,0,21111,0,0,0,16,0,0,0,0,0,37,0,0,0,0,0,3,330,0
Alexandre_Lacazette_22,25,0,0,0,19,4,22,0,361,0,20573,1,90,0,3,0,0,0,6,0,37,0,9,0,1,1,1,51679,0
Alexis_Sánchez_295,27,0,0,1,20,1,295,0,366,1,20846,1,53,0,10,0,0,0,1,0,37,0,1,1,0,1,1,611,0
Alex_Iwobi_15,10,0,0,0,6,0,15,0,361,0,20566,1,13,0,3,0,0,0,2,0,37,0,1,0,0,1,1,1851,0
Alex_McCarthy_328,0,0,0,0,0,0,328,0,369,0,20879,0,0,0,19,0,0,0,0,0,37,0,0,0,0,0,3,397,0
Alex_Oxlade-Chamberlain_248,0,0,0,0,0,0,248,0,368,0,20799,0,0,0,15,0,0,0,0,0,37,0,0,0,0,3,2,308,0
Alex_Pritchard_206,41,0,0,0,29,0,206,0,366,0,20757,2,90,0,14,0,0,0,5,0,37,0,1,2,0,1,1,41,0
Alex_Smithies_89,0,0,0,0,0,0,89,0,363,0,20640,0,0,0,7,0,0,0,0,0,37,0,0,0,0,3,2,32,0
Alfie_Jones_595,0,0,0,0,0,0,595,0,369,0,21146,0,0,0,19,0,0,0,0,0,37,0,0,0,0,0,3,96,0
Alfie_Mawson_487,0,0,0,0,0,0,487,0,370,0,21038,0,0,0,20,0,0,0,0,0,37,0,0,0,0,0,1,22,0
Alfie_Whiteman_538,0,0,0,0,0,0,538,0,362,0,21089,0,0,0,2,0,0,0,0,0,37,0,0,0,0,0,1,138,0
Alireza_Jahanbakhsh_476,8,0,0,0,6,0,476,0,361,1,21027,1,45,1,1,1,0,0,2,0,37,0,1,0,0,1,1,24,0
Alisson_Ramses Becker_468,17,0,0,2,14,0,468,0,368,0,21019,0,90,0,15,0,0,0,14,0,37,4,0,0,0,3,2,9142,0
Anders_Lindegaard_485,0,0,0,0,0,0,485,0,365,0,21036,0,0,0,8,0,0,0,0,0,37,0,0,0,0,0,2,21,0
Ander_Herrera_299,48,0,0,0,44,2,299,0,366,0,20850,1,37,0,10,0,0,0,6,0,37,0,1,2,1,1,1,1042,0
Andreas_Christensen_119,44,0,0,7,38,1,119,0,364,1,20670,0,90,0,18,0,0,0,9,0,37,0,0,0,0,0,3,876,0
Andreas_Pereira_481,0,0,0,0,0,0,481,0,366,0,21032,0,0,0,10,0,0,0,0,0,37,0,0,0,0,1,1,330,0
Andrew_Robertson_247,78,0,0,2,68,1,247,0,368,0,20798,2,90,0,15,0,0,0,3,0,37,0,0,0,1,3,2,34816,0
Andrew_Surman_35,0,0,0,0,0,0,35,0,362,0,20586,0,0,0,17,0,0,0,0,0,37,0,0,0,0,0,1,10,0
Andre_Gray_395,3,0,0,0,3,0,395,0,364,0,20946,1,7,1,6,0,0,0,0,0,37,0,0,0,0,0,3,7125,0
Andriy_Yarmolenko_453,0,0,0,0,0,0,453,0,369,0,21004,0,0,0,16,0,0,0,0,0,37,0,0,0,0,0,3,15,0
Andros_Townsend_149,47,0,0,2,38,4,149,0,363,0,20700,5,83,0,5,0,0,0,9,0,37,0,3,0,1,3,2,3157,0
André Filipe_Tavares Gomes_508,0,0,0,0,0,0,508,0,365,0,21059,0,0,0,4,0,0,0,0,0,37,0,0,0,0,0,2,18,0
André-Frank_Zambo Anguissa_512,71,0,0,4,60,4,512,0,370,1,21063,0,87,0,20,0,0,0,4,0,37,0,2,0,1,0,1,67,0
André_Schürrle_478,0,0,0,0,0,0,478,0,370,0,21029,0,0,0,20,0,0,0,0,0,37,0,0,0,0,0,1,43,0
Andy_Carroll_418,0,0,0,0,0,0,418,0,369,0,20969,0,0,0,16,0,0,0,0,0,37,0,0,0,0,0,3,24,0
Angelo_Ogbonna_403,0,0,0,0,0,0,403,0,369,0,20954,0,0,0,16,0,0,0,0,0,37,0,0,0,0,0,3,284,0
Angel_Gomes_568,0,0,0,0,0,0,568,0,366,0,21119,0,0,0,10,0,0,0,0,0,37,0,0,0,0,1,1,21,0
Angus_Gunn_452,0,0,0,0,0,0,452,0,369,0,21003,0,0,0,19,0,0,0,0,0,37,0,0,0,0,0,3,3211,0
Anthony_Driscoll-Glennon_615,0,0,0,0,0,0,615,0,365,0,21166,0,0,0,8,0,0,0,0,0,37,0,0,0,0,0,2,56,0
Anthony_Knockaert_55,7,0,0,3,5,0,55,0,361,1,20606,0,45,1,1,0,0,0,2,0,37,0,0,0,0,1,1,58,0
Anthony_Martial_301,0,0,0,0,0,0,301,0,366,0,20852,0,0,0,10,0,0,0,0,0,37,0,0,0,0,1,1,14073,0
Anthony_Pilkington_103,0,0,0,0,0,0,103,0,363,0,20654,0,0,0,7,0,0,0,0,0,37,0,0,0,0,3,2,3,0
Antonio_Barreca_588,0,0,0,0,0,0,588,0,368,0,21139,0,0,0,12,0,0,0,0,0,37,0,0,0,0,3,2,32,0
Antonio_Rüdiger_118,0,0,0,0,0,0,118,0,364,0,20669,0,0,0,18,0,0,0,0,0,37,0,0,0,0,0,3,309,0
Antonio_Valencia_288,0,0,0,0,0,0,288,0,366,0,20839,0,0,0,10,0,0,0,0,0,37,0,0,0,0,1,1,32,0
Arijanet_Muric_529,0,0,0,0,0,0,529,0,367,0,21080,0,0,0,11,0,0,0,0,0,37,0,0,0,0,0,1,23,0
Aron_Gunnarsson_102,31,0,0,5,20,0,102,0,363,1,20653,0,90,0,7,0,0,0,9,0,37,0,2,0,0,3,2,39,0
Arthur_Masuaku_410,72,0,0,7,62,5,410,0,369,0,20961,2,90,0,16,0,0,0,8,0,37,0,3,0,1,0,3,3232,0
Artur_Boruc_25,0,0,0,0,0,0,25,0,362,0,20576,0,0,0,17,0,0,0,0,0,37,0,0,0,0,0,1,5897,0
