name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Cresswell_402,0,0,0,0,0,0,0,163,0,0,0,0,0,9,0,0,0,0,0,17,0,0,0,0,2,0,0,0
Aaron_Lennon_83,19,0,0,2,13,0,0,168,2,1,90,0,0,17,0,0,0,4,0,17,0,2,2,0,0,1,0,0
Aaron_Mooy_199,0,0,0,0,0,0,0,164,0,0,0,0,0,15,0,0,0,0,0,17,0,0,0,0,1,0,1,0
Aaron_Ramsey_14,0,0,0,0,0,0,0,167,0,0,0,0,0,16,0,0,0,0,0,17,0,0,0,0,2,3,0,0
Aaron_Wan-Bissaka_145,32,0,0,7,21,1,0,162,1,0,90,0,1,11,0,0,0,6,0,17,0,0,1,0,0,1,1,0
Abdelhamid_Sabiri_205,0,0,0,0,0,0,0,164,0,0,0,0,0,15,0,0,0,0,0,17,0,0,0,0,1,0,1,0
Abdoulaye_Doucouré_390,106,1,0,1,90,3,1,169,1,2,90,0,0,5,0,0,0,9,0,17,0,2,0,0,2,3,1,0
Aboubakar_Kamara_189,28,0,2,1,20,3,0,163,2,2,90,2,0,19,0,0,0,5,0,17,0,4,0,0,2,0,1,0
Adalberto_Peñaranda_554,0,0,0,0,0,0,0,169,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,2,3,1,0
Adama_Diakhaby_471,0,0,0,0,0,0,0,164,0,0,0,0,0,15,0,0,0,0,0,17,0,0,0,0,1,0,1,0
Adama_Traoré_500,0,0,0,0,0,0,0,170,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,2,1,0
Adam_Lallana_250,0,0,0,0,0,0,0,165,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,1,3,1,0
Adam_Masina_386,0,0,0,0,0,0,0,169,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,2,3,1,0
Adam_Smith_29,0,0,0,0,0,0,0,170,0,0,0,0,0,20,0,0,0,0,0,17,0,0,0,0,0,2,0,0
Ademola_Lookman_170,8,1,0,0,7,3,0,166,0,3,33,0,1,13,0,0,0,1,0,17,0,0,0,1,1,3,0,0
