name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards
Filip_Benkovic_501,0,0,0,0,0,0,0,258,0,0,0,0,0,17,0,0,0,0,0,26,0,0,0,0,1,0,0
Florent_Hadergjonaj_197,0,0,0,0,0,0,0,254,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,1,0
Florian_Lejeune_314,55,0,0,5,46,0,0,260,1,0,90,0,0,20,0,0,0,9,0,26,0,0,0,0,1,0,0
Florin_Andone_66,0,0,0,0,0,0,0,251,0,0,0,0,0,4,0,0,0,0,0,26,0,0,0,0,1,1,0
Floyd_Ayité_186,0,0,0,0,0,0,0,253,0,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,1,0
Fousseni_Diabaté_232,0,0,0,0,0,0,0,258,0,0,0,0,0,17,0,0,0,0,0,26,0,0,0,0,1,0,0
Francisco_Femenía Far_383,0,0,0,0,0,0,0,259,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,1,1,0
Fraser_Forster_329,0,0,0,0,0,0,0,257,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,1,1,0
Frederick_Woodman_553,0,0,0,0,0,0,0,260,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,0,1,0,0
Frederico_Rodrigues de Paula Santos_304,0,0,0,0,0,0,0,253,0,0,0,0,0,9,0,0,0,0,0,26,0,0,0,0,3,0,0
Gabriel Fernando_de Jesus_281,14,0,1,0,12,1,0,256,0,1,25,0,0,6,0,0,0,0,0,26,0,0,0,1,6,1,0
Gary_Cahill_114,0,0,0,0,0,0,0,256,0,0,0,0,0,13,0,0,0,0,0,26,0,0,0,0,0,0,0
Gary_Madine_109,0,0,0,0,0,0,0,257,0,0,0,0,0,16,0,0,0,0,0,26,0,0,0,0,2,0,0
Gaëtan_Bong_51,46,0,0,6,33,2,0,251,0,2,90,0,2,4,0,0,0,3,0,26,0,2,0,0,1,1,0
Georges-Kévin_Nkoudou_497,0,0,0,0,0,0,0,258,0,0,0,0,0,11,0,0,0,0,0,26,0,0,0,0,3,1,0
Georginio_Wijnaldum_252,44,1,0,0,40,0,0,255,0,3,76,0,0,2,0,0,0,2,0,26,0,1,1,0,3,1,0
Gerard_Deulofeu_394,33,0,0,3,21,0,0,259,1,0,80,0,0,8,0,0,0,5,0,26,0,7,0,0,1,1,0
Glenn_Murray_62,24,0,0,1,16,1,0,251,1,0,90,0,0,4,0,0,0,1,0,26,0,2,0,1,1,1,0
Gonzalo_Higuaín_579,18,1,0,1,16,1,0,256,0,1,90,1,0,13,0,0,0,0,0,26,0,2,0,0,0,0,0
Grady_Diangana_539,0,0,0,0,0,0,0,252,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,1,0,0
Granit_Xhaka_17,0,0,0,0,0,0,0,254,0,0,0,0,0,10,0,0,0,0,0,26,0,0,0,0,2,0,0
Greg_Cunninghamm_467,0,0,0,0,0,0,0,257,0,0,0,0,0,16,0,0,0,0,0,26,0,0,0,0,2,0,0
Greg_Halford_97,0,0,0,0,0,0,0,257,0,0,0,0,0,16,0,0,0,0,0,26,0,0,0,0,2,0,0
Guido_Carrillo_350,0,0,0,0,0,0,0,257,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,1,1,0
Gylfi_Sigurdsson_172,15,0,0,3,13,0,0,259,0,0,73,0,0,18,0,0,0,5,0,26,0,1,1,1,0,0,0
Hamza_Choudhury_230,0,0,0,0,0,0,0,258,0,0,0,0,0,17,0,0,0,0,0,26,0,0,0,0,1,0,0
Harry_Arter_33,29,0,0,1,23,0,0,257,1,0,90,0,2,16,0,0,0,3,0,26,0,0,1,1,2,0,0
Harry_Kane_372,0,0,0,0,0,0,0,258,0,0,0,0,0,11,0,0,0,0,0,26,0,0,0,0,3,1,0
Harry_Maguire_220,52,0,0,7,35,0,0,258,0,0,90,0,0,17,0,0,0,6,0,26,0,0,0,0,1,0,0
Harry_Winks_368,86,0,0,5,79,2,0,258,0,0,90,1,0,11,0,0,0,9,0,26,0,1,2,0,3,1,0
Harvey_Barnes_571,26,0,1,1,22,3,0,258,0,2,87,2,0,17,0,0,0,5,0,26,0,1,0,2,1,0,0
Henrikh_Mkhitaryan_18,27,1,0,1,20,2,0,254,2,1,75,0,0,10,0,0,0,7,0,26,0,3,1,0,2,0,0
Heung-Min_Son_367,25,0,0,0,20,0,0,258,1,1,90,5,0,11,0,0,0,4,0,26,0,3,0,0,3,1,1
Heurelho_Gomes_373,0,0,0,0,0,0,0,259,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,1,1,0
Hugo_Lloris_351,42,0,0,0,28,0,0,258,0,0,90,0,0,11,0,0,1,9,0,26,9,0,0,0,3,1,0
Håvard_Nordtveit_593,0,0,0,0,0,0,0,253,0,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,1,0
Héctor_Bellerín_4,0,0,0,0,0,0,0,254,0,0,0,0,0,10,0,0,0,0,0,26,0,0,0,0,2,0,0
Hélder_Costa_435,6,0,0,0,4,0,0,260,1,0,21,0,0,15,0,0,0,1,0,26,0,1,1,0,1,1,0
Ibrahima_Cissé_521,0,0,0,0,0,0,0,253,0,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,1,0
Idrissa_Gueye_168,49,0,0,4,41,3,0,259,1,0,90,0,0,18,0,0,0,13,0,26,0,5,0,0,0,0,0
Ilkay_Gündogan_274,77,0,0,2,75,0,0,256,1,2,90,0,1,6,0,0,0,4,0,26,0,0,0,0,6,1,1
Isaac_Hayden_323,26,0,0,4,20,0,0,260,2,2,85,0,1,20,0,0,0,5,0,26,0,2,0,0,1,0,0
Isaac_Mbenza_514,0,0,0,0,0,0,0,254,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,1,1,0
Isaac_Success Ajayi_524,0,0,0,0,0,0,0,259,0,0,0,0,0,8,0,0,0,0,0,26,0,0,0,0,1,1,0
Issa_Diop_409,19,0,0,11,16,0,0,252,1,0,90,0,0,7,0,0,0,2,0,26,0,0,0,0,1,0,0
Ivan_Cavaleiro_434,12,0,0,0,8,1,0,260,0,2,21,0,2,15,0,0,0,0,0,26,0,1,0,1,1,1,0
Jack_Cork_82,24,0,0,4,17,0,0,251,0,0,90,0,0,3,0,0,0,6,0,26,0,0,2,0,3,0,0
Jack_Simpson_32,0,0,0,0,0,0,0,255,0,0,0,0,0,12,0,0,0,0,0,26,0,0,0,0,0,0,0
Jack_Stephens_333,82,0,0,4,68,0,0,257,0,0,90,0,0,5,0,0,0,9,0,26,0,1,2,0,1,1,0
Jack_Wilshere_447,0,0,0,0,0,0,0,252,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,1,0,0
Jacob_Murphy_321,0,0,0,0,0,0,0,260,0,0,0,0,0,20,0,0,0,0,0,26,0,0,0,0,1,0,0
Jairo_Riedewald_144,0,0,0,0,0,0,0,252,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,1,1,0
Jamaal_Lascelles_312,47,0,0,11,38,0,0,260,1,0,90,0,0,20,0,0,0,11,0,26,0,0,1,0,1,0,1
James_Maddison_233,45,0,0,0,37,0,0,258,0,7,90,0,2,17,0,0,0,4,0,26,0,0,1,1,1,0,0
James_McArthur_147,35,0,2,1,28,1,0,252,4,1,78,0,0,19,0,0,0,9,0,26,0,1,0,4,1,1,1
James_McCarthy_166,0,0,0,0,0,0,0,259,0,0,0,0,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0
