name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Huddersfield Town,381,0,0,50,278,10,0,204,14,2,90,0,2,4,0,0,0,61,0,21,4,16,7,2,0,2,1,Burnley,294,2,2,33,179,7,0,14,9,3,3,0,0,0,63,0,1,14,9,5,0,1,4
AFC Bournemouth,407,2,1,42,285,14,0,201,8,18,0,0,9,7,0,0,0,67,0,21,0,14,5,8,2,0,7,Everton,472,1,0,47,349,3,0,13,4,5,1,0,0,0,64,0,5,8,11,3,1,0,1
Crystal Palace,208,1,3,49,124,17,1,203,14,6,0,4,1,11,0,1,0,60,0,21,5,14,4,4,0,5,1,Manchester City,628,0,1,37,549,14,0,11,8,2,1,1,0,1,54,0,1,19,9,4,0,4,5
Watford,503,1,1,27,413,8,0,209,14,7,90,3,3,16,0,0,0,65,0,21,2,17,16,4,1,4,4,Swansea City,485,1,0,22,400,9,0,13,6,2,2,0,0,0,58,0,3,21,9,4,2,2,4
Liverpool,568,5,3,37,457,10,0,205,7,14,0,5,1,9,0,0,0,68,0,21,0,16,9,6,2,3,6,Leicester City,376,1,0,44,263,9,1,3,6,3,0,0,0,0,72,0,4,14,5,1,1,2,1
West Bromwich Albion,324,0,0,48,245,7,1,210,14,8,90,1,6,1,0,0,0,65,0,21,4,12,5,4,1,3,3,Arsenal,648,0,0,39,544,8,1,9,10,2,1,1,0,0,67,0,2,14,10,5,1,3,5
Newcastle United,411,1,1,31,291,13,0,207,11,7,0,1,3,3,0,0,0,70,0,21,3,13,6,5,0,2,2,Brighton,505,1,1,52,395,10,0,10,4,2,1,0,0,0,80,0,2,11,11,5,0,2,3
Manchester United,500,3,3,36,427,12,1,206,12,13,0,1,7,14,0,0,0,64,0,21,3,19,12,5,0,2,3,Southampton,421,1,1,44,328,10,0,13,5,2,1,0,0,0,68,0,3,12,9,4,0,4,3
Chelsea,655,3,2,14,592,10,0,202,5,16,0,3,5,15,0,0,0,64,0,21,1,27,4,7,5,1,12,Stoke City,473,1,1,35,394,10,0,10,1,2,0,1,0,0,49,0,7,9,16,0,0,1,1
