name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,243,4,2,64,149,19,0,270,11,7,90,3,1,18,0,0,0,58,0,27,4,18,9,2,2,1,4,Watford,443,1,1,39,324,11,0,7,10,1,7,0,0,0,60,0,2,20,8,3,0,1,4
Huddersfield Town,436,4,3,47,318,9,0,263,12,10,75,3,5,2,0,0,0,84,0,27,1,18,11,5,4,0,5,AFC Bournemouth,411,1,1,49,286,10,1,12,4,5,1,1,0,0,75,0,1,21,9,2,1,3,2
Everton,391,1,0,37,301,20,1,262,14,6,0,2,1,6,1,0,0,57,0,27,3,10,7,2,3,1,5,Crystal Palace,345,2,2,57,264,13,0,15,12,1,3,0,0,0,63,0,2,16,1,5,1,1,4
Manchester City,708,2,0,16,616,20,0,264,10,17,0,1,1,9,0,0,0,77,0,27,1,18,7,6,5,2,10,Leicester City,292,0,0,45,194,13,1,12,1,2,1,0,0,0,78,0,5,11,6,0,1,3,2
Newcastle United,361,1,0,68,251,8,0,265,12,7,0,2,1,12,0,0,0,65,0,27,3,12,9,5,1,0,3,Manchester United,630,2,2,30,505,18,0,15,7,2,4,0,0,0,68,0,2,19,9,3,0,2,3
Southampton,543,2,2,30,423,13,1,266,5,6,90,5,5,10,0,0,0,77,0,27,2,16,4,2,0,1,4,Liverpool,510,3,2,35,401,11,0,8,12,0,2,0,0,0,73,0,4,16,5,8,2,2,4
Swansea City,478,0,0,27,373,2,0,268,10,9,90,2,2,4,0,0,0,64,0,27,1,13,6,2,1,2,4,Burnley,349,0,0,51,241,1,0,9,9,0,2,0,0,0,59,0,3,14,8,8,0,1,1
Tottenham,495,6,5,33,411,14,0,269,13,15,0,1,6,1,0,0,0,62,0,27,1,12,6,11,1,2,7,Arsenal,509,1,1,36,413,8,1,9,4,6,4,0,0,0,68,0,6,13,7,3,0,1,1
Chelsea,585,3,2,29,487,20,2,261,11,17,73,1,4,19,0,0,0,64,0,27,1,12,5,6,3,0,8,West Bromwich Albion,428,0,1,33,342,13,0,11,5,3,2,0,0,0,69,0,5,21,4,7,0,2,1
Stoke City,465,0,0,38,352,12,0,267,6,10,0,2,2,3,0,1,0,49,0,27,5,28,10,6,1,0,2,Brighton,361,1,1,72,233,10,0,10,13,3,1,1,0,1,66,0,1,11,17,7,1,0,6
