name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Burnley,370,1,1,43,260,6,0,274,8,7,90,1,4,14,0,0,0,69,0,28,4,24,4,3,1,1,3,Southampton,379,0,0,48,254,9,0,14,10,0,3,0,0,0,72,0,2,8,15,3,1,0,5
AFC Bournemouth,556,1,0,31,452,7,0,272,12,11,0,0,6,13,0,0,0,58,0,28,2,17,12,8,2,1,5,Newcastle United,337,4,3,67,234,7,0,10,7,4,1,0,0,0,68,0,3,15,11,6,2,4,4
Arsenal,538,0,1,27,423,9,0,271,11,6,90,0,1,11,0,1,0,74,0,28,2,12,12,2,0,1,5,Manchester City,651,3,1,52,553,22,0,11,6,1,0,1,0,1,70,0,5,25,5,1,3,1,5
Crystal Palace,204,0,0,72,119,4,2,275,12,4,90,0,0,17,0,0,0,66,0,28,4,15,14,1,0,0,3,Tottenham,661,2,3,24,567,8,1,5,7,1,1,0,0,0,66,0,3,28,10,6,1,1,5
Watford,430,0,0,41,317,16,0,279,10,9,90,0,3,7,0,0,0,82,0,28,3,25,10,4,1,3,5,Everton,350,1,1,46,231,7,0,9,6,1,4,0,0,0,72,0,4,19,15,4,0,1,3
Liverpool,711,6,4,29,609,11,0,277,7,19,8,1,3,20,0,0,0,73,0,28,3,18,16,7,4,0,12,West Ham United,339,0,0,46,232,9,0,7,4,2,0,0,0,0,68,0,8,27,8,2,1,2,4
Leicester City,488,0,1,21,357,11,1,276,10,11,0,0,1,15,0,0,0,80,0,28,1,17,9,8,1,1,10,Stoke City,263,0,0,65,139,8,1,16,3,2,0,0,0,0,69,0,9,19,4,2,1,3,2
West Bromwich Albion,403,2,1,46,270,10,0,280,11,7,90,7,1,8,0,0,0,73,0,28,5,27,5,5,1,1,3,Huddersfield Town,358,1,0,47,232,9,0,9,12,5,1,0,0,0,77,0,2,15,11,4,2,1,7
Manchester United,433,2,0,39,353,12,0,278,13,9,80,1,5,5,0,0,0,69,0,28,6,18,12,1,2,2,5,Chelsea,552,2,1,25,476,16,0,12,11,6,2,0,0,0,75,0,3,20,10,4,1,2,7
Brighton,408,3,0,35,308,8,0,273,17,12,78,3,1,16,0,0,0,75,0,28,2,18,10,9,4,1,5,Swansea City,435,0,0,24,333,8,0,6,9,0,2,1,0,0,54,0,1,24,9,6,1,0,3
