name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Lennon,20,0,0,0,15,1,0,201,0,0,90,0,0,2,0,0,0,5,0,21,0,2,3,0,1,2,0,0
Aaron_Mooy,49,0,0,1,36,0,0,204,1,0,90,0,1,4,0,0,0,7,0,21,0,1,0,0,0,0,1,0
Aaron_Ramsdale,0,0,0,0,0,0,0,201,0,0,0,0,0,7,0,0,0,0,0,21,0,0,0,0,1,2,1,0
Aaron_Ramsey,0,0,0,0,0,0,0,210,0,0,0,0,0,19,0,0,0,0,0,21,0,0,0,0,1,1,0,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,203,0,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0,0,1,0
Abdelhamid_Sabiri,0,0,0,0,0,0,0,204,0,0,0,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,1,0
Abdoulaye_Doucouré,80,0,0,3,64,2,0,209,0,1,90,1,0,16,0,0,0,12,0,21,0,3,5,2,2,1,1,1
Adam_Federici,0,0,0,0,0,0,0,201,0,0,0,0,0,7,0,0,0,0,0,21,0,0,0,0,1,2,1,0
Adam_Lallana,0,0,0,0,0,0,0,205,0,0,0,0,0,9,0,0,0,0,0,21,0,0,0,0,1,2,1,0
Adam_Legzdins,0,0,0,0,0,0,0,204,0,0,0,0,0,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0
Adam_Smith,42,1,0,4,32,2,0,201,0,3,90,0,1,7,0,0,0,2,0,21,0,2,2,0,1,2,1,0
Ademola_Lookman,0,0,0,0,0,0,0,201,0,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,1,2,0,0
Adrian_Mariappa,0,0,0,0,0,0,0,209,0,0,0,0,0,16,0,0,0,0,0,21,0,0,0,0,2,1,1,0
Ahmed El-Sayed_Hegazi,25,0,0,7,20,0,0,210,0,0,90,0,0,1,0,0,0,5,0,21,0,0,0,1,1,1,1,0
Ahmed_Musa,0,0,0,0,0,0,0,205,0,0,0,0,0,10,0,0,0,0,0,21,0,0,0,0,1,2,0,0
Ainsley_Maitland-Niles,38,0,0,1,31,1,0,210,1,0,53,0,0,19,0,0,0,8,0,21,0,3,2,0,1,1,0,0
Alberto_Moreno,0,0,0,0,0,0,0,205,0,0,0,0,0,9,0,0,0,0,0,21,0,0,0,0,1,2,1,0
Aleksandar_Dragovic,0,0,0,0,0,0,0,205,0,0,0,0,0,10,0,0,0,0,0,21,0,0,0,0,1,2,0,0
Aleksandar_Kolarov,0,0,0,0,0,0,0,203,0,0,0,0,0,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0
Aleksandar_Mitrovic,0,0,0,0,0,0,0,207,0,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,1,0
Alexandre_Lacazette,25,0,0,1,17,1,0,210,2,1,90,0,0,19,0,0,0,1,0,21,0,2,0,1,1,1,0,0
Alexis_Sánchez,59,0,0,0,43,3,0,210,0,3,90,1,0,19,0,0,0,2,0,21,0,1,0,3,1,1,0,0
Alex_Iwobi,54,0,0,0,47,0,0,210,0,2,73,0,0,19,0,0,0,3,0,21,0,1,1,1,1,1,0,0
Alex_McCarthy,26,0,0,0,3,0,0,206,0,0,90,0,0,12,0,0,0,10,0,21,3,0,0,0,0,0,0,0
Alex_Oxlade-Chamberlain,12,0,0,2,10,0,0,205,0,1,18,0,0,9,0,0,0,1,0,21,0,0,1,0,1,2,1,0
Alex_Palmer,0,0,0,0,0,0,0,210,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,1,1,1,0
Alfie_Mawson,70,0,0,3,64,0,0,209,1,0,90,0,0,18,0,0,0,6,0,21,0,1,0,1,2,1,0,0
Allan-Roméo_Nyom,8,0,0,2,8,0,0,210,0,0,15,0,0,1,0,0,0,1,0,21,0,0,0,0,1,1,1,0
Anders_Lindegaard,0,0,0,0,0,0,0,204,0,0,0,0,0,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0
Ander_Herrera,0,0,0,0,0,0,0,206,0,0,0,0,0,14,0,0,0,0,0,21,0,0,0,0,0,0,1,0
Andreas_Christensen,0,0,0,0,0,0,0,202,0,0,0,0,0,15,0,0,0,0,0,21,0,0,0,0,0,5,1,0
Andreas_Pereira,0,0,0,0,0,0,0,206,0,0,0,0,0,14,0,0,0,0,0,21,0,0,0,0,0,0,1,0
Andrew_Robertson,65,0,0,3,55,0,0,205,2,2,90,0,0,9,0,0,0,7,0,21,0,0,0,0,1,2,1,1
Andrew_Surman,0,0,0,0,0,0,0,201,0,0,0,0,0,7,0,0,0,0,0,21,0,0,0,0,1,2,1,0
Andre_Gray,0,0,1,0,0,0,0,209,0,1,13,0,0,16,0,0,0,0,0,21,0,0,0,0,2,1,1,0
Andros_Townsend,13,0,1,2,8,0,0,203,0,2,90,2,1,11,0,0,0,4,0,21,0,3,0,1,0,0,1,0
André_Carrillo,32,0,0,2,28,2,0,209,2,1,82,0,0,16,0,0,0,3,0,21,0,0,0,0,2,1,1,1
Andy_King,0,0,0,0,0,0,0,205,0,0,0,0,0,10,0,0,0,0,0,21,0,0,0,0,1,2,0,0
Angel_Rangel,0,0,0,0,0,0,0,209,0,0,0,0,0,18,0,0,0,0,0,21,0,0,0,0,2,1,0,0
Anthony_Knockaert,49,0,0,0,46,0,0,207,1,0,90,0,0,13,0,0,0,6,0,21,0,2,0,0,0,0,0,1
Anthony_Martial,10,0,0,0,8,1,0,206,1,1,25,0,0,14,0,0,0,1,0,21,0,3,0,0,0,0,1,0
Antonio_Rüdiger,88,0,0,3,80,3,0,202,0,0,90,0,0,15,0,0,0,7,0,21,0,0,0,0,0,5,1,0
Antonio_Valencia,0,0,0,0,0,0,0,206,0,0,0,0,0,14,0,0,0,0,0,21,0,0,0,0,0,0,1,0
Artur_Boruc,0,0,0,0,0,0,0,201,0,0,0,0,0,7,0,0,0,0,0,21,0,0,0,0,1,2,1,0
Ashley_Barnes,16,0,0,0,8,2,0,204,4,1,80,0,0,8,0,0,0,2,0,21,0,3,0,1,0,0,0,0
Ashley_Westwood,0,0,0,0,0,0,0,204,0,0,0,0,0,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0
Ashley_Williams,0,0,0,0,0,0,0,201,0,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,1,2,0,0
Ashley_Young,38,1,0,2,29,1,0,206,1,3,90,0,2,14,0,0,0,8,0,21,0,0,4,0,0,0,1,0
