name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,61,0,0,4,49,0,443,0,300,3,17137,1,90,0,4,0,0,0,8,0,30,0,2,0,0,3,0,12981,1
Aaron_Lennon,23,1,0,6,15,0,153,0,300,1,16847,2,90,0,20,0,0,0,1,0,30,0,0,2,0,3,0,646,1
Aaron_Mooy,84,0,0,0,71,0,172,0,295,1,16866,4,68,0,16,0,0,0,3,0,30,0,1,0,0,0,0,13297,0
Aaron_Ramsdale,0,0,0,0,0,0,549,0,292,0,17243,0,0,0,17,0,0,0,0,0,30,0,0,0,0,4,1,9,0
Aaron_Ramsey,0,0,0,0,0,0,18,0,291,0,16712,0,0,0,18,0,0,0,0,0,30,0,0,0,0,0,3,25225,0
Aaron_Wan-Bissaka,33,0,0,10,25,2,579,0,293,0,17273,0,90,0,5,0,0,0,5,0,30,0,1,2,0,1,2,166,0
Abdelhamid_Sabiri,0,0,0,0,0,0,522,0,295,0,17216,0,0,0,16,0,0,0,0,0,30,0,0,0,0,0,0,7,0
Abdoulaye_Doucouré,46,0,0,1,43,2,414,0,291,0,17108,1,90,0,1,0,0,0,4,0,30,0,1,0,0,0,3,26950,0
Adam_Federici,0,0,0,0,0,0,31,0,292,0,16725,0,0,0,17,0,0,0,0,0,30,0,0,0,0,4,1,305,0
Adam_Lallana,18,0,0,0,15,0,228,0,296,0,16922,0,28,0,12,0,0,0,1,0,30,0,0,0,0,1,2,85,0
Adam_Legzdins,0,0,0,0,0,0,545,0,300,0,17239,0,0,0,20,0,0,0,0,0,30,0,0,0,0,3,0,71,0
Adam_Smith,27,0,0,4,22,0,35,0,292,1,16729,1,90,0,17,0,0,0,7,0,30,0,5,2,1,4,1,997,0
Ademola_Lookman,0,0,0,0,0,0,157,0,294,0,16851,0,0,0,3,0,0,0,0,0,30,0,0,0,0,0,2,0,0
Adrian_Mariappa,31,0,0,6,24,0,405,0,291,1,17099,0,90,0,1,0,0,0,3,0,30,0,0,0,0,0,3,23466,0
Adrien Sebastian_Perruchet Silva,0,0,0,0,0,0,589,0,299,0,17283,0,0,0,19,0,0,0,0,0,30,0,0,0,0,4,1,137,0
Adrián_San Miguel del Castillo,0,0,0,0,0,0,438,0,300,0,17132,0,0,0,4,0,0,0,0,0,30,0,0,0,0,3,0,2823,0
Ahmed El-Sayed_Hegazi,29,0,0,3,20,0,468,0,299,0,17162,0,90,1,9,0,0,0,5,0,30,0,0,0,0,4,1,13230,0
Ahmed_Musa,0,0,0,0,0,0,207,0,299,0,16901,0,0,0,19,0,0,0,0,0,30,0,0,0,0,4,1,1,0
Aiden_O'Neill,0,0,0,0,0,0,623,0,300,0,17317,0,0,0,20,0,0,0,0,0,30,0,0,0,0,3,0,23,0
Ainsley_Maitland-Niles,46,0,0,7,39,2,546,0,291,1,17240,0,90,0,18,1,0,0,7,0,30,0,3,1,0,0,3,186,0
Alberto_Moreno,0,0,0,0,0,0,216,0,296,0,16910,0,0,0,12,0,0,0,0,0,30,0,0,0,0,1,2,293,0
Aleksandar_Dragovic,0,0,0,0,0,0,541,0,299,0,17235,0,0,0,19,0,0,0,0,0,30,0,0,0,0,4,1,69,0
Aleksandar_Kolarov,0,0,0,0,0,0,243,0,298,0,16937,0,0,0,15,0,0,0,0,0,30,0,0,0,0,2,0,0,0
Aleksandar_Mitrovic,0,0,0,0,0,0,303,0,297,0,16997,0,0,0,14,0,0,0,0,0,30,0,0,0,0,0,3,11,0
Alexander_Sørloth,23,0,1,1,17,1,620,0,293,0,17314,0,90,1,5,0,0,0,3,0,30,0,2,0,2,1,2,937,0
Alexandre_Lacazette,0,0,0,0,0,0,28,0,291,0,16722,0,0,0,18,0,0,0,0,0,30,0,0,0,0,0,3,50,0
Alexis_Sánchez,28,1,0,1,16,2,14,0,296,1,16708,2,90,1,10,0,0,0,8,0,30,0,2,2,0,1,2,1772,0
Alex_Iwobi,24,0,0,0,18,1,21,0,291,0,16715,1,66,1,18,0,0,0,2,0,30,0,0,0,1,0,3,906,0
Alex_McCarthy,19,0,0,0,11,0,305,0,297,0,16999,0,90,0,13,0,0,0,8,0,30,2,0,0,0,0,3,2100,0
Alex_Oxlade-Chamberlain,54,0,0,0,43,2,19,0,296,1,16713,1,61,0,12,0,0,0,3,0,30,0,3,0,0,1,2,17507,1
Alex_Palmer,0,0,0,0,0,0,557,0,299,0,17251,0,0,0,9,0,0,0,0,0,30,0,0,0,0,4,1,125,0
Alex_Pritchard,37,0,0,0,34,1,593,0,295,1,17287,4,64,0,16,0,0,0,3,0,30,0,2,0,1,0,0,3270,0
Alfie_Mawson,11,0,0,14,4,0,357,0,295,0,17051,0,90,0,8,0,0,0,2,0,30,0,0,0,0,0,0,18709,1
Alfie_Whiteman,0,0,0,0,0,0,566,0,292,0,17260,0,0,0,2,0,0,0,0,0,30,0,0,0,0,4,1,108,0
Ali_Gabr,0,0,0,0,0,0,610,0,299,0,17304,0,0,0,9,0,0,0,0,0,30,0,0,0,0,4,1,92,0
Allan-Roméo_Nyom,36,0,0,0,28,1,422,0,299,0,17116,0,90,0,9,0,0,0,6,0,30,0,1,1,0,4,1,34,0
Anders_Lindegaard,0,0,0,0,0,0,554,0,300,0,17248,0,0,0,20,0,0,0,0,0,30,0,0,0,0,3,0,208,0
Ander_Herrera,0,0,0,0,0,0,278,0,296,0,16972,0,0,0,10,0,0,0,0,0,30,0,0,0,0,1,2,24,0
Andreas_Christensen,58,0,0,4,56,0,470,1,293,0,17164,0,90,0,6,0,0,0,3,0,30,0,0,0,0,1,2,25622,0
Andreas_Pereira,0,0,0,0,0,0,476,0,296,0,17170,0,0,0,10,0,0,0,0,0,30,0,0,0,0,1,2,1,0
Andrew_Robertson,41,0,0,1,38,0,475,0,296,2,17169,2,83,0,12,0,0,0,2,0,30,0,0,0,0,1,2,41475,0
Andrew_Surman,0,0,0,0,0,0,41,0,292,0,16735,0,0,0,17,0,0,0,0,0,30,0,0,0,0,4,1,3402,0
Andre_Gray,0,0,0,0,0,0,92,0,291,0,16786,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,3,399,0
Andros_Townsend,20,0,0,2,17,3,131,0,293,1,16825,0,80,0,5,0,0,0,2,0,30,0,2,0,2,1,2,6020,0
André_Ayew,19,0,0,0,14,1,449,0,295,4,17143,0,72,0,8,0,0,0,8,0,30,0,3,1,0,0,0,3701,1
André_Carrillo,0,0,0,0,0,0,527,0,291,0,17221,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,3,89,0
Andy_Carroll,0,0,0,0,0,0,457,0,300,0,17151,0,0,0,4,0,0,0,0,0,30,0,0,0,0,3,0,29,0
Andy_King,12,0,0,3,9,0,201,0,295,1,16895,0,90,0,8,0,0,0,4,0,30,0,0,1,0,0,0,18173,0
Angelo_Ogbonna,29,1,0,6,18,0,444,0,300,0,17138,2,90,0,4,0,0,0,1,0,30,0,1,2,0,3,0,1146,0
Angel_Rangel,0,0,0,0,0,0,353,0,295,0,17047,0,0,0,8,0,0,0,0,0,30,0,0,0,0,0,0,899,0
Anthony_Knockaert,25,0,0,0,15,0,62,0,294,1,16756,1,79,0,7,0,0,0,4,1,30,0,2,0,1,0,2,1546,0
Anthony_Martial,0,0,0,0,0,0,280,0,296,0,16974,0,0,0,10,0,0,0,0,0,30,0,0,0,0,1,2,1213,0
