name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Cresswell,29,0,0,7,24,1,0,240,1,0,90,0,0,2,0,0,0,0,0,24,0,0,0,1,1,1,1,0
Aaron_Lennon,0,0,0,0,0,0,0,234,0,0,0,0,0,19,0,0,0,0,0,24,0,0,0,0,1,1,1,0
Aaron_Mooy,40,0,0,0,27,0,0,238,2,2,90,0,1,15,0,0,0,4,0,24,0,3,2,0,0,2,0,0
Aaron_Ramsdale,0,0,0,0,0,0,0,240,0,0,0,0,0,20,0,0,0,0,0,24,0,0,0,0,1,1,0,0
Aaron_Ramsey,0,0,0,0,0,0,0,231,0,0,0,0,0,6,0,0,0,0,0,24,0,0,0,0,1,4,1,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,231,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,1,4,0,0
Abdelhamid_Sabiri,10,0,0,0,5,0,0,238,1,0,30,0,0,15,0,0,0,2,0,24,0,0,1,0,0,2,0,0
Abdoulaye_Doucouré,50,0,0,2,42,1,0,235,2,1,90,0,0,9,0,0,0,7,0,24,0,2,0,0,0,2,0,0
Adam_Federici,0,0,0,0,0,0,0,240,0,0,0,0,0,20,0,0,0,0,0,24,0,0,0,0,1,1,0,0
Adam_Lallana,30,0,1,0,26,0,0,239,0,1,22,0,0,16,0,0,0,0,0,24,0,1,0,0,0,1,0,0
Adam_Legzdins,0,0,0,0,0,0,0,233,0,0,0,0,0,12,0,0,0,0,0,24,0,0,0,0,1,0,1,0
Adam_Smith,37,0,0,6,31,1,0,240,0,0,90,1,0,20,0,0,0,3,0,24,0,1,0,0,1,1,0,0
Ademola_Lookman,0,0,0,0,0,0,0,234,0,0,0,0,0,19,0,0,0,0,0,24,0,0,0,0,1,1,1,0
Adrian_Mariappa,0,0,0,0,0,0,0,235,0,0,0,0,0,9,0,0,0,0,0,24,0,0,0,0,0,2,0,0
Adrien Sebastian_Perruchet Silva,2,0,0,0,2,0,0,235,0,1,1,0,0,18,0,0,0,1,0,24,0,0,0,0,0,2,1,0
Adrián_San Miguel del Castillo,29,0,0,0,7,0,0,240,0,0,90,0,0,2,0,0,0,10,0,24,2,0,0,0,1,1,1,0
Ahmed El-Sayed_Hegazi,29,0,0,7,21,0,0,234,0,1,90,0,0,7,0,0,0,4,0,24,0,0,1,0,1,1,0,0
Ahmed_Musa,0,0,0,0,0,0,0,235,0,0,0,0,0,18,0,0,0,0,0,24,0,0,0,0,0,2,1,0
Ainsley_Maitland-Niles,37,0,0,2,35,0,1,231,0,0,56,0,0,6,0,0,0,9,0,24,0,1,0,0,1,4,1,0
Alberto_Moreno,0,0,0,0,0,0,0,239,0,0,0,0,0,16,0,0,0,0,0,24,0,0,0,0,0,1,0,0
