name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Aaron_Cresswell,55,0,0,3,36,0,0,138,0,0,90,0,0,7,0,0,0,8,0,14,0,0,0,1,0,4,0,0
Aaron_Lennon,29,0,0,1,22,2,0,138,3,0,88,0,0,20,0,0,0,3,0,14,0,3,0,0,0,4,1,0
Aaron_Mooy,47,0,0,3,39,0,0,135,1,1,73,0,0,1,0,0,0,8,0,14,0,1,1,0,0,5,0,1
Aaron_Ramsdale,0,0,0,0,0,0,0,136,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,2,1,1,0
Aaron_Ramsey,55,3,0,1,44,0,0,135,2,3,72,0,0,8,0,0,0,5,0,14,0,2,0,1,0,5,1,0
Abdelhamid_Sabiri,0,0,0,0,0,0,0,135,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,5,0,0
Abdoulaye_Doucouré,84,0,0,3,71,5,0,133,1,0,90,0,1,12,0,0,0,14,0,14,0,2,0,2,4,2,1,1
Adam_Federici,0,0,0,0,0,0,0,136,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,2,1,1,0
Adam_Lallana,0,0,0,0,0,0,0,140,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,3,0,0,0
Adam_Legzdins,0,0,0,0,0,0,0,136,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,2,1,0,0
Adam_Smith,0,0,0,0,0,0,0,136,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,2,1,1,0
Ademola_Lookman,3,0,0,0,3,1,0,138,0,0,1,0,0,20,0,0,0,0,0,14,0,0,0,0,0,4,1,0
Adrian_Mariappa,52,0,0,11,41,0,0,133,3,0,90,0,0,12,0,0,0,10,0,14,0,1,0,1,4,2,1,1
Adrián_San Miguel del Castillo,0,0,0,0,0,0,0,138,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,4,0,0
Ahmed El-Sayed_Hegazi,54,0,0,15,45,1,0,134,1,1,90,0,0,13,0,0,0,11,0,14,0,1,1,0,2,2,1,0
Ahmed_Musa,0,0,0,0,0,0,0,132,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Ainsley_Maitland-Niles,0,0,0,0,0,0,0,135,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,5,1,0
Alberto_Moreno,56,0,0,6,47,2,0,140,0,1,90,0,0,15,0,0,0,6,0,14,0,0,4,0,3,0,0,0
Aleksandar_Dragovic,0,0,0,0,0,0,0,132,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Aleksandar_Kolarov,0,0,0,0,0,0,0,139,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Aleksandar_Mitrovic,11,0,0,0,10,0,0,134,1,0,17,0,0,19,0,0,0,1,0,14,0,2,0,0,2,2,0,0
Alexandre_Lacazette,20,0,0,0,15,1,0,135,0,0,45,0,0,8,0,0,0,4,0,14,0,2,1,0,0,5,1,0
Alexis_Sánchez,36,0,0,0,27,3,0,135,3,1,72,1,0,8,0,0,0,1,0,14,0,3,0,1,0,5,1,0
Alex_Iwobi,0,0,0,0,0,0,0,135,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,5,1,0
Alex_McCarthy,0,0,0,0,0,0,0,139,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,1,2,0,0
Alex_Oxlade-Chamberlain,21,0,0,3,16,1,0,140,0,0,66,0,0,15,0,0,0,4,0,14,0,1,0,0,3,0,0,1
Alex_Palmer,0,0,0,0,0,0,0,134,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,2,2,1,0
Alfie_Mawson,40,0,0,17,35,0,0,137,0,0,90,0,0,5,0,0,0,4,0,14,0,1,0,0,0,1,0,0
Alfie_Whiteman,0,0,0,0,0,0,0,132,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,1,2,0,0
Allan-Roméo_Nyom,48,0,0,9,35,0,0,134,2,0,90,0,0,13,0,0,0,13,0,14,0,0,1,0,2,2,1,0
Anders_Lindegaard,0,0,0,0,0,0,0,136,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,2,1,0,0
Ander_Herrera,20,0,0,3,18,0,0,133,0,1,36,0,0,18,0,0,0,3,0,14,0,0,2,0,4,2,0,0
Andreas_Christensen,45,0,0,1,45,0,0,137,0,0,90,0,0,16,0,0,0,3,0,14,0,0,0,0,0,1,1,0
Andreas_Pereira,0,0,0,0,0,0,0,133,0,0,0,0,0,18,0,0,0,0,0,14,0,0,0,0,4,2,0,0
Andrew_Robertson,0,0,0,0,0,0,0,140,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,3,0,0,0
Andrew_Surman,76,0,0,2,63,0,0,136,1,1,90,0,1,4,0,0,0,7,0,14,0,0,1,0,2,1,1,0
Andre_Gray,10,0,0,0,7,0,0,133,0,1,71,0,0,12,0,0,0,2,0,14,0,5,0,0,4,2,1,0
Andros_Townsend,16,0,0,1,11,3,0,131,0,2,90,0,0,3,0,0,0,3,0,14,0,2,0,0,0,0,0,0
André_Ayew,25,0,0,0,19,1,0,138,0,0,90,1,0,7,0,0,0,1,0,14,0,2,0,0,0,4,0,0
André_Carrillo,29,0,0,0,24,3,0,133,1,1,32,0,0,12,0,0,0,2,0,14,0,2,0,0,4,2,1,0
Andy_Carroll,0,0,0,0,0,0,0,138,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,4,0,0
Andy_King,0,0,0,0,0,0,0,132,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Angelo_Ogbonna,73,0,0,8,63,0,0,138,1,0,90,0,0,7,0,0,0,7,0,14,0,0,0,0,0,4,0,0
Angel_Rangel,0,0,0,0,0,0,0,137,0,0,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0,1,0,0
Anthony_Knockaert,44,0,0,2,34,6,0,131,2,3,90,0,0,6,0,0,0,7,0,14,0,1,2,0,0,0,1,0
Anthony_Martial,13,0,0,0,11,2,0,133,0,0,64,0,0,18,0,0,0,4,0,14,0,5,0,0,4,2,0,0
Antonio_Martinez Lopez,0,0,0,0,0,0,0,138,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,4,0,0
Antonio_Rüdiger,82,0,0,7,76,2,0,137,1,0,90,0,0,16,0,0,0,11,0,14,0,1,1,0,0,1,1,0
Antonio_Valencia,30,0,0,4,23,1,0,133,1,0,90,0,0,18,0,0,0,7,0,14,0,1,0,0,4,2,0,0
Arthur_Masuaku,29,0,0,0,23,3,0,138,1,0,90,0,0,7,0,0,0,5,0,14,0,1,0,0,0,4,0,0
Artur_Boruc,0,0,0,0,0,0,0,136,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,2,1,1,0
Ashley_Barnes,1,0,0,0,1,0,0,136,0,0,4,0,0,2,0,0,0,0,0,14,0,0,1,0,2,1,0,0
Ashley_Fletcher,0,0,0,0,0,0,0,138,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,4,0,0
Ashley_Westwood,2,0,0,0,2,0,0,136,0,0,15,0,0,2,0,0,0,1,0,14,0,0,1,0,2,1,0,0
Ashley_Williams,38,0,0,10,37,1,0,138,2,0,90,0,0,20,1,0,0,4,0,14,0,0,1,0,0,4,1,0
Ashley_Young,24,0,0,5,17,1,0,133,1,0,90,0,0,18,0,0,0,4,0,14,0,1,0,0,4,2,0,0
Asmir_Begovic,21,0,0,0,13,0,0,136,0,0,90,0,0,4,0,0,0,7,0,14,2,0,0,0,2,1,1,0
Axel_Tuanzebe,0,0,0,0,0,0,0,133,0,0,0,0,0,18,0,0,0,0,0,14,0,0,0,0,4,2,0,0
Ayoze_Pérez,22,0,0,1,20,0,0,134,2,1,90,1,0,19,0,0,0,4,0,14,0,2,0,0,2,2,0,0
Bakary_Sako,0,0,0,0,0,0,0,131,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Bamidele_Alli,44,0,1,1,35,2,0,132,0,2,90,0,0,9,0,0,0,10,0,14,0,4,1,0,1,2,0,0
Benik_Afobe,0,0,0,0,0,0,0,136,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,2,1,1,0
Beni_Baningime,6,0,0,0,6,0,0,138,0,0,5,0,0,20,0,0,0,0,0,14,0,0,0,0,0,4,1,0
Benjamin_Chilwell,40,0,0,9,28,1,0,132,0,0,90,0,0,17,0,0,0,5,0,14,0,2,0,0,1,2,1,0
Benjamin_Mendy,0,0,0,0,0,0,0,139,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Ben_Davies,0,0,0,0,0,0,0,132,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,1,2,0,0
Ben_Foster,30,0,0,0,10,0,0,134,0,0,90,0,0,13,0,0,0,7,0,14,3,0,0,0,2,2,1,0
Ben_Hamer,0,0,0,0,0,0,0,132,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Ben_Mee,32,0,0,10,26,0,0,136,1,1,90,0,0,2,0,0,0,4,0,14,0,0,0,0,2,1,0,0
Ben_Watson,0,0,0,0,0,0,0,133,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,4,2,1,0
Ben_Woodburn,0,0,0,0,0,0,0,140,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,3,0,0,0
Beram_Kayal,0,0,0,0,0,0,0,131,0,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,1,0
Bernardo Mota_Veiga de Carvalho e Silva,8,0,0,0,6,1,0,139,0,0,10,0,0,14,0,0,0,2,0,14,0,1,1,0,1,2,1,0
Boaz_Myhill,0,0,0,0,0,0,0,134,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,2,2,1,0
Bojan_Krkic Perez,0,0,0,0,0,0,0,140,0,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,3,0,1,0
Bradley_Smith,0,0,0,0,0,0,0,136,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,2,1,1,0
Brahim_Diaz,0,0,0,0,0,0,0,139,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Brandon_Mason,0,0,0,0,0,0,0,133,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,4,2,1,0
Bruno_Martins Indi,35,0,0,4,31,0,0,140,1,0,90,0,0,10,0,0,0,3,0,14,0,0,1,0,3,0,1,1
Bruno_Saltor Grau,51,0,0,2,42,0,0,131,1,0,90,0,0,6,0,0,0,5,0,14,0,0,0,0,0,0,1,0
Callum_Wilson,19,0,0,0,12,1,0,136,2,2,90,0,0,4,0,0,0,3,0,14,0,3,1,2,2,1,1,0
Calum_Chambers,0,0,0,0,0,0,0,135,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,5,1,0
Cameron_Carter-Vickers,0,0,0,0,0,0,0,132,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,1,2,0,0
Carl_Jenkinson,0,0,0,0,0,0,0,135,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,5,1,0
Cesc_Fàbregas,94,1,0,2,72,1,0,137,1,6,90,0,1,16,0,0,0,5,0,14,0,0,2,0,0,1,1,0
Chancel_Mbemba,43,0,0,5,32,0,0,134,1,1,90,0,3,19,0,0,0,10,0,14,0,0,5,0,2,2,0,0
Charlie_Adam,1,0,0,0,0,0,0,140,1,0,5,0,0,10,0,0,0,1,0,14,0,0,0,0,3,0,1,0
Charlie_Austin,2,0,0,0,1,0,0,139,0,0,7,0,0,11,0,0,0,1,0,14,0,0,0,0,1,2,0,0
Charlie_Daniels,65,0,0,3,51,0,0,136,0,0,90,0,0,4,0,0,0,3,0,14,0,0,3,0,2,1,1,0
Charlie_Taylor,0,0,0,0,0,0,0,136,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,2,1,0,0
Charly_Musonda,0,0,0,0,0,0,0,137,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,0,0,1,1,0
Cheikhou_Kouyaté,40,0,0,1,32,1,0,138,0,1,90,0,0,7,0,0,0,5,0,14,0,2,1,0,0,4,0,0
Christian_Atsu,0,0,0,0,0,0,0,134,0,0,0,0,0,19,0,0,0,0,0,14,0,0,0,0,2,2,0,0
Christian_Benteke,27,0,0,1,9,0,0,131,1,0,90,0,0,3,0,0,0,1,0,14,0,1,0,0,0,0,0,0
Christian_Eriksen,56,1,1,1,40,3,0,132,1,4,76,0,0,9,0,0,0,5,0,14,0,3,0,2,1,2,0,0
Christian_Fuchs,0,0,0,0,0,0,0,132,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Christian_Kabasele,34,0,0,12,26,0,0,133,1,0,90,0,0,12,0,0,0,4,0,14,0,0,2,0,4,2,1,0
Christopher_Schindler,25,0,0,17,20,0,0,135,0,0,90,0,0,1,0,0,0,1,0,14,0,0,2,1,0,5,0,0
Chris_Brunt,0,0,0,0,0,0,0,134,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,2,2,1,0
Chris_Löwe,30,0,0,4,22,0,1,135,0,1,90,0,1,1,0,0,0,3,0,14,0,1,0,1,0,5,0,0
Chris_Smalling,17,0,0,13,15,0,0,133,0,0,90,0,0,18,0,0,0,1,0,14,0,0,0,0,4,2,0,0
Chris_Wood,34,0,0,1,19,0,0,136,2,2,89,0,0,2,0,0,0,3,0,14,0,3,0,1,2,1,0,0
Chung-yong_Lee,0,0,0,0,0,0,0,131,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Ciaran_Clark,38,0,0,8,29,0,0,134,2,0,90,0,0,19,0,0,0,10,0,14,0,1,2,1,2,2,0,0
Claudio_Bravo,0,0,0,0,0,0,0,139,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Claudio_Yacob,11,0,0,3,9,2,0,134,1,0,23,0,0,13,0,0,0,2,0,14,0,0,0,0,2,2,1,0
Collin_Quaner,21,0,0,1,18,2,0,135,1,1,90,0,0,1,0,0,0,5,0,14,0,6,0,0,0,5,0,0
Connor_Goldson,0,0,0,0,0,0,0,131,0,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,1,0
Connor_Wickham,0,0,0,0,0,0,0,131,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Costel_Pantilimon,0,0,0,0,0,0,0,133,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,4,2,1,0
Craig_Cathcart,0,0,0,0,0,0,0,133,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,4,2,1,0
Craig_Dawson,0,0,0,0,0,0,0,134,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,2,2,1,0
Cuco_Martina,32,0,0,16,25,0,0,138,2,0,90,0,1,20,0,0,0,1,0,14,0,0,2,0,0,4,1,0
Cédric_Soares,19,0,0,4,9,0,0,139,0,0,86,1,0,11,0,0,0,7,0,14,0,1,2,0,1,2,0,0
César_Azpilicueta,0,0,0,0,0,0,0,137,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,0,0,1,1,0
Daley_Blind,0,0,0,0,0,0,0,133,0,0,0,0,0,18,0,0,0,0,0,14,0,0,0,0,4,2,0,0
Dale_Stephens,59,0,0,2,50,0,0,131,1,1,90,0,0,6,0,0,0,16,0,14,0,1,0,2,0,0,1,0
Damian Emiliano_Martinez,0,0,0,0,0,0,0,135,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,5,1,0
Damien_Delaney,0,0,0,0,0,0,0,131,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Daniel_Amartey,0,0,0,0,0,0,0,132,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Daniel_Drinkwater,13,0,0,1,10,0,0,137,1,0,9,0,0,16,0,0,0,4,0,14,0,1,2,0,0,1,1,0
Daniel_Sturridge,0,0,0,0,0,0,0,140,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,3,0,0,0
Danilo Luiz_da Silva,0,0,0,0,0,0,0,139,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,1,2,1,0
Danny_Ings,0,0,0,0,0,0,0,140,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,3,0,0,0
Danny_Rose,39,0,0,4,32,1,0,132,1,2,90,0,1,9,0,0,0,4,0,14,0,2,4,0,1,2,0,0
