name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,22,1,0,3,14,0,443,0,40,1,2001,3,90,0,8,0,0,0,4,0,4,0,3,0,1,0,2,2793,0
Aaron_Lennon,0,0,0,0,0,0,153,0,33,0,1711,0,0,0,17,0,0,0,0,0,4,0,0,0,0,3,0,252,0
Aaron_Mooy,67,0,0,3,56,1,172,0,40,1,1730,3,90,0,20,0,0,0,9,0,4,0,2,0,1,0,2,214816,0
Aaron_Ramsey,47,0,1,2,39,2,18,0,31,2,1576,2,66,0,2,0,0,0,7,0,4,0,1,0,0,0,3,16406,0
Abdelhamid_Sabiri,7,0,0,0,4,0,522,0,40,0,2080,0,15,0,20,0,0,0,0,0,4,0,1,1,0,0,2,89,0
Abdoulaye_Doucouré,60,0,0,5,54,0,414,0,36,0,1972,1,90,0,14,0,0,0,6,0,4,0,2,0,1,2,0,54793,0
Adam_Federici,0,0,0,0,0,0,31,0,31,0,1589,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,1663,0
Adam_Lallana,0,0,0,0,0,0,228,0,35,0,1786,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,5,205,0
Adam_Smith,29,0,0,4,19,0,35,0,31,1,1593,1,90,0,1,0,0,0,5,0,4,0,0,0,0,0,3,335,0
Ademola_Lookman,0,0,0,0,0,0,157,0,33,0,1715,0,0,0,17,0,0,0,0,0,4,0,0,0,0,3,0,97,0
Adrian_Mariappa,6,0,0,5,5,0,405,0,36,1,1963,0,29,0,14,0,0,0,1,0,4,0,0,0,0,2,0,2934,0
Adrián_San Miguel del Castillo,0,0,0,0,0,0,438,0,40,0,1996,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,2,135,0
Ahmed El-Sayed_Hegazi,31,0,0,6,24,0,468,0,32,0,2026,0,56,0,3,0,0,0,0,0,4,0,0,1,0,1,3,237462,0
Ahmed_Musa,0,0,0,0,0,0,207,0,34,0,1765,0,0,0,5,0,0,0,0,0,4,0,0,0,0,2,1,292,0
Alberto_Moreno,36,0,0,2,30,1,216,0,35,0,1774,1,90,0,11,0,0,0,1,0,4,0,0,0,0,0,5,12965,0
Aleksandar_Dragovic,0,0,0,0,0,0,541,0,34,0,2099,0,0,0,5,0,0,0,0,0,4,0,0,0,0,2,1,290,0
Aleksandar_Kolarov,0,0,0,0,0,0,243,0,35,0,1801,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,5,11,0
Aleksandar_Mitrovic,0,0,0,0,0,0,303,0,39,0,1861,0,0,0,16,0,0,0,0,0,4,0,0,0,0,1,0,5821,0
Alexandre_Lacazette,17,0,1,2,16,1,28,0,31,0,1586,1,74,1,2,0,0,0,3,0,4,0,2,1,0,0,3,52256,0
Alexis_Sánchez,10,1,0,0,8,0,14,0,31,0,1572,1,15,0,2,0,0,0,0,0,4,0,1,0,0,0,3,36214,0
Alex_Iwobi,0,0,0,0,0,0,21,0,31,0,1579,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,3,357,0
Alex_McCarthy,0,0,0,0,0,0,305,0,36,0,1863,0,0,0,18,0,0,0,0,0,4,0,0,0,0,2,0,81,0
Alex_Oxlade-Chamberlain,9,0,0,2,9,0,19,0,35,1,1577,0,45,0,11,0,0,0,1,0,4,0,0,1,0,0,5,23464,0
Alfie_Mawson,65,0,1,3,57,1,357,0,39,0,1915,0,90,0,13,0,0,0,8,0,4,0,1,2,1,1,0,3703,0
Allan-Roméo_Nyom,34,0,0,4,31,1,422,0,32,0,1980,2,90,0,3,0,0,0,3,0,4,0,2,0,0,1,3,101862,0
Ander_Herrera,65,0,0,2,57,2,278,0,37,1,1836,1,71,0,15,0,0,0,3,0,4,0,1,1,0,2,2,783,0
Andreas_Christensen,0,0,0,0,0,0,470,0,34,0,2028,0,0,0,9,0,0,0,0,0,4,0,0,0,0,2,1,411,0
Andreas_Pereira,0,0,0,0,0,0,476,0,37,0,2034,0,0,0,15,0,0,0,0,0,4,0,0,0,0,2,2,31,0
Andrew_Robertson,0,0,0,0,0,0,475,0,35,0,2033,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,5,5897,0
Andrew_Surman,0,0,0,0,0,0,41,0,31,0,1599,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,2743,0
Andre_Gray,16,0,0,0,10,0,92,0,36,0,1650,3,83,1,14,0,0,0,2,0,4,0,0,0,0,2,0,2935,0
