name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards
Aaron_Cresswell,38,0,0,4,28,1,0,129,0,1,90,0,1,9,0,0,0,3,0,13,0,2,1,0,1,1,0
Aaron_Lennon,32,0,0,3,22,0,0,126,2,1,90,0,0,14,0,0,0,5,0,13,0,4,2,0,1,0,0
Aaron_Mooy,19,0,0,5,12,0,0,122,0,0,90,0,1,11,0,0,0,7,0,13,0,2,1,1,1,1,0
Aaron_Ramsdale,0,0,0,0,0,0,0,127,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,0
Aaron_Ramsey,71,0,1,0,63,3,0,130,2,1,90,0,0,4,0,0,0,4,0,13,0,0,1,2,1,0,0
Abdelhamid_Sabiri,0,0,0,0,0,0,0,122,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,1,1,0
Abdoulaye_Doucouré,61,0,1,2,52,0,0,125,1,2,90,0,0,13,0,0,0,7,0,13,0,1,2,1,3,0,0
Adam_Federici,0,0,0,0,0,0,0,127,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,0
Adam_Lallana,5,0,0,0,3,0,0,123,0,0,1,0,0,5,0,0,0,1,0,13,0,1,0,0,1,1,0
Adam_Legzdins,0,0,0,0,0,0,0,130,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,1,0
Adam_Smith,58,0,0,4,52,1,0,127,0,0,90,0,1,16,0,0,0,8,0,13,0,4,2,1,0,0,0
Ademola_Lookman,8,0,0,0,8,1,0,126,1,0,26,0,0,14,0,0,0,2,0,13,0,2,0,0,1,0,0
Adrian_Mariappa,50,0,0,8,31,0,0,125,0,0,90,0,0,13,0,0,0,3,0,13,0,0,0,1,3,0,0
Adrián_San Miguel del Castillo,0,0,0,0,0,0,0,129,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,1,1,0
Ahmed El-Sayed_Hegazi,16,0,0,13,12,0,0,128,0,0,90,0,0,17,0,0,0,1,0,13,0,0,2,0,1,0,0
Ahmed_Musa,0,0,0,0,0,0,0,129,0,0,0,0,0,20,0,0,0,0,0,13,0,0,0,0,1,0,0
