name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,401,1,1,31,311,11,0,200,9,7,90,0,4,11,0,0,0,60,1,20,4,17,6,5,0,2,2,Manchester United,714,1,2,41,640,6,0,13,11,5,2,0,0,0,55,0,2,13,12,5,2,2,6
Everton,482,1,0,44,362,12,0,193,5,13,60,4,1,13,0,0,0,58,0,20,3,23,9,5,3,0,6,Southampton,404,1,1,62,298,8,1,14,8,2,2,1,0,0,69,0,3,23,11,6,0,1,3
Crystal Palace,403,0,0,49,308,3,0,192,13,2,0,1,4,16,0,0,0,45,0,20,2,12,14,2,1,2,3,Swansea City,480,2,2,52,379,9,0,14,10,1,4,0,0,0,49,0,2,18,8,5,2,1,4
Middlesbrough,534,0,1,37,436,16,0,195,10,6,79,0,7,8,0,0,0,80,0,20,4,22,10,5,0,3,1,Leicester City,330,0,0,52,220,4,1,9,8,0,2,0,0,0,69,0,1,17,16,4,0,0,4
AFC Bournemouth,377,1,0,62,276,15,0,191,10,8,0,2,1,1,0,0,0,70,1,20,1,17,4,4,3,3,6,Arsenal,571,1,0,26,470,8,1,12,13,3,3,1,0,0,69,0,3,12,11,5,3,3,4
Sunderland,291,0,0,48,200,6,0,197,10,5,0,3,0,9,0,0,0,75,0,20,13,10,12,0,2,2,5,Liverpool,695,2,2,41,603,13,0,10,19,3,4,2,0,0,78,0,3,22,6,3,2,3,15
Manchester City,450,0,0,57,359,9,0,194,11,11,0,3,2,3,0,0,0,54,1,20,1,19,4,4,2,4,3,Burnley,357,0,0,38,247,7,0,11,6,3,5,0,0,0,48,0,1,9,5,6,1,3,2
West Bromwich Albion,347,1,0,53,269,10,0,199,5,7,0,0,5,7,0,0,0,53,0,20,5,14,11,0,3,0,5,Hull City,532,1,0,43,447,11,0,4,14,0,5,0,0,0,62,0,2,16,11,9,1,0,6
Norwich City,440,2,0,38,334,11,0,198,9,5,0,2,3,4,0,0,0,57,0,20,2,18,18,6,2,3,2,Chelsea,523,2,2,39,427,10,2,8,8,4,2,0,0,0,69,0,0,24,10,6,0,2,2
Stoke City,401,3,2,54,298,10,0,196,10,14,0,3,5,18,0,0,0,59,0,20,1,16,6,8,2,1,5,Watford,350,0,0,46,237,6,1,15,7,0,3,0,0,0,55,0,3,8,7,4,0,2,1
