name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Everton,424,0,0,44,331,9,0,342,13,7,0,2,0,4,0,0,0,62,0,35,2,11,10,6,0,3,3,Chelsea,419,3,2,49,333,19,0,11,9,1,1,0,0,0,69,0,3,21,8,3,3,4,5
Crystal Palace,460,0,0,34,346,18,0,341,11,12,0,2,8,3,0,0,0,55,0,35,1,21,5,6,0,2,5,Burnley,269,2,0,66,169,0,0,12,8,1,6,0,0,0,53,0,5,12,12,2,2,0,3
Watford,355,1,1,46,254,11,0,349,11,5,90,6,2,9,0,0,0,66,0,35,7,14,13,4,0,3,2,Liverpool,535,1,1,36,428,16,0,9,9,0,1,0,0,0,62,0,2,20,3,2,1,1,8
Middlesbrough,257,0,0,64,176,12,0,344,9,8,18,1,0,10,1,0,0,49,0,35,2,7,8,6,2,4,6,Manchester City,542,3,2,29,472,14,1,9,18,1,4,0,0,0,56,0,4,14,4,10,2,4,4
Sunderland,336,1,1,41,252,7,0,347,13,11,0,4,2,2,0,0,0,63,0,35,5,16,13,9,0,3,5,AFC Bournemouth,505,1,0,47,416,9,0,9,14,1,4,0,0,0,54,0,5,23,7,4,1,2,6
Southampton,433,0,1,39,333,10,0,345,9,4,0,2,1,7,0,1,0,59,0,35,1,18,11,3,0,0,2,Hull City,399,0,0,49,293,11,0,13,6,1,2,1,0,1,63,0,2,18,13,3,0,3,1
West Bromwich Albion,393,0,0,36,294,8,0,350,14,13,0,1,4,8,0,0,0,66,0,35,0,17,7,7,0,2,4,Leicester City,323,1,0,46,224,6,0,9,4,1,2,0,0,0,59,0,4,16,12,4,1,2,1
Norwich City,415,1,3,41,326,11,0,348,7,13,0,2,3,1,0,0,0,64,0,35,4,23,11,6,2,1,11,Arsenal,405,0,0,34,312,9,0,15,10,5,5,1,0,0,61,0,9,15,10,4,0,3,4
Manchester United,519,2,2,36,439,10,0,343,11,10,90,1,4,16,0,0,0,70,0,35,3,10,4,5,1,2,6,Swansea City,422,2,2,42,343,11,0,13,12,2,2,1,0,0,58,0,5,13,8,5,1,2,4
Stoke City,504,1,1,36,399,10,2,346,12,13,0,2,3,20,0,0,0,66,0,35,4,18,9,7,0,1,4,West Ham United,371,0,0,67,292,12,1,3,9,4,4,0,0,0,71,0,4,18,14,4,0,0,4
