name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Everton,507,2,2,49,423,9,0,253,10,16,0,1,5,15,0,0,0,60,0,26,1,15,12,9,2,0,8,Sunderland,288,0,0,44,180,8,0,16,8,0,0,0,0,0,69,0,6,17,11,3,0,2,1
Crystal Palace,346,0,0,38,244,15,0,252,13,13,0,2,5,12,0,0,0,64,0,26,4,25,14,7,1,3,3,Middlesbrough,429,1,1,46,328,11,0,15,8,0,4,0,0,0,62,0,2,14,20,6,0,1,4
Watford,259,0,2,41,167,6,0,259,18,7,37,2,2,20,0,0,0,63,0,26,1,14,7,3,1,4,1,West Ham United,461,1,1,47,369,14,0,14,9,2,3,1,0,0,65,1,0,13,10,7,1,1,2
Chelsea,738,0,0,14,641,20,0,251,11,14,0,1,4,16,0,0,0,65,0,26,1,12,11,6,3,1,5,Swansea City,381,1,0,45,291,7,0,14,2,0,0,0,0,0,50,0,2,13,9,1,1,3,2
Hull City,464,0,0,64,365,6,0,254,8,8,9,0,6,3,0,0,0,51,0,26,2,8,4,9,1,1,1,Burnley,236,1,0,47,134,4,0,13,5,6,2,1,0,0,55,1,0,8,3,3,1,1,3
Leicester City,281,3,1,46,159,8,0,255,8,7,0,3,2,9,0,0,0,78,0,26,6,21,14,4,3,0,7,Liverpool,621,0,0,49,527,16,0,5,14,2,6,0,0,0,71,0,4,31,16,5,1,0,7
West Bromwich Albion,297,0,0,43,215,8,0,260,12,10,0,4,1,2,1,0,0,70,0,26,3,17,10,5,2,2,4,AFC Bournemouth,649,0,0,34,556,8,0,5,11,0,6,0,0,0,70,0,2,15,10,6,1,0,4
Norwich City,583,1,0,32,502,10,1,258,11,19,0,1,2,14,0,0,0,53,0,26,3,20,10,7,4,2,9,Stoke City,320,1,1,35,221,8,0,14,3,2,1,0,0,0,56,0,5,12,15,2,0,3,3
