name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Everton,357,0,1,61,261,8,0,3,10,9,15,5,1,17,0,0,0,55,0,1,3,16,16,4,1,0,6,Norwich City,485,0,1,35,387,12,1,14,8,0,3,0,0,0,39,0,5,26,8,4,1,0,4
Arsenal,485,0,1,36,385,8,0,8,13,6,60,4,5,9,0,1,0,53,0,1,3,23,8,3,3,3,5,Liverpool,481,2,0,32,382,11,0,17,13,3,3,1,0,1,50,0,2,21,9,3,4,3,7
Chelsea,559,0,0,19,481,16,0,10,16,11,0,1,2,20,0,0,0,62,0,1,2,26,10,6,2,5,6,West Ham United,351,0,0,49,262,3,0,16,4,1,0,1,0,0,64,0,4,19,18,2,1,2,3
Hull City,448,0,0,53,340,7,1,4,8,5,90,1,0,8,1,0,0,64,0,1,4,14,14,7,2,2,5,Leicester City,450,2,3,22,346,10,1,17,11,0,0,0,0,0,74,0,3,20,9,9,1,2,5
Middlesbrough,353,1,1,38,262,10,0,6,18,8,90,1,3,14,0,0,0,46,0,1,0,16,8,6,1,3,2,Stoke City,421,0,0,30,330,17,0,14,8,2,2,0,0,0,49,0,1,17,11,9,1,5,1
AFC Bournemouth,483,0,0,19,412,13,0,9,7,7,0,3,3,11,0,0,0,63,0,1,4,27,11,2,1,0,3,Manchester United,560,2,2,48,487,8,1,10,8,4,2,0,0,0,62,0,2,15,13,2,3,1,7
Manchester City,678,1,1,44,578,15,0,5,11,10,90,1,0,15,0,0,0,48,0,1,2,15,4,8,2,1,5,Sunderland,188,2,1,60,102,11,1,14,4,2,2,1,0,0,47,0,3,8,11,2,1,2,3
Southampton,579,0,0,37,494,10,0,7,8,15,0,1,3,18,0,0,0,74,0,1,0,24,9,10,1,1,7,Watford,303,0,0,51,194,8,0,12,4,0,1,0,0,0,55,1,6,13,15,4,1,2,1
Burnley,336,1,1,40,237,6,0,1,10,5,90,3,5,16,0,0,0,55,0,1,7,17,5,5,0,3,3,Swansea City,381,2,2,76,296,8,0,14,13,2,10,0,0,0,66,0,3,14,11,6,1,2,8
Crystal Palace,415,1,2,39,300,8,0,2,12,9,90,0,4,19,0,0,0,59,0,1,2,19,19,7,0,2,4,West Bromwich Albion,242,0,0,48,142,5,0,15,11,2,6,0,0,0,62,0,4,29,4,8,1,2,3
