name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,376,2,3,44,289,11,1,179,9,12,0,4,5,18,1,0,0,59,0,18,3,24,2,5,0,1,3,7
Burnley,358,2,1,28,271,6,0,171,14,4,0,4,3,1,0,0,0,59,0,18,3,17,8,3,1,0,5,2
Huddersfield Town,525,0,1,34,397,2,0,176,12,11,0,3,4,16,1,0,0,75,0,18,3,12,5,5,1,1,2,5
Arsenal,554,0,0,28,478,7,0,171,10,7,0,2,1,4,0,0,0,53,0,18,1,16,5,1,3,1,2,6
Crystal Palace,213,1,1,66,120,5,0,177,6,3,90,1,1,13,0,0,0,50,0,18,3,18,8,2,3,0,4,3
Watford,381,3,2,57,280,12,0,179,11,6,90,2,1,19,0,0,0,57,0,18,7,20,3,1,2,0,2,5
Fulham,461,0,0,55,362,6,0,178,12,3,14,4,0,15,0,0,0,60,0,18,0,24,5,0,0,0,2,2
Wolves,420,0,1,39,316,13,1,180,7,8,62,4,2,12,0,0,0,64,0,18,5,18,15,4,0,1,0,5
Liverpool,674,3,3,26,574,16,3,180,3,12,32,2,0,20,0,0,0,57,0,18,5,26,7,4,2,0,0,7
AFC Bournemouth,540,0,0,22,436,10,1,172,8,10,0,3,4,3,0,0,0,60,0,18,5,19,3,7,2,1,2,3
Everton,412,1,0,26,312,5,0,175,13,7,0,4,3,17,0,0,0,69,0,18,2,13,4,5,2,1,0,3
Leicester City,264,0,0,60,178,8,2,174,9,6,0,2,4,6,0,0,0,65,0,18,5,18,11,2,1,0,2,3
Manchester United,639,1,0,21,554,10,0,173,13,12,0,0,0,5,1,0,0,50,0,18,2,18,9,4,5,0,1,9
Southampton,327,4,2,62,214,13,0,176,9,10,90,1,1,10,0,0,0,64,0,18,4,14,7,6,3,0,3,6
Cardiff City,210,0,0,33,138,5,0,173,13,6,0,3,4,14,1,0,0,49,0,18,4,18,8,5,1,1,2,3
Tottenham,603,3,1,42,502,9,0,175,9,10,0,2,2,8,0,0,0,61,0,18,1,11,3,7,6,0,2,8
Brighton,396,1,1,37,294,10,0,172,18,8,0,2,4,2,0,0,0,62,1,18,1,12,5,4,0,0,0,5
Chelsea,692,4,4,27,609,15,2,174,10,12,0,3,0,11,0,0,0,74,0,18,2,23,9,8,0,1,0,5
Manchester City,733,2,1,10,650,9,0,177,7,15,0,2,7,7,1,0,0,59,0,18,0,25,3,9,2,1,0,5
Newcastle United,498,0,0,21,404,5,0,178,9,5,90,2,7,9,0,0,0,62,0,18,2,7,11,5,0,1,1,0
