name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,453,1,1,23,340,9,0,192,11,7,90,1,0,4,0,0,0,54,0,20,3,21,2,2,0,0,4,4
Burnley,337,5,4,50,247,5,0,192,15,14,0,4,7,19,0,0,0,60,0,20,4,15,8,9,2,1,1,5
Huddersfield Town,526,0,0,33,415,3,0,194,10,5,0,2,3,9,1,0,1,57,0,20,4,9,4,1,0,0,1,5
Arsenal,551,1,0,28,464,8,0,196,13,7,90,5,1,12,2,0,0,69,0,20,5,17,7,3,1,0,2,2
Crystal Palace,394,0,0,45,306,7,0,193,11,4,90,3,2,6,0,0,0,66,0,20,3,12,4,2,0,1,0,0
Watford,569,2,1,37,485,15,0,200,17,7,36,1,1,15,0,0,0,61,0,20,1,20,3,2,1,1,1,5
Fulham,393,1,2,41,293,5,0,194,12,13,45,3,4,10,0,1,0,59,0,20,5,8,8,7,1,1,3,5
Wolves,416,2,0,27,330,16,0,199,7,10,58,4,4,17,0,0,0,71,0,20,2,18,7,4,3,0,2,4
Liverpool,510,2,1,27,424,14,2,196,8,9,12,2,2,1,0,0,0,65,0,20,1,17,9,3,5,1,1,10
AFC Bournemouth,358,1,0,25,286,6,0,197,7,6,0,0,1,14,0,0,0,47,0,20,4,12,5,2,1,0,0,3
Everton,426,0,0,32,312,8,1,191,11,8,0,1,5,3,0,0,0,59,0,20,2,23,1,6,0,0,2,4
Leicester City,448,1,2,40,341,7,2,195,14,11,0,0,1,5,0,1,0,52,0,20,2,13,4,3,0,1,0,7
Manchester United,683,5,2,29,619,8,0,197,10,10,0,6,2,2,0,0,0,50,1,20,2,8,8,0,4,1,2,8
Southampton,235,1,1,50,157,4,1,198,11,4,90,0,1,13,0,0,0,49,1,20,4,12,11,1,1,1,2,4
Cardiff City,274,0,0,56,185,4,0,195,16,6,0,1,3,11,1,0,1,58,0,20,7,19,7,3,1,0,2,3
Tottenham,665,0,0,25,587,7,0,199,7,8,0,0,1,20,0,0,0,62,0,20,1,19,4,4,1,1,3,3
Brighton,349,1,1,47,245,5,1,191,10,5,0,2,4,8,0,0,0,61,0,20,4,17,4,3,1,1,0,3
Chelsea,780,1,0,35,690,7,0,193,8,9,0,3,1,7,0,0,0,71,0,20,0,14,2,4,1,0,1,4
Manchester City,783,6,4,26,698,14,0,198,10,13,0,2,2,16,0,0,0,54,0,20,3,26,8,4,3,0,3,7
Newcastle United,322,1,0,58,231,7,0,200,16,8,90,4,2,18,0,0,0,70,0,20,4,6,17,4,1,0,2,2
