name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,341,2,2,45,257,17,0,21,13,11,0,3,4,1,0,0,0,57,0,3,9,15,8,5,1,0,3,5
Burnley,300,1,0,32,223,7,0,23,8,8,90,5,4,9,0,0,0,61,0,3,8,9,4,5,2,0,1,2
Huddersfield Town,399,0,0,33,303,3,1,24,8,2,90,1,2,5,0,0,0,49,1,3,4,19,6,2,0,1,0,1
Arsenal,542,2,0,36,461,9,1,21,16,14,90,3,3,19,0,0,0,65,0,3,4,15,10,2,3,1,1,12
Crystal Palace,438,1,2,36,327,2,0,29,11,8,0,3,2,18,0,0,0,56,0,3,3,26,4,5,1,0,2,3
Watford,333,0,1,32,226,7,0,29,14,12,90,1,3,7,0,0,0,64,0,3,2,18,8,4,2,1,4,5
Fulham,574,2,0,32,490,5,0,23,11,22,0,1,5,4,0,0,0,64,0,3,0,21,7,10,4,1,2,12
Wolves,258,1,1,49,176,6,1,30,13,9,18,4,5,13,0,0,0,53,0,3,5,10,6,6,1,1,1,2
Liverpool,765,1,1,23,669,13,0,25,8,18,0,1,3,3,0,0,0,57,0,3,2,21,7,7,1,1,1,7
AFC Bournemouth,382,3,3,26,301,6,0,22,12,12,60,5,4,8,0,0,0,49,1,3,1,21,7,10,2,1,0,5
Everton,390,0,0,44,303,8,0,22,10,9,0,0,4,2,1,0,0,53,1,3,3,17,5,5,2,0,3,3
Leicester City,426,1,1,46,353,3,0,28,11,5,0,0,0,16,0,0,0,47,0,3,4,16,7,3,2,0,1,5
Manchester United,488,0,1,26,375,7,1,26,11,17,35,2,8,17,0,0,0,75,0,3,2,23,6,12,0,1,2,5
Southampton,446,0,0,27,374,9,1,28,13,7,90,1,4,11,0,0,0,37,1,3,3,15,4,4,1,1,1,5
Cardiff City,286,1,1,51,193,5,1,24,10,12,0,1,2,10,0,0,0,51,0,3,1,14,8,6,0,0,1,4
Brighton,325,1,1,69,238,8,0,25,14,4,14,3,3,12,0,0,0,64,0,3,6,22,5,2,0,0,1,2
Chelsea,913,0,0,26,838,6,0,27,8,9,0,2,0,15,0,0,0,56,0,3,1,22,4,7,2,0,1,4
Manchester City,646,2,1,22,579,20,0,30,8,11,0,3,3,20,0,0,0,49,0,3,1,20,7,6,1,0,2,6
Newcastle United,200,0,0,56,131,2,0,27,16,4,17,2,5,6,1,0,0,53,0,3,2,18,4,2,1,1,3,2
Tottenham,377,2,2,57,256,6,2,26,16,7,90,1,1,14,0,0,0,68,0,3,5,11,11,2,3,0,3,5
