name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,381,1,1,29,307,13,1,220,7,10,90,5,1,1,0,0,0,55,0,22,3,15,2,7,1,1,0,3
Burnley,418,1,1,46,282,5,1,212,5,8,0,2,2,9,0,0,0,75,0,22,2,11,10,6,2,1,1,2
Huddersfield Town,423,0,0,45,296,8,0,213,14,12,0,3,4,5,0,0,0,65,0,22,0,14,5,4,0,0,1,3
Arsenal,553,0,0,21,477,11,0,220,10,7,31,3,2,19,0,0,0,53,0,22,2,11,6,8,0,0,2,3
Crystal Palace,408,1,3,32,310,12,0,215,11,10,90,3,5,18,0,0,0,59,0,22,0,15,8,6,1,1,1,7
Watford,334,0,2,57,261,13,1,215,11,9,90,2,2,7,0,0,0,53,0,22,6,32,5,9,2,0,4,2
Fulham,569,1,1,37,454,7,0,212,9,11,0,0,6,4,0,0,0,76,0,22,0,22,6,4,1,0,2,3
Wolves,281,0,0,48,189,9,0,218,3,2,45,1,0,13,1,0,0,51,1,22,7,11,6,1,0,0,0,0
Liverpool,753,2,2,22,641,10,0,211,5,9,0,0,3,3,0,0,0,61,0,22,0,11,4,5,1,0,0,3
AFC Bournemouth,375,1,1,32,259,8,0,216,8,11,90,1,5,8,0,0,0,54,0,22,0,19,7,7,0,0,0,7
Everton,396,2,2,45,296,7,3,216,17,11,90,1,5,2,0,0,0,64,0,22,7,14,5,8,2,1,5,2
Leicester City,552,0,1,18,439,9,0,217,7,19,0,4,4,16,1,0,0,54,0,22,1,15,4,8,1,1,2,5
Manchester United,364,0,0,36,266,10,0,219,8,9,0,1,2,17,0,0,0,65,0,22,11,19,4,3,1,0,2,8
Southampton,226,0,0,90,127,3,0,217,9,5,90,4,2,11,0,0,0,51,1,22,4,10,12,3,2,0,1,3
Cardiff City,267,1,1,54,155,7,0,213,12,3,0,3,2,10,0,0,0,64,0,22,3,11,3,0,0,1,3,0
Tottenham,569,2,2,23,475,7,0,219,8,16,0,4,7,14,0,0,0,68,0,22,7,15,6,6,0,1,1,11
Brighton,300,0,0,32,207,5,0,211,15,6,0,5,3,12,1,0,0,68,0,22,2,10,4,5,0,1,0,0
Chelsea,697,3,2,29,597,10,0,214,6,9,0,5,2,15,0,0,0,68,0,22,1,23,11,2,2,1,1,6
Manchester City,869,2,1,17,802,12,0,218,6,19,0,3,5,20,0,0,0,63,0,22,0,18,7,7,3,1,1,10
Newcastle United,351,0,0,39,261,6,0,214,13,8,81,1,4,6,0,0,0,59,0,22,4,18,15,6,1,0,1,2
