name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,was_home,yellow_cards
Davide_Zappacosta_120,0,0,0,0,0,0,0,193,0,0,0,0,0,7,0,0,0,0,0,20,0,0,0,0,1,0,0,0
David_Brooks_42,23,1,0,1,18,2,0,197,0,2,65,0,0,14,0,0,0,2,0,20,0,2,1,0,1,4,0,0
David_Button_179,21,0,0,2,6,0,0,191,0,0,90,0,0,8,0,0,0,6,0,20,4,0,0,0,0,1,1,0
David_De Gea_282,21,0,0,0,13,0,0,197,0,0,90,0,0,2,0,0,0,6,0,20,2,0,0,0,1,4,1,0
David_Luiz Moreira Marinho_116,75,1,0,5,69,0,0,193,0,1,90,0,0,7,0,0,0,4,0,20,0,0,1,0,1,0,0,0
David_Silva_271,77,1,1,1,70,0,0,198,1,4,90,0,1,16,0,0,0,6,0,20,0,4,2,0,3,1,0,0
Davinson_Sánchez_359,84,0,0,3,82,0,0,199,1,0,90,0,0,20,0,0,0,5,0,20,0,0,1,0,3,1,1,0
Davy_Klaassen_171,0,0,0,0,0,0,0,191,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,1,0,0
Davy_Pröpper_60,37,0,0,2,23,2,0,191,2,1,90,1,0,8,0,0,0,7,0,20,0,0,1,1,0,1,1,0
DeAndre_Yedlin_310,26,0,0,5,18,0,0,200,4,1,90,0,0,18,0,0,0,6,0,20,0,0,3,1,1,1,0,1
Declan_Rice_406,45,0,0,1,42,1,0,192,1,0,90,0,0,4,0,0,0,7,0,20,0,0,0,0,0,2,0,1
Dejan_Lovren_239,50,0,0,3,41,0,0,196,0,0,90,0,0,1,0,0,0,4,0,20,0,0,0,0,1,5,1,0
Demarai_Gray_225,18,0,0,0,16,1,0,195,1,0,78,0,0,5,0,0,0,1,0,20,0,3,0,1,1,0,1,0
Denis_Odoi_181,43,0,0,5,31,1,0,194,2,0,90,0,0,10,0,0,0,6,0,20,0,0,3,0,0,1,1,1
Diego_Rico_473,33,0,0,2,25,0,0,197,1,1,90,0,0,14,0,0,0,6,0,20,0,1,0,0,1,4,0,0
Diogo_Jota_432,0,0,0,0,0,0,0,199,0,0,0,0,0,17,0,0,0,0,0,20,0,0,0,0,3,1,0,0
Divock_Origi_543,0,0,0,0,0,0,0,196,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,1,5,1,0
Domingos_Quina_517,47,0,0,1,42,1,0,200,1,0,53,0,0,15,0,0,0,4,0,20,0,2,1,1,1,1,1,0
Dominic_Calvert-Lewin_175,4,0,0,0,2,0,0,191,0,0,18,0,0,3,0,0,0,2,0,20,0,0,0,0,0,1,0,0
Dominic_Solanke_259,0,0,0,0,0,0,0,196,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,1,5,1,0
Dwight_Gayle_325,0,0,0,0,0,0,0,200,0,0,0,0,0,18,0,0,0,0,0,20,0,0,0,0,1,1,0,0
Dwight_McNeil_534,33,1,0,1,25,0,0,192,2,1,90,1,3,19,0,0,0,4,0,20,0,4,1,2,0,2,1,0
Eden_Hazard_122,71,0,0,0,59,2,0,193,0,3,90,0,0,7,0,0,0,3,0,20,0,1,0,0,1,0,0,0
Ederson_Santana de Moraes_260,30,0,0,0,24,1,0,198,0,0,90,0,0,16,0,0,0,5,0,20,3,0,0,0,3,1,0,0
Edimilson_Fernandes_416,0,0,0,0,0,0,0,192,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,2,0,0
Edward_Nketiah_552,0,0,0,0,0,0,0,196,0,0,0,0,0,12,0,0,0,0,0,20,0,0,0,0,1,5,0,0
Eldin_Jakupovic_214,0,0,0,0,0,0,0,195,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,0,1,0,1,0
Elias_Kachunga_212,7,0,0,0,4,0,0,194,0,1,25,0,0,9,0,0,0,0,0,20,0,0,0,0,0,1,0,0
Emerson_Hyndman_41,0,0,0,0,0,0,0,197,0,0,0,0,0,14,0,0,0,0,0,20,0,0,0,0,1,4,0,0
Emerson_Palmieri dos Santos_121,3,0,0,0,2,1,0,193,0,0,8,0,0,7,0,0,0,1,0,20,0,0,0,0,1,0,0,0
Emile_Smith-Rowe_545,0,0,0,0,0,0,0,196,0,0,0,0,0,12,0,0,0,0,0,20,0,0,0,0,1,5,0,0
Emiliano_Martínez_542,0,0,0,0,0,0,0,196,0,0,0,0,0,12,0,0,0,0,0,20,0,0,0,0,1,5,0,0
Eric_Bailly_291,53,0,0,9,51,0,0,197,1,0,78,0,0,2,0,0,0,3,1,20,0,0,1,0,1,4,1,0
Eric_Dier_361,0,0,0,0,0,0,0,199,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,3,1,1,0
Erik_Durm_461,28,0,0,4,18,1,0,194,0,0,90,1,0,9,0,0,0,5,0,20,0,1,0,0,0,1,0,0
Erik_Lamela_363,0,0,0,0,0,0,0,199,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,3,1,1,0
Ethan_Ampadu_130,0,0,0,0,0,0,0,193,0,0,0,0,0,7,0,0,0,0,0,20,0,0,0,0,1,0,0,0
Etienne_Capoue_389,85,0,0,8,74,2,0,200,2,0,90,0,0,15,0,0,0,5,0,20,0,1,1,0,1,1,1,0
Ezequiel_Schelotto_53,0,0,0,0,0,0,0,191,0,0,0,0,0,8,0,0,0,0,0,20,0,0,0,0,0,1,1,0
Fabian_Delph_269,0,0,0,0,0,0,0,198,0,0,0,0,0,16,0,0,0,0,0,20,0,0,0,0,3,1,0,0
Fabian_Schär_482,5,0,0,13,4,0,0,200,2,0,45,1,0,18,0,0,0,1,0,20,0,0,0,0,1,1,0,1
Fabio Henrique_Tavares_255,51,0,0,5,39,1,1,196,2,0,90,0,0,1,0,0,0,3,0,20,0,1,2,0,1,5,1,0
Fabián_Balbuena_464,0,0,0,0,0,0,0,192,0,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,2,0,0
Fabricio_Agosto Ramírez_474,0,0,0,0,0,0,0,194,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,1,1,0
Federico_Fernández_516,17,0,0,5,12,0,0,200,1,1,45,0,0,18,0,0,0,3,0,20,0,0,0,0,1,1,0,0
Felipe Anderson_Pereira Gomes_465,44,0,0,0,28,1,0,192,0,2,90,0,0,4,0,0,0,4,0,20,0,7,0,1,0,2,0,0
Fernando_Llorente_371,0,0,0,0,0,0,0,199,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,3,1,1,0
Fernando_Luiz Rosa_272,60,0,0,4,51,3,0,198,0,2,85,0,0,16,0,0,0,6,0,20,0,1,0,0,3,1,0,0
Filip_Benkovic_501,0,0,0,0,0,0,0,195,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,0,1,0,1,0
Florent_Hadergjonaj_197,52,0,0,4,44,0,0,194,0,1,90,0,1,9,0,0,0,7,0,20,0,0,0,0,0,1,0,0
Florian_Lejeune_314,0,0,0,0,0,0,0,200,0,0,0,0,0,18,0,0,0,0,0,20,0,0,0,0,1,1,0,0
Florin_Andone_66,5,0,1,1,5,1,0,191,3,0,73,0,0,8,0,0,0,2,0,20,0,4,0,0,0,1,1,0
Floyd_Ayité_186,0,0,0,0,0,0,0,194,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,1,1,0
Fousseni_Diabaté_232,0,0,0,0,0,0,0,195,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,0,1,0,1,0
