name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,element,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell_402,256,1,1,52,178,6,402,0,278,6,525473,2,0,2,13,1,0,0,44,0,28,5,14,1,1,0,1,71903,2
Aaron_Lennon_83,367,1,2,26,244,5,83,1,279,8,440994,7,0,2,15,0,0,0,68,0,28,2,19,8,6,0,2,167928,3
Aaron_Mooy_199,447,1,1,31,347,5,199,0,274,10,489214,10,12,0,20,0,0,0,57,0,28,0,20,11,9,0,1,22415,2
Aaron_Ramsey_14,648,2,0,30,577,4,14,0,271,11,485809,14,0,4,2,0,0,0,46,0,28,4,18,5,5,1,5,208611,2
Aaron_Wan-Bissaka_145,372,3,2,31,298,14,145,0,273,8,443137,16,0,2,14,0,0,0,48,0,28,1,20,6,11,3,1,202458,2
Abdoulaye_Doucouré_390,390,1,1,51,300,10,390,0,277,7,477815,4,90,2,12,0,0,0,63,0,28,5,17,2,1,0,5,142465,2
Aboubakar_Kamara_189,568,2,2,26,450,5,189,0,280,13,445846,8,0,2,16,0,0,0,60,0,28,2,21,6,4,0,2,40301,1
Adama_Traoré_500,458,1,1,30,356,12,500,0,274,10,448447,6,0,4,10,0,0,0,57,0,28,2,24,4,5,0,1,432780,2
Adam_Lallana_250,627,4,0,28,534,16,250,0,277,5,398175,9,12,1,18,0,0,0,56,0,28,3,29,9,4,0,5,279850,0
Adam_Smith_29,346,1,0,33,278,6,29,0,271,9,439163,9,69,4,1,0,0,0,47,0,28,1,7,8,4,1,5,114205,2
Ademola_Lookman_170,535,1,0,39,425,9,170,0,272,12,503884,10,8,1,5,0,0,0,58,0,28,0,21,6,5,3,0,110670,1
Adrien Sebastian_Perruchet Silva_231,448,1,0,42,369,10,231,1,275,6,474532,15,0,2,3,0,0,0,53,0,28,2,6,7,9,1,2,181078,1
Alexis_Sánchez_295,470,2,1,25,378,6,295,0,273,9,460274,9,76,0,7,0,0,0,48,0,28,2,20,8,5,3,1,258703,3
Alex_McCarthy_328,383,0,0,38,295,6,328,0,280,15,523591,11,0,2,9,0,0,0,66,0,28,4,15,11,7,0,2,73973,0
Alex_Smithies_89,255,0,0,43,143,8,89,0,272,12,470846,4,0,3,8,0,0,0,61,0,28,1,10,12,5,3,0,110489,3
Alfie_Whiteman_538,547,1,1,34,474,12,538,1,276,14,462425,8,0,1,6,0,0,0,69,0,28,0,27,8,5,0,2,102372,1
Alireza_Jahanbakhsh_476,447,1,1,23,362,7,476,0,275,4,456047,8,0,4,11,0,0,0,59,0,28,1,14,2,9,1,2,51296,1
Andreas_Christensen_119,481,0,0,38,393,6,119,0,276,7,440616,7,0,1,17,0,0,0,73,0,28,0,23,11,8,0,2,104331,1
Antonio_Barreca_588,444,1,1,43,330,5,588,0,279,8,492620,11,0,0,4,0,0,0,63,0,28,2,24,9,8,0,2,359394,1
Arijanet_Muric_529,776,4,4,17,682,10,529,0,278,2,382432,15,0,7,19,0,0,0,55,0,28,1,14,10,11,0,1,737803,
