name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell_402,418,0,0,37,327,7,0,320,7,2,90,2,3,8,0,0,0,65,0,32,7,23,9,2,0,1,1,1
Aaron_Lennon_83,321,1,1,37,205,6,0,313,12,3,0,1,2,20,0,0,0,53,0,32,1,16,7,3,2,1,1,0
Aaron_Mooy_199,449,0,1,42,341,10,0,315,7,10,90,3,5,7,1,0,0,60,0,32,4,14,9,7,0,0,0,5
Aaron_Ramsey_14,700,2,1,24,600,4,0,311,11,6,66,2,3,15,0,0,0,80,0,32,1,19,7,1,2,1,2,1
Aaron_Wan-Bissaka_145,424,5,4,32,327,11,2,315,10,13,90,6,2,10,0,0,0,66,0,32,5,14,5,6,2,1,0,4
Aaron_Wan-Bissaka_145,362,1,1,53,278,8,0,307,5,4,90,4,0,17,0,0,0,69,0,32,8,15,2,4,0,0,0,1
Abdoulaye_Doucouré_390,397,1,0,28,322,9,1,319,9,14,90,3,0,14,0,0,0,60,0,32,3,18,9,6,1,0,2,7
Abdoulaye_Doucouré_390,459,2,0,34,377,12,0,329,12,12,90,2,2,9,0,0,0,64,0,32,6,20,9,1,4,1,3,3
Aboubakar_Kamara_189,358,1,1,41,282,8,0,316,4,4,0,4,4,13,0,0,0,52,0,32,5,15,5,3,0,1,2,0
Aboubakar_Kamara_189,533,2,2,39,461,14,0,329,5,15,0,0,4,18,0,0,0,62,0,32,3,22,4,3,1,0,2,6
Adama_Traoré_500,536,0,0,17,416,15,0,313,10,5,71,2,6,4,0,0,0,51,0,32,0,14,6,3,0,0,1,1
Adama_Traoré_500,512,3,2,45,418,9,0,330,5,8,0,4,2,14,0,0,0,58,0,32,3,15,4,5,2,1,1,2
Adam_Lallana_250,443,1,0,30,356,4,1,318,5,12,0,2,4,17,0,0,0,63,0,32,1,14,6,8,2,1,0,2
Adam_Smith_29,420,1,1,43,331,7,1,317,12,5,0,1,1,11,0,0,0,58,0,32,2,15,4,4,0,0,2,2
Ademola_Lookman_170,434,4,3,40,343,11,0,320,14,15,0,3,0,19,0,0,0,68,0,32,1,22,15,4,2,0,1,7
Adrien Sebastian_Perruchet Silva_231,607,2,1,32,512,12,0,317,6,14,0,3,3,2,0,0,0,66,0,32,2,15,8,9,2,1,0,2
Alexis_Sánchez_295,430,2,3,52,340,8,3,319,14,6,0,4,0,18,0,0,0,59,0,32,7,13,5,1,2,1,1,3
Alexis_Sánchez_295,517,3,3,17,419,8,1,330,11,13,0,5,3,20,0,0,0,53,1,32,2,17,9,7,1,0,2,3
Alex_McCarthy_328,347,1,0,45,219,6,0,312,10,7,0,0,2,3,0,0,0,58,0,32,1,19,1,4,1,0,2,1
Alex_Smithies_89,238,0,0,46,132,8,0,314,8,6,0,2,2,6,0,0,0,63,0,32,1,9,4,4,1,1,2,2
Alex_Smithies_89,187,0,0,41,123,9,1,325,7,3,0,1,0,13,0,0,0,40,0,32,9,11,9,2,0,0,3,1
Alfie_Whiteman_538,485,1,0,34,391,7,0,318,8,9,0,2,0,12,0,0,0,53,0,32,2,17,9,7,1,0,1,1
Alfie_Whiteman_538,685,2,2,16,594,16,0,307,8,17,0,0,4,7,0,0,0,70,0,32,1,17,6,9,2,1,1,8
Alireza_Jahanbakhsh_476,525,0,0,32,390,14,0,312,8,11,61,6,4,16,0,0,0,60,0,32,1,9,6,9,0,1,1,1
Alireza_Jahanbakhsh_476,349,1,1,48,277,6,1,265,9,3,74,2,2,6,0,0,0,55,0,32,1,22,12,2,0,0,0,1
Andreas_Christensen_119,592,3,1,31,494,15,0,314,14,18,0,1,2,5,0,0,0,65,0,32,2,28,6,9,2,0,3,1
Andreas_Christensen_119,751,4,3,14,685,10,0,265,5,14,90,0,5,3,0,0,0,59,0,32,1,18,5,8,3,1,0,1
Antonio_Barreca_588,286,0,0,45,185,4,0,311,10,2,0,2,1,1,0,0,0,71,0,32,1,12,6,2,0,0,0,1
Arijanet_Muric_529,677,2,2,21,613,9,0,316,12,22,0,1,0,9,0,0,0,51,0,32,0,20,6,8,2,0,0,5
Arijanet_Muric_529,676,4,4,16,618,13,0,325,3,22,0,1,3,5,0,0,0,48,0,32,1,14,8,14,2,1,0,9
