name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,360,1,1,23,267,7,1,129,6,8,45,2,1,13,0,0,0,65,0,13,2,12,5,5,0,1,0,1
Burnley,587,1,1,35,486,13,1,123,6,11,90,1,5,15,0,0,0,67,0,13,1,12,7,8,1,1,0,4
Huddersfield Town,549,0,0,45,434,4,0,130,8,10,90,1,2,20,0,0,0,83,0,13,2,21,13,4,2,0,2,6
Arsenal,574,1,0,31,464,3,0,121,9,11,8,2,3,2,0,0,0,69,0,13,5,15,11,11,2,0,1,5
Crystal Palace,351,1,3,57,264,11,0,126,12,9,90,3,0,14,0,0,0,56,0,13,5,23,10,9,0,0,2,2
Watford,360,2,2,41,251,7,0,128,12,4,90,4,1,12,0,0,0,65,0,13,4,13,6,4,0,1,0,1
Fulham,367,2,0,59,264,10,0,125,10,10,16,4,4,16,0,0,0,57,0,13,6,18,2,3,3,1,2,5
Wolves,441,0,0,38,331,9,2,130,9,8,45,1,1,10,0,0,0,75,0,13,4,27,7,6,0,1,1,2
Liverpool,636,2,2,36,525,8,0,128,13,6,0,4,4,18,0,0,0,63,1,13,1,15,7,3,3,0,0,7
AFC Bournemouth,394,0,0,48,295,5,1,121,6,10,0,4,4,1,0,0,0,59,0,13,3,18,3,2,1,1,2,6
Everton,522,3,5,34,415,11,1,124,12,11,17,0,4,5,0,0,0,66,0,13,1,17,4,5,1,1,0,7
Leicester City,369,0,0,37,274,6,1,122,7,5,0,1,3,3,0,0,0,49,1,13,2,20,7,3,1,0,1,3
Manchester United,509,2,2,24,421,3,1,126,13,10,22,2,2,7,0,0,0,58,0,13,2,13,8,4,0,1,1,5
Southampton,598,1,2,22,478,9,0,125,6,12,90,1,5,9,0,0,0,60,0,13,2,19,9,6,2,0,3,8
Cardiff City,218,1,1,51,115,0,1,124,13,6,0,1,2,8,0,0,0,63,0,13,6,12,7,4,0,0,3,1
Tottenham,370,5,3,37,278,11,1,127,19,16,0,3,4,6,0,0,0,69,0,13,1,17,6,6,3,1,0,9
Brighton,429,0,0,26,337,11,0,122,10,12,0,5,3,11,1,0,0,57,0,13,2,17,9,8,1,1,3,3
Chelsea,552,1,0,33,468,12,0,127,12,11,0,5,5,17,0,0,0,66,0,13,6,12,4,5,1,0,3,2
Manchester City,837,2,0,35,744,10,1,129,3,8,0,3,1,19,0,0,0,71,0,13,1,21,7,2,4,0,0,6
Newcastle United,456,1,3,57,371,7,0,123,11,14,90,1,5,4,0,0,0,75,0,13,3,14,6,8,2,0,1,3
