name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
Aaron_Cresswell_402,561,0,0,37,455,7,0,292,12,6,90,1,1,5,0,0,0,66,0,30,5,12,9,5,0,0,1,2
Aaron_Lennon_83,289,1,0,47,178,9,0,297,7,2,0,7,2,12,0,0,0,68,0,30,1,21,8,0,2,0,0,2
Aaron_Mooy_199,454,0,0,22,357,12,0,295,14,5,90,1,3,2,0,0,0,68,0,30,2,18,5,3,0,1,3,1
Aaron_Ramsey_14,394,0,0,29,298,4,0,291,12,11,90,5,2,14,0,0,0,59,0,30,4,21,3,7,2,1,2,2
Aaron_Wan-Bissaka_145,579,0,0,18,475,10,0,294,8,10,90,1,2,3,0,0,0,73,0,30,1,23,5,5,1,1,1,3
Abdoulaye_Doucouré_390,300,1,0,41,212,7,0,298,7,1,90,1,1,13,0,0,0,45,0,30,5,6,5,0,1,0,1,1
Aboubakar_Kamara_189,465,0,0,34,379,8,0,296,13,6,0,1,1,11,0,0,0,59,0,30,5,26,13,1,1,0,2,3
Adama_Traoré_500,274,1,0,86,195,3,1,293,14,2,1,2,0,6,0,0,0,62,0,30,5,14,6,1,1,0,4,1
Adam_Lallana_250,649,2,1,21,524,7,0,297,4,18,76,2,3,4,0,0,0,63,0,30,0,25,10,7,4,1,2,5
Adam_Smith_29,375,4,3,50,261,11,0,295,9,8,43,0,1,10,0,0,0,67,0,30,1,19,10,3,2,0,1,4
Ademola_Lookman_170,444,0,0,42,335,4,3,299,10,5,8,0,2,15,1,0,1,56,0,30,4,23,13,2,2,0,1,3
Adrien Sebastian_Perruchet Silva_231,522,3,0,31,444,6,0,296,9,16,0,1,2,9,0,0,0,59,0,30,2,26,9,8,3,1,0,8
Alexis_Sánchez_295,464,4,5,29,377,7,1,291,18,11,0,1,3,1,1,0,0,49,0,30,0,18,6,7,0,0,2,4
Alex_McCarthy_328,294,2,2,68,206,8,0,300,16,6,0,2,2,17,0,0,0,65,0,30,4,16,4,4,2,1,4,4
Alex_Smithies_89,224,3,3,37,146,7,0,292,7,10,0,2,3,19,0,0,0,73,0,30,2,19,6,6,2,1,2,7
Alfie_Whiteman_538,509,2,1,23,390,16,0,300,9,13,0,1,3,16,0,0,0,60,0,30,2,17,3,9,1,0,2,5
Alireza_Jahanbakhsh_476,356,0,0,51,257,4,1,294,18,4,90,1,2,7,1,0,0,75,0,30,2,27,16,1,2,0,5,3
Andreas_Christensen_119,820,0,1,4,741,20,0,293,8,16,0,1,5,20,0,0,0,59,0,30,0,38,8,2,1,1,1,6
Antonio_Barreca_588,363,2,2,39,253,7,0,299,13,12,0,2,3,8,0,1,0,59,0,30,1,17,6,7,3,1,3,7
Arijanet_Muric_529,727,6,5,23,661,10,0,298,11,14,0,4,2,18,0,0,0,55,0,30,0,18,2,7,3,1,1,8
