name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,553,3,1,21,455,7,1,270,11,16,90,3,4,9,0,0,0,72,0,27,4,18,3,9,3,1,7,Fulham,475,0,1,48,391,11,0,11,5,3,2,0,0,0,69,0,4,24,6,2,1,1,5
Burnley,216,1,0,58,133,6,0,263,9,7,0,4,2,17,0,0,0,51,0,27,5,15,4,3,2,1,4,Tottenham,505,1,0,31,401,16,0,12,14,0,6,0,0,0,57,0,2,11,6,5,1,3,6
Arsenal,581,2,1,36,477,14,1,261,7,10,62,3,3,16,0,0,0,52,0,27,4,15,7,4,2,0,5,Southampton,343,1,1,52,245,5,0,14,6,1,5,0,0,0,50,0,3,14,7,3,0,0,4
AFC Bournemouth,372,1,2,49,272,11,0,262,10,7,90,1,4,20,1,1,0,52,0,27,1,21,7,5,1,4,3,Wolves,467,0,0,26,352,9,0,15,8,3,2,2,0,0,70,0,2,21,3,5,1,5,2
Leicester City,538,0,0,24,457,14,0,267,7,21,0,0,6,7,1,0,0,62,0,27,1,14,14,10,1,2,5,Crystal Palace,289,2,0,65,209,6,0,14,5,1,1,0,0,0,57,0,4,21,5,2,4,1,5
Manchester United,320,1,1,39,234,5,0,268,15,6,47,3,1,12,0,0,0,54,0,27,1,18,7,1,0,1,3,Liverpool,568,0,0,16,480,11,0,17,6,1,0,0,0,0,60,0,3,18,10,4,0,3,1
Cardiff City,315,1,1,32,207,10,0,264,10,8,0,3,1,18,0,0,0,70,0,27,2,14,5,5,1,1,5,Watford,576,4,0,50,479,9,1,11,10,1,2,0,0,0,74,0,4,20,4,4,5,2,7
Newcastle United,547,3,2,23,456,4,0,269,11,26,0,0,6,10,0,0,0,63,0,27,1,10,9,11,2,2,12,Huddersfield Town,481,0,0,46,380,7,0,7,3,0,3,0,0,0,55,1,10,14,3,1,0,0,1
