name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Burnley,326,0,0,33,264,3,0,92,14,3,0,5,1,6,0,0,0,43,0,10,4,9,2,4,0,4,1,Chelsea,799,4,3,30,723,11,1,10,18,0,2,0,0,0,46,0,1,10,5,9,4,2,8
Crystal Palace,400,0,0,24,310,8,0,93,10,11,90,2,1,1,0,0,0,67,0,10,0,25,6,11,2,1,3,Arsenal,557,0,0,47,464,6,0,16,3,0,0,2,0,0,58,0,1,22,3,3,2,2,2
Watford,468,3,1,32,365,10,0,100,9,12,90,3,1,10,0,0,0,61,0,10,7,25,6,6,3,1,6,Huddersfield Town,494,0,0,39,399,9,0,13,12,3,4,0,0,0,60,0,3,19,13,4,0,2,7
Fulham,545,0,0,49,451,6,0,94,16,10,90,1,1,2,1,0,0,57,1,10,2,7,9,9,0,2,1,AFC Bournemouth,496,3,1,35,422,7,1,3,10,1,6,0,0,0,53,0,1,11,3,6,3,1,5
Liverpool,819,2,1,19,729,9,0,96,6,14,60,0,3,5,0,0,0,55,0,10,0,15,5,6,4,0,6,Cardiff City,205,0,0,64,120,8,0,4,1,4,0,0,0,0,52,0,2,13,6,1,1,0,1
Leicester City,552,3,3,20,457,13,0,95,17,15,0,7,7,19,0,0,0,76,0,10,2,22,5,11,1,1,8,West Ham United,327,1,1,65,228,9,0,5,5,1,2,0,0,0,67,1,7,16,4,6,1,1,3
Manchester United,485,2,3,19,391,3,0,97,15,12,0,7,2,8,1,1,0,60,0,10,5,15,5,3,2,2,10,Everton,414,1,1,33,333,11,0,12,10,0,3,1,0,1,57,0,8,15,5,7,1,1,6
Southampton,405,1,1,42,301,9,0,98,9,20,90,1,6,15,0,0,0,69,0,10,0,16,2,13,0,0,4,Newcastle United,414,0,0,65,298,2,0,12,5,3,2,0,0,0,52,0,4,13,1,4,0,1,0
Tottenham,476,1,1,33,383,6,1,99,13,4,0,4,1,13,0,0,0,55,0,10,4,13,3,3,0,2,1,Manchester City,514,3,2,37,429,11,2,13,9,4,0,0,0,0,68,0,1,18,5,2,1,2,5
Brighton,361,2,1,46,261,13,0,91,11,5,90,0,2,20,0,0,0,72,0,10,7,12,12,5,1,3,1,Wolves,526,1,1,28,440,12,0,8,19,1,8,0,0,0,70,0,0,20,2,8,0,0,7
