name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,534,1,1,30,443,13,0,289,8,6,33,1,2,15,0,0,0,61,0,29,2,20,4,3,2,3,4,Newcastle United,420,1,1,23,335,7,0,14,13,3,2,1,0,0,64,0,2,25,8,6,0,4,2
Burnley,422,2,1,22,317,3,0,283,9,15,0,2,7,7,0,0,0,53,0,29,2,15,5,10,1,1,4,Crystal Palace,344,0,2,58,229,12,1,9,7,0,1,0,0,0,53,0,3,16,7,4,3,2,5
Watford,371,2,1,52,289,3,0,288,15,4,90,4,1,11,0,0,0,55,0,29,1,13,5,0,2,5,5,Leicester City,574,1,0,30,481,9,0,12,10,1,4,0,0,0,48,0,3,14,4,6,1,1,2
Fulham,385,2,2,42,310,8,0,285,11,6,0,2,4,6,0,0,0,62,0,29,5,16,6,4,1,2,5,Chelsea,695,0,0,23,630,6,0,10,17,0,1,0,0,0,61,0,4,15,8,5,2,1,7
Wolves,472,6,5,51,377,17,0,290,11,12,74,1,1,5,0,0,0,72,0,29,3,18,8,5,2,1,6,Cardiff City,354,1,1,29,243,7,0,6,8,0,3,0,0,0,65,0,4,20,6,4,0,2,3
AFC Bournemouth,176,0,0,56,100,4,0,281,7,0,90,1,1,13,0,0,0,40,0,29,7,9,2,0,0,1,0,Manchester City,810,0,1,17,733,4,0,7,17,2,0,0,0,0,53,0,0,14,1,10,1,2,8
Everton,343,0,0,46,216,10,0,284,12,7,0,2,5,12,0,0,0,66,0,29,3,18,9,3,0,1,3,Liverpool,475,2,3,47,356,9,0,10,9,4,4,0,0,0,70,0,3,18,10,3,0,2,3
Manchester United,508,2,4,25,406,9,0,286,7,7,51,2,5,16,0,1,0,46,0,29,1,22,2,9,3,2,6,Southampton,283,1,1,48,184,6,0,10,7,0,3,1,0,1,49,0,3,8,4,4,2,1,3
Tottenham,506,1,2,23,395,10,0,287,15,5,0,5,5,1,1,0,1,75,0,29,2,24,11,6,1,3,3,Arsenal,333,3,4,36,214,11,1,14,7,1,0,1,1,0,63,1,2,14,8,2,1,2,3
Brighton,456,1,0,33,366,9,0,282,11,13,77,3,2,10,0,0,0,58,0,29,4,18,9,5,1,2,3,Huddersfield Town,413,0,0,38,318,2,0,6,4,0,1,0,0,0,63,0,2,23,7,0,0,2,4
