name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Huddersfield Town,495,1,1,17,415,7,0,44,11,8,90,5,10,7,0,0,0,51,0,5,1,13,4,9,0,1,2,Crystal Palace,365,0,0,41,288,5,0,17,6,2,0,0,0,0,48,0,2,17,7,2,1,2,2
Watford,385,0,0,39,294,7,0,49,9,12,90,2,2,14,0,0,0,67,0,5,4,11,13,3,1,2,5,Manchester United,520,1,1,46,420,4,1,11,6,4,2,0,0,0,62,1,4,25,4,1,2,1,6
Wolves,568,4,5,28,470,8,0,50,10,21,24,1,4,4,0,0,0,60,0,5,2,17,5,13,1,2,6,Burnley,394,0,0,45,296,4,1,9,4,1,2,0,0,0,59,0,5,13,3,5,0,4,2
AFC Bournemouth,361,3,1,33,258,5,0,41,13,6,90,1,1,11,1,0,0,57,0,5,5,20,7,2,4,3,5,Leicester City,398,1,1,44,303,4,1,15,8,3,4,1,0,0,60,1,1,14,8,4,2,2,7
Everton,456,2,2,21,351,12,1,43,15,8,13,3,6,19,0,0,0,66,0,5,1,19,6,6,1,2,4,West Ham United,381,2,0,48,284,10,1,12,8,0,1,0,0,0,80,0,3,23,10,2,3,5,4
Southampton,465,1,3,38,366,12,0,47,10,6,90,2,2,3,1,0,0,56,0,5,2,14,8,6,2,2,4,Brighton,443,2,1,35,339,5,1,13,10,2,5,1,0,0,54,0,2,17,5,5,2,3,4
Chelsea,762,2,1,22,663,9,0,42,8,13,0,0,3,5,0,0,0,61,0,5,1,12,8,8,4,0,7,Cardiff City,229,1,0,42,136,6,0,10,5,0,1,1,0,0,57,0,3,10,6,4,1,0,2
Manchester City,731,5,3,27,666,13,0,45,7,22,0,5,2,9,0,0,0,69,0,5,3,13,9,8,3,0,9,Fulham,399,0,0,45,320,8,0,7,7,2,0,0,0,0,52,0,6,16,4,5,0,0,3
Newcastle United,329,1,0,31,218,3,0,46,13,3,90,3,3,1,0,0,0,53,0,5,0,14,4,0,1,0,2,Arsenal,596,0,0,36,501,6,0,11,9,1,3,0,0,0,57,0,1,17,3,5,2,0,2
Tottenham,548,0,0,24,445,7,2,48,17,6,0,3,1,12,0,0,0,68,0,5,8,17,2,5,1,0,3,Liverpool,356,1,2,31,267,6,0,16,11,2,1,0,0,0,66,0,2,9,7,5,2,0,10
