name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,286,0,0,53,193,6,0,15,10,12,90,0,8,14,2,0,0,45,1,2,2,10,7,6,2,0,1,8
Everton,302,1,0,48,198,3,0,20,9,7,0,3,2,11,0,0,0,53,1,2,5,12,8,5,1,0,2,2
Huddersfield Town,457,0,0,53,353,6,0,18,13,3,90,4,0,13,0,0,0,62,0,2,5,16,10,3,1,1,3,3
Arsenal,732,2,2,20,642,13,0,16,11,13,90,3,7,15,0,0,0,58,0,2,3,19,10,6,0,0,0,6
Watford,338,1,2,46,263,8,0,11,14,12,90,7,2,2,0,0,0,65,0,2,2,12,8,7,2,0,3,7
AFC Bournemouth,429,0,0,40,328,5,0,11,6,2,0,1,1,18,0,0,0,45,0,2,5,18,4,1,0,1,1,2
Liverpool,712,2,2,18,602,13,0,14,12,14,0,2,5,6,0,0,0,69,0,2,1,22,12,5,1,1,1,13
West Bromwich Albion,225,0,0,47,124,6,0,12,11,5,90,3,2,4,0,0,0,35,1,2,0,8,4,5,1,0,0,1
Leicester City,427,1,1,29,333,9,0,13,8,8,0,1,3,3,0,0,0,59,0,2,2,9,8,4,2,1,1,4
Manchester City,560,1,1,16,461,13,0,20,7,15,0,0,4,7,0,0,0,55,1,2,1,19,8,9,1,1,1,6
Newcastle United,417,1,1,37,296,10,1,18,10,9,0,5,3,8,0,0,0,52,0,2,2,23,9,3,0,0,4,5
Southampton,569,0,0,31,486,3,1,15,18,11,0,1,1,20,0,0,0,61,0,2,6,12,7,6,3,1,1,5
Swansea City,404,1,1,44,316,4,2,17,12,2,90,1,4,12,0,0,0,67,0,2,4,17,8,5,0,1,1,1
Manchester United,601,4,3,43,521,14,0,17,11,12,5,0,1,16,0,0,0,61,0,2,1,23,10,6,4,0,1,8
Chelsea,283,1,1,54,197,9,1,19,21,8,90,0,5,17,0,0,0,62,0,2,6,17,18,4,2,0,3,2
Crystal Palace,275,2,2,59,182,10,0,14,13,4,90,4,1,10,0,0,0,69,0,2,12,23,6,2,0,0,3,1
Brighton,523,1,1,37,435,6,1,13,10,3,28,2,2,9,0,0,0,53,0,2,2,10,3,0,0,0,0,2
Burnley,469,2,2,42,373,9,1,12,11,12,11,1,7,19,0,0,0,41,0,2,0,10,8,15,0,1,1,0
Tottenham,591,0,0,21,500,15,0,19,14,14,90,0,2,5,0,0,0,47,0,2,0,30,8,6,1,1,4,7
Stoke City,212,0,0,47,135,7,1,16,6,8,0,4,4,1,0,0,0,53,0,2,6,16,8,5,1,1,0,4
