name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,491,0,0,52,393,4,0,140,10,8,0,0,3,1,0,0,0,64,0,14,5,18,8,5,1,1,3,3
Everton,379,1,1,50,258,11,0,133,13,8,0,3,4,11,0,0,0,71,0,14,1,24,13,4,1,1,2,6
Arsenal,484,6,4,40,387,15,1,140,11,17,25,2,3,20,0,0,0,67,0,14,2,15,7,6,5,0,3,10
Watford,437,1,0,28,334,4,0,139,8,8,0,2,4,19,0,0,0,62,1,14,0,13,11,5,1,0,1,6
Chelsea,366,2,0,43,272,16,1,134,9,9,0,1,2,10,0,0,0,67,0,14,4,12,13,5,3,0,3,4
Hull City,397,0,0,44,301,8,1,135,11,4,0,1,0,12,0,0,0,55,0,14,3,20,12,3,0,0,1,2
Middlesbrough,602,3,2,25,525,9,0,135,6,10,0,3,6,7,0,0,0,61,0,14,2,14,16,5,1,1,1,4
AFC Bournemouth,375,0,2,52,301,11,0,131,9,5,0,1,4,9,0,0,0,63,0,14,0,21,8,2,4,1,2,8
Liverpool,563,2,1,44,474,11,0,131,17,9,22,1,5,2,1,0,0,68,0,14,4,20,12,5,3,0,2,3
Sunderland,409,0,0,59,320,18,0,137,8,15,0,1,8,8,0,0,0,63,0,14,4,13,7,9,2,1,3,7
Leicester City,361,1,0,45,263,10,0,137,12,11,18,3,5,15,0,0,0,65,0,14,5,11,6,5,1,0,1,5
Burnley,328,0,0,63,241,3,0,136,13,10,0,5,5,14,0,0,0,71,0,14,2,18,10,5,0,0,2,4
Manchester City,541,2,3,39,456,9,0,134,14,12,0,2,4,4,0,0,0,64,2,14,1,18,9,7,1,1,2,5
Southampton,461,0,0,40,360,20,0,132,13,12,0,0,6,5,0,0,0,63,0,14,1,23,17,10,0,0,1,3
West Bromwich Albion,301,1,0,55,182,8,0,139,12,9,0,1,6,18,0,0,0,76,0,14,5,11,9,8,3,1,2,3
Norwich City,577,1,1,34,492,18,0,138,11,22,0,3,3,16,0,0,0,60,0,14,0,24,10,7,5,1,0,15
Swansea City,378,0,0,57,273,6,1,138,17,1,0,4,2,17,1,0,0,54,0,14,10,16,9,0,0,0,4,0
Manchester United,463,0,0,66,349,12,0,133,11,6,90,4,3,6,1,0,0,74,0,14,5,19,7,4,1,0,3,2
Crystal Palace,349,1,0,48,247,5,0,132,11,5,79,0,3,13,0,0,0,57,0,14,3,34,8,3,3,1,3,4
Stoke City,456,1,1,50,354,11,1,136,7,7,0,3,1,3,0,0,0,65,0,14,4,16,9,3,2,1,3,4
