name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_score,was_home,yellow_cards,shots_on_target
West Ham United,411,4,1,50,319,11,0,179,12,12,90,1,2,16,0,0,0,58,0,18,6,17,5,4,4,0,0,7
Everton,544,1,1,44,401,9,0,175,7,7,87,3,1,8,0,0,0,66,0,18,2,18,8,5,2,0,0,3
Arsenal,817,0,1,34,728,14,1,171,11,21,17,1,6,19,0,0,0,64,0,18,1,14,7,8,1,1,3,11
Crystal Palace,292,1,1,61,174,8,0,180,17,7,0,1,2,18,1,1,0,60,0,18,2,13,15,5,1,0,4,4
Watford,352,0,0,41,231,8,1,180,18,4,0,0,6,5,1,0,1,62,0,18,3,22,3,4,1,1,2,3
Chelsea,472,0,0,40,399,27,1,173,13,10,0,1,0,2,0,0,0,57,0,18,3,11,7,7,3,1,1,5
Hull City,320,0,1,47,228,7,0,174,11,5,0,2,6,10,1,0,0,56,0,18,4,14,11,5,0,1,1,2
Middlesbrough,404,1,1,43,277,12,0,172,18,5,5,4,2,3,0,0,0,73,0,18,3,10,8,4,0,0,5,2
AFC Bournemouth,591,1,1,25,508,9,0,173,14,5,0,1,2,4,1,0,0,50,0,18,2,13,7,1,0,0,1,3
Liverpool,624,0,0,31,514,9,0,176,9,13,68,0,2,14,0,0,0,61,0,18,1,28,11,6,4,1,0,6
Sunderland,360,0,0,47,274,6,0,177,9,2,0,2,1,11,0,0,0,54,0,18,6,11,9,2,1,0,2,4
Leicester City,398,1,1,31,269,10,0,175,14,6,0,3,2,6,0,0,0,73,0,18,1,15,9,3,0,1,3,2
Burnley,301,0,0,30,182,6,0,172,17,4,0,3,0,12,0,0,0,70,0,18,2,11,4,2,1,1,6,4
Manchester City,683,1,0,42,590,6,0,174,14,13,0,1,2,7,0,0,0,59,0,18,2,14,3,6,3,0,0,7
Southampton,321,0,0,40,221,5,0,178,7,6,0,2,3,17,1,0,0,69,1,18,1,27,17,3,1,1,1,2
West Bromwich Albion,243,0,1,61,166,8,0,171,7,2,0,4,5,1,0,0,0,59,0,18,10,16,8,1,0,0,1,1
Norwich City,619,0,1,29,521,8,2,178,16,11,0,0,1,13,0,1,0,54,0,18,1,28,17,7,4,0,4,5
Swansea City,517,0,0,28,427,6,0,179,10,11,90,2,3,20,0,0,0,62,0,18,3,21,12,6,1,1,0,7
Manchester United,606,2,1,39,536,11,0,177,6,20,83,4,6,15,0,0,0,63,0,18,3,12,8,11,3,1,1,9
Stoke City,352,0,0,65,256,10,0,176,6,4,0,2,2,9,0,0,0,54,0,18,2,23,8,2,1,0,1,2
