name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
West Ham United,463,0,0,35,371,16,0,340,15,9,90,5,2,15,0,0,0,68,0,34,5,13,6,3,1,2,6,Stoke City,287,0,0,74,198,8,0,21,10,3,3,0,0,0,63,0,5,9,7,1,1,3,6
Burnley,290,2,1,43,172,6,0,331,9,6,90,0,1,9,0,0,0,62,0,34,5,10,7,2,2,2,3,Leicester City,440,4,3,26,322,9,0,10,10,1,7,0,0,0,65,0,1,14,5,4,1,1,6
Burnley,386,0,0,48,286,2,0,302,9,5,86,3,3,5,0,0,0,64,0,34,4,7,3,2,1,1,2,Chelsea,608,2,2,40,513,11,0,11,14,1,3,0,0,0,65,0,1,13,6,5,2,0,6
Huddersfield Town,365,1,0,38,253,3,0,333,9,7,90,2,3,18,0,0,0,65,0,34,2,19,6,3,1,2,1,Watford,408,0,0,45,297,4,0,8,4,1,1,0,0,0,47,0,0,16,15,0,0,2,2
AFC Bournemouth,428,1,1,46,352,13,0,342,9,12,0,1,3,12,0,0,0,63,0,34,2,17,3,6,0,3,2,Manchester United,556,2,0,45,474,9,0,8,9,3,0,0,0,0,61,0,2,10,14,1,2,1,4
Crystal Palace,366,1,1,47,281,12,0,332,12,10,0,3,1,3,0,0,0,67,0,34,1,14,7,2,3,3,7,Brighton,348,2,1,41,248,8,0,16,12,1,4,0,0,0,63,0,4,12,3,6,2,2,3
Liverpool,618,1,1,38,536,13,0,334,9,17,0,4,1,2,0,0,0,66,0,34,1,13,15,10,3,1,6,AFC Bournemouth,375,0,1,48,289,7,0,9,5,4,2,0,0,0,52,0,3,25,7,2,0,1,1
Leicester City,449,0,0,44,357,18,0,346,10,9,90,3,2,14,0,0,0,57,0,34,2,17,12,4,0,0,3,Southampton,384,1,2,50,283,14,0,10,4,2,2,0,0,0,60,0,3,17,5,4,0,0,2
Newcastle United,276,1,0,49,174,5,2,336,11,6,0,1,1,1,0,0,0,61,0,34,2,24,12,2,2,1,4,Arsenal,694,2,1,30,590,8,0,9,9,2,1,0,0,0,77,0,2,22,8,8,1,0,3
Manchester United,738,0,0,23,658,14,0,335,8,12,90,4,1,19,0,0,0,70,0,34,3,10,3,6,0,1,4,West Bromwich Albion,311,0,0,57,218,10,0,13,8,1,3,0,0,0,66,0,4,14,6,4,1,1,4
Southampton,377,2,0,51,275,9,0,337,13,7,90,1,3,5,0,0,0,66,0,34,2,11,10,2,2,5,7,Chelsea,517,0,0,33,418,20,0,14,14,2,4,0,0,0,68,0,5,14,8,4,3,3,5
Swansea City,449,0,1,40,337,4,0,338,10,12,90,1,5,7,0,0,0,73,0,34,3,15,4,5,1,1,5,Everton,437,1,2,56,330,5,0,11,9,0,3,0,0,0,72,0,4,23,8,5,1,1,4
Tottenham,462,0,0,40,367,24,1,339,11,6,0,5,2,11,1,0,0,66,0,34,3,11,10,1,1,3,3,Manchester City,513,2,2,47,425,13,0,12,9,1,1,0,0,0,63,0,2,23,7,5,3,4,6
Brighton,360,0,0,55,255,9,0,343,6,6,90,0,1,17,0,0,0,74,0,34,5,10,8,2,1,1,5,Tottenham,630,1,0,26,536,12,0,5,11,0,1,1,0,0,68,0,4,23,5,5,1,0,6
