name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Everton,411,1,1,65,326,11,0,138,16,5,88,2,2,20,1,1,1,70,0,14,3,12,9,2,4,2,5,West Ham United,508,0,1,21,404,17,0,6,5,1,1,1,1,1,68,0,1,18,6,3,0,1,3
AFC Bournemouth,572,0,0,26,462,5,0,136,9,7,0,0,5,4,0,0,0,52,0,14,2,19,12,4,1,0,2,Burnley,350,0,0,51,248,3,0,11,7,1,1,0,0,0,65,0,1,13,11,2,2,1,4
Arsenal,809,6,2,29,713,8,0,135,10,16,72,2,0,8,0,0,0,63,0,14,2,14,10,8,5,0,6,Huddersfield Town,332,0,0,54,255,7,1,12,6,3,1,0,0,0,50,0,1,19,5,3,0,1,2
Watford,495,0,0,46,410,14,0,133,12,10,90,0,3,12,0,0,0,68,0,14,2,16,9,5,2,2,3,Manchester United,348,0,1,50,257,14,0,10,11,0,1,1,0,0,63,0,1,15,10,3,4,1,6
West Bromwich Albion,401,1,0,47,306,10,0,134,13,5,90,0,3,13,0,0,0,80,0,14,3,17,11,2,2,0,4,Newcastle United,436,1,0,38,343,6,0,12,10,2,5,0,0,0,75,0,2,21,15,5,2,0,5
Leicester City,337,2,2,62,239,9,0,132,7,6,0,2,1,17,0,0,0,73,0,14,4,19,9,3,2,1,3,Tottenham,563,4,5,28,465,12,0,10,16,1,3,0,0,0,75,0,1,23,10,9,1,2,5
Manchester City,779,2,2,22,668,7,0,139,12,21,0,1,3,14,0,0,0,78,0,14,1,15,2,8,2,1,12,Southampton,270,3,2,63,156,9,1,11,6,1,2,0,0,0,68,0,10,15,10,3,1,1,2
Chelsea,607,4,4,31,518,10,0,137,10,16,90,0,6,16,0,0,0,69,0,14,0,16,12,7,1,1,10,Swansea City,404,0,0,55,314,4,2,7,2,0,0,0,0,0,59,0,9,22,10,1,0,0,0
Brighton,452,0,0,29,335,8,0,131,13,8,90,5,2,6,0,0,0,73,0,14,4,10,5,4,0,2,3,Crystal Palace,403,0,1,44,294,14,0,8,4,0,0,0,0,0,70,0,3,15,4,6,0,0,4
Stoke City,341,1,1,45,242,12,0,140,8,2,0,4,3,10,0,0,0,51,0,14,4,14,8,4,0,1,1,Liverpool,549,4,2,51,445,12,1,10,10,2,0,0,0,0,61,0,1,15,12,3,3,5,7
