name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Huddersfield Town,378,1,2,31,264,8,0,24,10,14,90,0,6,14,0,0,0,75,0,3,2,15,11,4,0,0,6,Southampton,500,2,2,46,382,8,2,10,6,3,1,0,0,0,65,0,6,17,5,3,0,1,2
Watford,334,0,0,53,243,8,0,27,7,7,90,0,3,3,0,0,0,40,1,3,2,11,4,5,0,0,0,Brighton,436,0,0,31,359,5,0,18,13,5,4,0,0,0,54,0,0,10,7,8,0,1,2
AFC Bournemouth,259,0,0,51,155,11,1,21,13,3,0,0,1,11,0,0,0,59,0,3,6,11,7,3,1,5,3,Manchester City,601,2,1,51,521,13,0,14,13,3,3,0,0,0,64,1,2,20,6,7,2,4,8
Liverpool,508,4,3,34,411,17,0,28,6,13,0,3,7,1,0,0,0,55,0,3,0,1,15,5,4,2,10,Arsenal,538,0,0,40,438,9,2,9,6,5,1,0,0,0,61,0,6,0,9,6,0,4,0
West Bromwich Albion,309,1,0,33,235,4,0,30,10,7,90,2,9,15,0,0,0,39,0,3,1,17,11,7,1,2,2,Stoke City,433,0,0,47,373,11,0,9,14,0,4,0,0,0,33,0,1,14,8,9,1,2,2
Newcastle United,263,4,1,32,170,7,0,26,17,14,18,0,5,20,0,0,0,47,0,3,3,12,9,5,3,1,8,West Ham United,472,0,1,32,357,5,0,11,4,2,1,0,0,0,49,0,5,11,11,5,0,3,3
Manchester United,661,2,2,26,575,17,0,25,8,18,0,2,6,9,0,1,0,64,0,3,4,21,7,7,2,1,7,Leicester City,298,1,1,61,208,10,0,7,10,3,2,1,0,1,58,0,5,9,11,5,0,2,4
Chelsea,584,1,0,31,502,14,0,22,12,14,1,0,1,7,0,0,0,62,0,3,0,18,4,4,2,2,7,Everton,437,0,0,49,354,8,1,7,7,0,1,0,0,0,67,0,5,13,9,5,0,2,0
Crystal Palace,503,0,0,24,417,6,1,23,9,13,90,0,5,16,0,0,0,65,0,3,1,17,7,12,0,4,3,Swansea City,470,0,0,26,370,6,0,6,5,3,3,0,0,0,57,0,3,14,9,2,2,1,3
Tottenham,586,0,1,26,500,8,0,29,9,18,90,1,5,4,0,0,0,57,0,3,2,0,6,6,1,0,5,Burnley,272,1,1,72,193,5,0,9,11,6,2,0,0,0,57,0,4,0,4,8,1,0,3
