name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Huddersfield Town,488,0,0,47,386,7,0,43,6,10,90,3,10,9,1,0,0,62,0,5,0,8,8,6,1,1,3,Leicester City,346,0,0,51,247,12,0,6,7,1,1,0,0,0,65,0,2,15,3,4,1,1,1
Watford,311,2,2,53,236,10,0,47,8,5,90,2,1,11,1,0,0,46,0,5,4,20,3,5,0,2,1,Manchester City,637,3,0,34,576,13,0,6,22,0,5,0,0,0,55,0,1,7,11,10,6,0,10
AFC Bournemouth,649,2,0,25,574,18,1,41,5,9,0,1,0,3,0,0,0,59,0,5,0,18,5,5,2,0,3,Brighton,392,1,0,46,290,13,2,12,6,1,1,0,0,0,56,0,1,11,13,5,1,0,1
Liverpool,677,1,1,17,582,13,0,44,7,32,0,1,6,4,0,0,0,53,0,5,2,13,6,14,1,1,9,Burnley,276,1,1,56,182,5,0,9,4,5,1,0,0,0,64,0,8,6,5,1,1,2,3
West Bromwich Albion,289,1,1,38,212,9,0,48,15,5,90,3,4,20,0,0,0,48,0,5,1,9,7,3,0,2,1,West Ham United,484,0,0,27,414,5,0,7,7,2,6,0,0,0,51,0,1,7,3,5,0,2,1
Newcastle United,286,4,4,48,201,6,0,45,13,11,0,2,3,15,0,0,0,47,0,5,3,15,7,6,2,3,3,Stoke City,404,1,1,37,304,11,1,11,12,1,3,0,0,0,54,0,1,25,10,7,1,1,4
Manchester United,475,3,1,29,403,9,1,50,15,10,13,2,3,7,0,0,0,69,0,5,3,21,9,5,4,1,7,Everton,510,0,2,47,415,4,0,14,5,3,1,1,0,0,63,0,3,14,14,2,0,1,3
Chelsea,533,1,1,38,417,14,1,49,11,10,1,4,2,1,0,0,0,72,1,5,2,18,9,3,0,1,4,Arsenal,518,1,2,50,410,6,0,15,8,2,2,0,0,0,68,0,4,13,11,5,0,3,2
Crystal Palace,407,2,3,40,311,11,0,42,14,13,90,0,1,14,0,0,0,65,0,5,3,14,9,9,0,5,3,Southampton,503,0,0,49,406,9,1,13,11,1,2,0,0,0,76,0,3,16,8,4,1,1,4
Tottenham,755,0,0,14,673,6,0,46,11,19,90,0,5,16,0,0,0,58,0,5,0,18,7,14,0,1,8,Swansea City,256,0,0,54,164,10,0,9,1,0,0,0,0,0,51,0,8,14,10,4,0,3,0
