name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Huddersfield Town,549,0,1,31,442,12,0,224,7,4,90,0,1,20,0,0,0,61,0,23,1,17,7,4,1,1,2,West Ham United,306,1,0,52,209,12,0,9,6,5,0,0,0,0,60,0,1,13,8,1,4,1,5
AFC Bournemouth,367,1,0,44,234,13,0,221,8,8,0,0,2,1,0,0,0,77,0,23,2,20,4,5,2,2,5,Arsenal,550,1,1,45,409,5,0,10,9,4,1,0,0,0,78,0,3,23,13,5,1,2,3
Crystal Palace,323,2,2,33,214,6,0,223,16,13,0,0,8,4,0,0,0,67,0,23,2,18,8,8,1,0,2,Burnley,414,2,2,34,309,7,0,10,7,4,7,0,0,0,63,0,1,19,6,5,0,3,2
Watford,465,0,0,36,352,4,0,229,11,13,90,0,5,14,0,0,0,56,0,23,2,15,10,10,2,0,4,Southampton,375,1,0,47,256,12,0,13,8,3,1,0,0,0,59,0,2,14,11,4,2,5,4
Liverpool,366,0,0,42,278,18,0,225,10,12,2,3,1,11,0,0,0,80,0,23,1,24,17,4,4,2,7,Manchester City,668,0,0,35,572,20,3,7,10,3,2,0,0,0,77,0,3,32,5,3,3,3,4
West Bromwich Albion,353,2,1,40,242,7,0,230,8,11,90,3,2,3,0,0,0,65,0,23,1,17,3,6,2,0,4,Brighton,447,0,1,51,348,3,2,15,7,2,2,0,0,0,63,0,2,7,7,7,0,0,1
Newcastle United,371,3,3,30,278,6,0,227,11,8,0,2,3,16,0,0,0,58,0,23,2,8,12,7,1,0,4,Swansea City,493,0,1,24,399,7,1,10,6,0,6,0,0,0,56,0,3,22,3,2,1,3,3
Tottenham,578,6,3,33,483,16,0,228,11,17,0,2,2,7,0,0,0,69,0,23,0,17,4,6,4,0,10,Everton,360,0,0,47,258,6,1,15,4,7,1,0,0,0,75,0,6,18,11,4,0,2,0
Manchester United,601,0,1,25,542,10,1,226,14,15,0,4,2,15,0,0,0,56,0,23,4,15,7,6,3,2,9,Stoke City,396,3,3,30,326,8,1,10,9,0,3,0,0,0,52,0,6,16,7,5,0,1,4
Chelsea,508,0,0,31,426,15,1,222,14,15,57,5,3,9,0,0,0,67,0,23,1,15,9,4,0,2,7,Leicester City,415,1,1,40,329,21,0,13,11,3,2,0,0,0,72,1,7,13,13,6,0,2,1
