name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,32,0,0,2,23,0,0,210,2,12306,1,90,0,0,5,0,0,0,5,0,21,0,1,0,0,0,3,1768,0
Aaron_Lennon,0,0,0,0,0,0,0,202,0,11994,0,0,0,0,10,0,0,0,0,0,21,0,0,0,0,0,4,325,0
Aaron_Ramsey,69,0,1,1,59,1,0,207,2,11868,1,90,0,0,16,0,0,0,4,0,21,0,1,0,0,4,0,2883,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,210,0,12464,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,3,11,0
Abdoulaye_Doucour�,45,0,0,0,36,0,0,209,0,12334,1,90,0,0,12,0,0,0,5,0,21,0,1,0,2,0,0,57,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,204,0,11932,0,0,0,0,8,0,0,0,0,0,21,0,0,0,0,3,0,16,0
Abel_Hern�ndez,18,0,0,1,14,0,0,203,1,12015,0,82,1,0,2,0,0,0,1,0,21,0,0,1,1,1,3,733,0
Adama_Diomande,17,0,0,1,14,1,0,203,1,12016,2,90,1,1,2,0,0,0,5,0,21,0,3,5,0,1,3,34194,0
Adama_Traor�,0,0,0,0,0,0,0,209,0,12415,0,0,0,0,18,0,0,0,0,0,21,0,0,0,0,0,0,2730,0
Adam_Clayton,0,0,0,0,0,0,0,209,0,12135,0,0,0,0,18,0,0,0,0,0,21,0,0,0,0,0,0,15229,0
Adam_Federici,0,0,0,0,0,0,0,203,0,11882,0,0,0,0,7,0,0,0,0,0,21,0,0,0,0,1,3,115,0
Adam_Forshaw,38,0,0,1,33,0,0,209,2,12138,1,90,0,1,18,0,0,0,4,0,21,0,2,0,0,0,0,13464,0
Adam_Lallana,34,0,0,4,29,0,0,205,0,12057,0,90,0,0,11,0,0,0,5,0,21,0,5,3,0,1,1,160779,0
Adam_Matthews,0,0,0,0,0,0,0,206,0,12197,0,0,0,0,14,0,0,0,0,0,21,0,0,0,0,3,1,13,0
Adam_Reach,0,0,0,0,0,0,0,209,0,12137,0,0,0,0,18,0,0,0,0,0,21,0,0,0,0,0,0,1,0
Adam_Smith,44,0,0,7,37,0,0,203,4,11886,0,90,0,0,7,0,0,0,4,0,21,0,0,1,0,1,3,14404,1
Ademola_Lookman,0,0,0,0,0,0,0,202,0,12479,0,1,0,0,10,0,0,0,0,0,21,0,1,1,0,0,4,332,0
Adl�ne_Gu�dioura,0,0,0,0,0,0,0,209,0,12267,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,0,0,251,0
Adnan_Januzaj,26,0,0,1,23,2,0,206,4,12113,2,90,1,0,14,0,0,0,3,0,21,0,4,1,0,3,1,1534,1
Adrian_Mariappa,0,0,0,0,0,0,0,209,0,12408,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,0,0,79,0
Adri�n_San Miguel del Castillo,0,0,0,0,0,0,0,210,0,12302,0,0,0,0,5,0,0,0,0,0,21,0,0,0,0,0,3,402,0
Ahmed_Elmohamady,0,0,0,0,0,0,0,203,0,12010,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,1,3,197,0
Ahmed_Musa,13,0,0,0,8,1,0,204,0,12039,0,70,0,0,4,0,0,0,4,0,21,0,2,3,0,3,0,1206,0
Aiden_O'Neill,0,0,0,0,0,0,0,201,0,12383,0,0,0,0,13,0,0,0,0,0,21,0,0,0,0,0,1,125,0
Ainsley_Maitland-Niles,0,0,0,0,0,0,0,207,0,12445,0,0,0,0,16,0,0,0,0,0,21,0,0,0,0,4,0,7,0
Alberto_Moreno,0,0,0,0,0,0,0,205,0,12044,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,1,1,434,0
Albert_Adomah,0,0,0,0,0,0,0,209,0,12133,0,0,0,0,18,0,0,0,0,0,21,0,0,0,0,0,0,31,0
Aleix_Garc�a Serrano,0,0,0,0,0,0,0,202,0,12430,0,0,0,0,6,0,0,0,0,0,21,0,0,0,0,0,4,31,0
Aleksandar_Kolarov,0,0,0,0,0,0,0,202,0,12072,0,0,0,0,6,0,0,0,0,0,21,0,0,0,0,0,4,2518,0
Alexander_Manninger,0,0,0,0,0,0,0,205,0,12376,0,0,0,0,11,0,0,0,0,0,21,0,0,0,0,1,1,388,0
Alexis_S�nchez,43,1,0,0,28,2,0,207,1,11864,2,78,0,0,16,0,0,0,2,0,21,0,4,4,0,4,0,73976,0
Alex_Baptiste,0,0,0,0,0,0,0,209,0,12374,0,0,0,0,18,0,0,0,0,0,21,0,0,0,0,0,0,25,0
Alex_Bruce,0,0,0,0,0,0,0,203,0,12006,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,1,3,127,0
Alex_Iwobi,36,0,0,1,32,1,0,207,1,11873,2,90,0,0,16,0,0,0,5,0,21,0,1,2,1,4,0,21348,0
Alex_McCarthy,0,0,0,0,0,0,0,201,0,11953,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,1,18,0
Alex_Oxlade-Chamberlain,14,0,0,0,9,2,0,207,0,11870,1,31,0,0,16,0,0,0,1,0,21,0,2,0,0,4,0,3088,0
Alex_Palmer,0,0,0,0,0,0,0,208,0,12453,0,0,0,0,17,0,0,0,0,0,21,0,0,0,0,0,4,124,0
Alex_Pike,0,0,0,0,0,0,0,210,0,12460,0,0,0,0,5,0,0,0,0,0,21,0,0,0,0,0,3,336,0
Alex_Pritchard,0,0,0,0,0,0,0,208,0,12253,0,0,0,0,19,0,0,0,0,0,21,0,0,0,0,0,4,8,0
Alfie_Mawson,52,0,0,11,45,1,0,207,0,12410,0,90,0,0,1,0,0,0,10,0,21,0,1,2,0,4,0,1507,0
Allan-Rom�o_Nyom,0,0,0,0,0,0,0,208,0,12264,0,0,0,0,17,0,0,0,0,0,21,0,0,0,0,0,4,6110,0
Allan_McGregor,0,0,0,0,0,0,0,203,0,11998,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,1,3,22,0
Almen_Abdi,0,0,0,0,0,0,0,209,0,12269,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,0,0,4,0
Ander_Herrera,59,0,0,6,44,1,0,205,5,12114,1,90,0,1,9,0,0,0,4,0,21,0,0,5,0,1,1,8691,1
Andreas_Pereira,0,0,0,0,0,0,0,205,0,12115,0,0,0,0,9,0,0,0,0,0,21,0,0,0,0,1,1,9,0
Andrew_Eleftheriou,0,0,0,0,0,0,0,209,0,12457,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,0,0,74,0
Andrew_Robertson,43,1,0,2,37,1,0,203,2,12004,1,90,0,1,2,0,0,0,5,0,21,0,0,0,0,1,3,1918,0
Andrew_Surman,87,0,0,3,72,1,0,203,0,11891,1,90,0,0,7,0,0,0,4,0,21,0,1,0,0,1,3,101,0
Andre_Gray,13,0,0,0,10,1,0,201,0,11920,1,86,0,0,13,0,0,0,2,0,21,0,3,0,0,0,1,76721,0
Andros_Townsend,18,1,0,3,13,0,0,210,0,11972,1,69,0,1,20,0,0,0,2,0,21,0,3,1,0,0,3,3935,0
