name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Alex_Palmer,0,0,0,0,0,0,0,353,0,21923,0,0,0,0,3,0,0,0,0,0,36,0,0,0,0,2,2,5,0
Alex_Pike,0,0,0,0,0,0,0,360,0,21931,0,0,0,0,17,0,0,0,0,0,36,0,0,0,0,0,1,0,0
Alex_Pritchard,0,0,0,0,0,0,0,360,0,21709,0,0,0,0,20,0,0,0,0,0,36,0,0,0,0,0,1,1,0
Alfie_Mawson,24,0,1,17,17,0,0,359,0,21873,0,90,0,0,6,0,0,0,3,0,36,0,0,1,0,0,1,906,0
Alfred_N'Diaye,45,0,1,0,40,0,1,355,1,21969,0,76,0,0,15,0,0,0,1,0,36,0,2,1,0,2,0,3467,0
Allan-Rom�o_Nyom,14,0,0,0,11,0,0,353,1,21720,0,40,0,0,3,0,0,0,2,0,36,0,1,0,0,2,2,492,1
Allan_McGregor,0,0,0,0,0,0,0,355,0,21434,0,0,0,0,15,0,0,0,0,0,36,0,0,0,0,2,0,6,0
Almen_Abdi,0,0,0,0,0,0,0,356,0,21725,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,1,0
Ander_Herrera,38,0,0,2,29,1,0,351,2,21550,0,62,0,0,1,0,0,0,4,0,36,0,0,0,0,0,2,10340,0
Andreas_Pereira,0,0,0,0,0,0,0,351,0,21551,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,2,1,0
Andrea_Ranocchia,45,0,1,4,37,0,0,355,0,21962,0,90,0,0,15,0,0,0,4,0,36,0,0,1,0,2,0,9730,0
Andrew_Eleftheriou,0,0,0,0,0,0,0,356,0,21928,0,0,0,0,8,0,0,0,0,0,36,0,0,0,0,0,3,13,0
Andrew_Robertson,38,0,0,4,31,1,1,355,1,21440,2,90,0,1,15,0,0,0,7,0,36,0,0,2,0,2,0,7442,0
Andrew_Surman,0,0,0,0,0,0,0,352,0,21326,0,0,0,0,14,0,0,0,0,0,36,0,0,0,0,2,2,4,0
Andre_Gray,3,0,0,0,3,0,0,353,1,21355,0,12,1,0,19,0,0,0,0,0,36,0,1,0,1,2,2,13120,0
Andros_Townsend,10,0,0,1,8,0,0,358,0,21408,1,56,0,1,10,0,0,0,2,0,36,0,1,0,0,0,5,3302,0
Andr�_Ayew,19,1,0,1,16,0,0,360,0,21682,2,83,0,0,17,0,0,0,3,0,36,0,2,0,1,0,1,206,0
Andy_Carroll,0,0,0,0,0,0,0,360,0,21776,0,0,0,0,17,0,0,0,0,0,36,0,0,0,0,0,1,216,0
Andy_King,14,0,0,3,10,0,0,356,0,21466,0,24,0,0,18,0,0,0,2,0,36,0,0,0,0,0,3,72,0
Angelo_Ogbonna,0,0,0,0,0,0,0,360,0,21764,0,0,0,0,17,0,0,0,0,0,36,0,0,0,0,0,1,11,0
Angel_Rangel,0,0,0,0,0,0,0,359,0,21669,0,0,0,0,6,0,0,0,0,0,36,0,0,0,0,0,1,16,0
Angus_Gunn,0,0,0,0,0,0,0,358,0,21997,0,0,0,0,5,0,0,0,0,0,36,0,0,0,0,0,5,59,0
Anthony_Martial,34,0,0,1,28,2,0,351,3,21555,0,90,2,0,1,0,0,0,4,0,36,0,9,2,0,0,2,1025,0
Antonio_Barrag�n,0,0,0,0,0,0,0,354,0,21785,0,0,0,0,4,0,0,0,0,0,36,0,0,0,0,0,3,78,0
Antonio_Valencia,0,0,0,0,0,0,0,351,0,21538,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,2,5081,0
Arouna_Kon�,0,0,0,0,0,0,0,359,0,21432,0,0,0,0,16,0,0,0,0,0,36,0,0,0,0,0,1,69,0
Arthur_Masuaku,0,0,0,0,0,0,0,360,0,21817,0,0,0,0,17,0,0,0,0,0,36,0,0,0,0,0,1,50,0
Artur_Boruc,25,0,0,0,21,0,0,352,0,21316,1,90,0,0,14,0,0,0,8,0,36,2,0,0,0,2,2,10125,0
Ashley_Barnes,19,1,0,2,14,0,0,353,2,21357,2,78,0,1,19,0,0,0,6,0,36,0,1,1,0,2,2,37964,1
Ashley_Fletcher,1,0,1,0,1,0,0,360,0,21847,0,2,0,0,17,0,0,0,2,0,36,0,0,0,0,0,1,74,0
Ashley_Westwood,51,0,0,1,43,0,0,353,1,21965,0,90,0,0,19,0,0,0,4,0,36,0,1,0,0,2,2,38,0
Ashley_Williams,77,0,0,10,69,0,0,359,0,21667,0,90,0,0,16,0,0,0,6,0,36,0,0,1,0,0,1,5378,0
Ashley_Young,0,0,0,0,0,0,0,351,0,21548,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,2,223,0
Asmir_Begovic,0,0,0,0,0,0,0,354,0,21361,0,0,0,0,12,0,0,0,0,0,36,0,0,0,0,0,3,18,0
Axel_Tuanzebe,42,0,0,6,34,0,0,351,1,21983,0,90,0,0,1,0,0,0,5,0,36,0,0,3,0,0,2,209,0
Bacary_Sagna,0,0,0,0,0,0,0,358,0,21512,0,0,0,0,5,0,0,0,0,0,36,0,0,0,0,0,5,99,0
Baf�timbi_Gomis,0,0,0,0,0,0,0,359,0,21685,0,0,0,0,6,0,0,0,0,0,36,0,0,0,0,0,1,9,0
Baily_Cargill,0,0,0,0,0,0,0,352,0,21974,0,0,0,0,14,0,0,0,0,0,36,0,0,0,0,2,2,26,0
Bakary_Sako,0,0,0,0,0,0,0,358,0,21407,0,0,0,0,10,0,0,0,0,0,36,0,0,0,0,0,5,20,0
Bamidele_Alli,38,0,0,0,31,3,0,360,1,21706,1,90,0,0,20,0,0,0,2,0,36,0,3,0,0,0,1,27378,0
Bartosz_Kapustka,0,0,0,0,0,0,0,356,0,21808,0,0,0,0,18,0,0,0,0,0,36,0,0,0,0,0,3,6,0
