name,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal_attempt,fixture,fouls,id,key_passes,minutes,offside,open_play_crosses,opponent_team,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,tackled,tackles,target_missed,team_a_score,team_h_score,transfers_in,yellow_cards
Aaron_Cresswell,24,0,0,4,16,0,0,127,1,7393,0,90,0,0,11,0,0,0,6,0,13,0,1,1,0,1,1,503,1
Aaron_Lennon,16,0,0,1,11,0,0,128,0,7081,1,64,0,0,13,0,0,0,1,0,13,0,0,3,0,0,1,43,0
Aaron_Ramsey,13,1,0,1,11,0,0,121,0,6955,2,16,0,0,2,0,0,0,0,0,13,0,0,0,1,1,3,1203,0
Abdoulaye_Doucour�,0,0,0,0,0,0,0,130,0,7421,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,1,0,7,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,123,0,7019,0,0,0,0,17,0,0,0,0,0,13,0,0,0,0,1,2,2,0
Abel_Hern�ndez,0,0,0,0,0,0,0,124,0,7102,0,0,0,0,19,0,0,0,0,0,13,0,0,0,0,1,1,56,0
Adama_Diomande,17,0,0,1,16,0,0,124,1,7103,2,45,0,0,19,0,0,0,7,0,13,0,0,1,1,1,1,3222,1
Adama_Traor�,14,0,0,1,7,7,0,125,0,7502,0,78,0,0,8,0,0,0,1,0,13,0,2,0,1,2,2,2769,0
Adam_Clayton,50,0,0,8,44,1,0,125,0,7222,0,90,0,0,8,0,0,0,10,0,13,0,0,1,0,2,2,837,0
Adam_Federici,22,0,0,1,14,0,0,121,0,6969,0,90,0,0,1,0,0,0,10,0,13,0,0,0,0,1,3,467,0
Adam_Forshaw,41,0,0,1,36,2,0,125,1,7225,3,90,0,0,8,0,0,0,5,0,13,0,1,1,0,2,2,263,0
Adam_Lallana,0,0,0,0,0,0,0,126,0,7144,0,0,0,0,15,0,0,0,0,0,13,0,0,0,0,0,2,2965,0
Adam_Matthews,0,0,0,0,0,0,0,126,0,7284,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,2,5,0
Adam_Reach,0,0,0,0,0,0,0,125,0,7224,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,2,2,1,0
Adam_Smith,32,0,1,5,25,1,0,121,1,6973,1,90,0,1,1,0,0,0,5,0,13,0,3,0,2,1,3,4842,0
Adl�ne_Gu�dioura,0,0,0,0,0,0,0,130,0,7354,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,1,0,32,0
Adnan_Januzaj,1,0,0,0,1,1,0,126,0,7200,0,12,0,0,9,0,0,0,1,0,13,0,2,0,0,0,2,57,0
Adrian_Mariappa,0,0,0,0,0,0,0,130,0,7495,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,1,0,390,0
Adri�n_San Miguel del Castillo,0,0,0,0,0,0,0,127,0,7389,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,1,1,211,0
Ahmed_Elmohamady,69,0,0,2,52,0,0,124,0,7097,1,90,0,1,19,0,0,0,4,0,13,0,0,1,0,1,1,68,0
Ahmed_Musa,11,0,0,1,7,0,0,125,0,7126,1,23,0,1,12,0,0,0,1,0,13,0,0,0,2,2,2,1718,0
Aiden_O'Neill,0,0,0,0,0,0,0,122,0,7470,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,2,1,19,0
Ainsley_Maitland-Niles,0,0,0,0,0,0,0,121,0,7532,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,1,3,8,0
Alberto_Moreno,0,0,0,0,0,0,0,126,0,7131,0,0,0,0,15,0,0,0,0,0,13,0,0,0,0,0,2,393,0
Albert_Adomah,0,0,0,0,0,0,0,125,0,7220,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,2,2,10,0
Aleix_Garc�a Serrano,0,0,0,0,0,0,0,122,0,7517,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,2,1,15,0
Aleksandar_Kolarov,63,0,0,9,47,0,0,122,0,7159,0,90,0,0,3,0,0,0,2,0,13,0,0,0,0,2,1,2297,0
Alexander_Manninger,0,0,0,0,0,0,0,126,0,7463,0,0,0,0,15,0,0,0,0,0,13,0,0,0,0,0,2,215,0
Alexis_S�nchez,47,0,0,0,34,2,0,121,1,6951,5,90,0,1,2,0,0,0,6,0,13,0,6,2,1,1,3,22234,1
Alex_Baptiste,0,0,0,0,0,0,0,125,0,7461,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,2,2,12,0
Alex_Bruce,0,0,0,0,0,0,0,124,0,7093,0,0,0,0,19,0,0,0,0,0,13,0,0,0,0,1,1,137,0
Alex_Iwobi,0,0,0,0,0,0,0,121,0,6960,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,1,3,1226,0
Alex_McCarthy,0,0,0,0,0,0,0,128,0,7040,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,1,11,0
Alex_Oxlade-Chamberlain,34,0,0,1,26,1,0,121,1,6957,1,74,0,0,2,0,0,0,5,0,13,0,3,0,0,1,3,1731,0
Alex_Palmer,0,0,0,0,0,0,0,124,0,7540,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,1,1,213,0
Alex_Pritchard,0,0,0,0,0,0,0,123,0,7340,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,1,2,0,0
Alfie_Mawson,0,0,0,0,0,0,0,129,0,7497,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,4,5,20,0
