name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Burnley,405,1,1,25,276,2,2,182,11,6,0,2,4,8,1,0,0,58,0,19,1,8,5,6,1,2,3,Everton,417,1,0,40,303,12,0,19,8,2,1,0,0,0,55,0,2,16,5,3,5,4,6
Crystal Palace,487,0,0,24,399,12,1,183,9,26,90,0,3,5,0,0,0,51,0,19,4,22,4,12,0,0,5,Cardiff City,301,1,1,75,201,5,0,11,7,3,4,0,0,0,48,0,5,10,0,4,0,3,4
Watford,390,1,2,26,304,10,0,190,15,7,90,0,4,6,1,0,0,61,0,19,2,12,8,5,1,1,2,Chelsea,731,3,2,18,646,17,0,5,10,2,2,0,0,0,72,0,1,18,2,5,2,0,4
Fulham,286,0,0,45,203,9,0,184,9,9,72,0,3,20,0,0,0,58,0,19,4,20,5,5,1,2,4,Wolves,686,0,0,18,586,11,1,6,10,2,5,0,0,0,71,0,3,16,8,7,1,1,5
Liverpool,729,3,1,23,630,4,1,186,7,11,0,1,3,15,0,0,0,59,0,19,2,14,4,4,4,0,8,Newcastle United,228,1,1,59,143,9,0,9,4,1,4,1,0,0,52,0,4,8,7,4,0,0,2
Leicester City,325,2,2,54,230,5,0,185,5,8,0,1,2,13,0,0,0,57,0,19,3,17,5,4,2,2,5,Manchester City,616,2,1,19,536,11,1,8,10,3,0,0,0,0,66,1,3,23,4,4,1,2,4
Manchester United,634,1,1,28,530,10,0,187,9,11,0,1,1,10,0,0,0,55,0,19,1,28,5,2,3,1,10,Huddersfield Town,335,2,1,47,245,7,0,13,8,4,3,0,0,0,67,0,7,14,5,7,1,1,2
Southampton,407,1,2,48,313,16,0,188,10,7,90,4,3,19,0,0,0,72,0,19,3,20,9,3,1,2,5,West Ham United,484,1,0,35,375,22,0,3,11,2,1,0,0,0,78,0,4,25,14,6,2,0,5
Tottenham,596,2,1,31,521,12,0,189,4,8,0,1,1,2,0,0,0,62,0,19,4,18,5,2,5,2,7,AFC Bournemouth,448,2,2,17,365,2,0,8,13,3,5,0,0,0,57,0,2,12,8,6,0,1,4
Brighton,323,0,0,37,239,1,0,181,10,9,0,1,4,1,0,0,0,58,0,19,3,7,9,8,1,2,3,Arsenal,711,1,0,23,636,8,0,4,7,1,0,0,0,0,55,0,2,17,6,1,1,1,4
